Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Michael Wilson,SG,25,CLE,19,267,36,77,0.468,0,0,0.0,36,77,0.468,0.468,27,36,0.75,14,17,31,35,14,5,20,21,99,13.3,0.533,0.0,0.468,5.7,7.1,6.4,17.4,2.5,1.1,17.7,17.0,0.2,0.2,0.4,0.079,-0.2,1.1,0.9,0.2,0,0.0,OOR,1985,0.439
Othell Wilson,PG,23,GSW,74,1260,134,291,0.46,3,16,0.188,131,275,0.476,0.466,54,76,0.711,35,96,131,217,77,12,95,122,325,10.8,0.501,0.055,0.261,2.9,9.3,5.8,22.2,2.8,0.5,22.6,13.1,0.1,0.7,0.7,0.028,-2.1,0.3,-1.8,0.1,0,0.0,OOR,1985,0.268
Randy Wittman,SG,25,ATL,41,1168,187,352,0.531,2,7,0.286,185,345,0.536,0.534,30,41,0.732,16,57,73,125,28,7,57,58,406,11.2,0.549,0.02,0.116,1.5,5.3,3.4,15.1,1.2,0.3,13.3,15.1,0.9,0.7,1.6,0.065,-1.4,-0.6,-1.9,0.0,0,0.0,OOR,1985,0.415
Al Wood,SG,26,SEA,80,2545,515,1061,0.485,7,33,0.212,508,1028,0.494,0.489,166,214,0.776,99,180,279,236,84,52,120,187,1203,14.3,0.521,0.031,0.202,4.5,8.2,6.4,14.7,1.6,1.2,9.4,21.0,2.2,2.1,4.2,0.08,0.0,-0.1,-0.1,1.2,0,0.0,OOR,1985,0.378
Leon Wood,PG,22,PHI,38,269,50,134,0.373,4,30,0.133,46,104,0.442,0.388,18,26,0.692,3,15,18,45,8,0,25,17,122,9.1,0.419,0.224,0.194,1.3,6.2,3.8,24.5,1.4,0.0,14.7,25.5,-0.3,0.2,-0.2,-0.029,-3.3,-2.5,-5.7,-0.3,0,0.0,OOR,1985,0.707
Mike Woodson,SG,26,KCK,78,1998,530,1068,0.496,5,21,0.238,525,1047,0.501,0.499,264,330,0.8,69,129,198,143,117,28,139,216,1329,17.5,0.548,0.02,0.309,4.0,7.3,5.7,10.8,2.7,0.8,10.3,26.7,3.0,1.2,4.2,0.101,0.6,-0.3,0.3,1.1,0,0.0,OOR,1985,0.378
Orlando Woolridge,SF,25,CHI,77,2816,679,1225,0.554,0,5,0.0,679,1220,0.557,0.554,409,521,0.785,158,277,435,135,58,38,178,185,1767,19.5,0.608,0.004,0.425,6.7,11.1,8.9,7.6,1.0,0.8,10.9,24.2,7.4,1.6,9.0,0.153,3.1,-1.6,1.5,2.5,0,0.0,OOR,1985,0.463
James Worthy,SF,23,LAL,80,2696,610,1066,0.572,0,7,0.0,610,1059,0.576,0.572,190,245,0.776,169,342,511,201,87,67,198,196,1410,17.0,0.601,0.007,0.23,7.9,13.2,10.8,9.6,1.5,1.3,14.4,20.6,4.6,2.9,7.5,0.134,1.7,-0.1,1.6,2.5,0,0.0,OOR,1985,0.756
Danny Young,PG,22,SEA,3,26,2,10,0.2,0,1,0.0,2,9,0.222,0.2,0,0,0.0,0,3,3,2,3,0,2,2,4,0.5,0.2,0.1,0.0,0.0,13.4,6.7,10.2,5.6,0.0,16.7,19.3,-0.2,0.0,-0.1,-0.188,-9.9,3.8,-6.1,0.0,0,0.0,OOR,1985,0.378
Michael Young,SF,24,PHO,2,11,2,6,0.333,0,1,0.0,2,5,0.4,0.333,0,0,0.0,1,1,2,0,0,0,0,0,4,5.8,0.333,0.167,0.0,10.5,10.1,10.3,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,-0.072,-2.5,-5.6,-8.0,0.0,0,0.0,OOR,1985,0.439
