Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Shareef Abdur-Rahim,PF,27,85,2684,501,1054,0.475,9,34,0.265,492,1020,0.482,0.48,373,429,0.869,189,450,639,174,68,37,184,222,1384,19.9,0.557,0.032,0.407,8.2,19.0,13.6,12.3,1.4,1.0,12.9,24.4,6.1,2.0,8.1,0.145,2.3,-0.7,1.6,2.4,0,0.0,OOR,2004
Malik Allen,PF,25,45,616,83,198,0.419,0,0,0.0,83,198,0.419,0.419,25,33,0.758,42,77,119,16,12,28,27,81,191,10.5,0.449,0.0,0.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,-0.1,0.8,0.7,0.051,-3.7,-0.1,-3.8,-0.3,0,0.0,OOR,2004
Ray Allen,SG,28,56,2152,447,1017,0.44,148,378,0.392,299,639,0.468,0.512,245,271,0.904,69,217,286,268,71,11,156,132,1287,21.7,0.566,0.372,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,6.5,0.4,6.9,0.153,5.5,-1.5,4.0,3.2,0,0.0,OOR,2004
Rafer Alston,PG,27,82,2581,287,764,0.376,161,434,0.371,126,330,0.382,0.481,103,134,0.769,26,200,226,372,114,18,128,212,838,13.7,0.509,0.568,0.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,3.1,2.8,5.9,0.11,0.2,0.7,0.9,1.9,0,0.0,OOR,2004
Chris Andersen,PF,25,71,1029,90,203,0.443,0,1,0.0,90,202,0.446,0.443,63,107,0.589,89,209,298,35,34,114,48,119,243,14.4,0.486,0.005,0.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,0.5,1.9,2.4,0.111,-2.0,2.8,0.7,0.7,0,0.0,OOR,2004
Derek Anderson,SG,29,51,1810,230,612,0.376,79,259,0.305,151,353,0.428,0.44,155,188,0.824,26,156,182,228,66,3,90,79,694,15.1,0.499,0.423,0.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,0.097,0.8,-0.5,0.3,1.0,0,0.0,OOR,2004
Kenny Anderson,PG,33,44,905,113,256,0.441,1,4,0.25,112,252,0.444,0.443,35,48,0.729,19,62,81,125,26,5,50,73,262,11.1,0.473,0.016,0.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,0.4,1.1,1.5,0.079,-2.3,0.6,-1.7,0.1,0,0.0,OOR,2004
Shandon Anderson,SG,30,80,1974,238,564,0.422,36,128,0.281,202,436,0.463,0.454,123,161,0.764,53,169,222,122,68,17,118,182,635,10.1,0.5,0.227,0.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,0.2,1.5,1.7,0.042,-2.4,0.1,-2.4,-0.2,0,0.0,OOR,2004
Carmelo Anthony,SF,19,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.0,1.5,0,0.001,Candidate,2004
Robert Archibald,C-PF,23,32,256,9,33,0.273,0,0,0.0,9,33,0.273,0.273,14,31,0.452,21,31,52,13,14,3,10,50,32,5.6,0.343,0.0,0.939,9.4,14.0,11.7,7.9,3.0,0.9,17.7,10.7,-0.2,0.4,0.2,0.039,-6.7,2.2,-4.5,-0.1,0,0.0,OOR,2004
Gilbert Arenas,PG,22,55,2066,358,914,0.392,125,333,0.375,233,581,0.401,0.46,237,317,0.748,55,199,254,275,103,12,226,176,1078,16.0,0.512,0.364,0.347,2.9,11.1,6.9,25.5,2.6,0.4,17.7,27.4,1.1,1.5,2.6,0.061,1.1,-1.0,0.1,1.1,0,0.0,OOR,2004
Brandon Armstrong,SG,23,56,434,65,175,0.371,19,52,0.365,46,123,0.374,0.426,2,4,0.5,12,31,43,14,12,2,24,49,151,5.5,0.427,0.297,0.023,3.3,8.4,5.8,5.7,1.5,0.4,12.0,21.7,-0.8,0.5,-0.3,-0.03,-5.5,-2.0,-7.5,-0.6,0,0.0,OOR,2004
Darrell Armstrong,PG,35,79,2247,291,736,0.395,135,429,0.315,156,307,0.508,0.487,123,144,0.854,63,163,226,311,133,16,155,148,840,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,2.8,2.5,5.3,0.114,1.3,1.1,2.4,2.5,0,0.0,OOR,2004
Carlos Arroyo,PG,24,71,2008,339,768,0.441,38,117,0.325,301,651,0.462,0.466,181,225,0.804,41,144,185,355,63,5,156,165,897,16.8,0.517,0.152,0.293,2.5,9.0,5.7,34.6,1.7,0.2,15.2,23.7,3.5,1.2,4.7,0.112,2.0,-1.1,0.9,1.5,0,0.0,OOR,2004
Chucky Atkins,PG,29,64,1544,192,484,0.397,81,241,0.336,111,243,0.457,0.48,73,97,0.753,9,84,93,223,45,2,92,102,538,12.1,0.511,0.498,0.2,0.7,6.2,3.5,24.7,1.5,0.1,14.9,18.5,1.5,1.3,2.7,0.085,-0.3,-0.9,-1.1,0.3,0,0.0,OOR,2004
Stacey Augmon,SF,35,69,1416,143,347,0.412,1,7,0.143,142,340,0.418,0.414,110,139,0.791,52,122,174,85,55,15,76,114,397,10.0,0.486,0.02,0.401,4.1,10.1,7.0,10.0,2.1,0.8,15.7,15.6,0.4,1.3,1.6,0.056,-3.1,0.3,-2.8,-0.3,0,0.0,OOR,2004
