Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W
Kareem Abdul-Jabbar,C,35,LAL,79,2554,722,1228,0.588,0,2,0.0,722,1226,0.589,0.588,278,371,0.749,167,425,592,200,61,170,200,220,1722,23.6,0.619,0.002,0.302,7.6,17.6,12.8,10.8,1.1,3.5,12.6,24.6,8.0,2.9,10.9,0.205,4.0,0.5,4.5,4.2,0,0.02,Candidate,1983,48.0
Alvan Adams,C,28,PHO,80,2447,477,981,0.486,1,3,0.333,476,978,0.487,0.487,180,217,0.829,161,387,548,376,114,74,242,287,1135,16.8,0.527,0.003,0.221,7.6,16.7,12.4,21.8,2.2,1.7,18.4,22.0,2.0,4.5,6.5,0.128,0.8,1.7,2.5,2.8,0,0.0,OOR,1983,46.0
Mark Aguirre,SF,23,DAL,81,2784,767,1589,0.483,16,76,0.211,751,1513,0.496,0.488,429,589,0.728,191,317,508,332,80,26,261,247,1979,20.5,0.535,0.048,0.371,7.3,12.5,9.8,18.2,1.3,0.5,12.4,30.0,5.9,1.0,6.9,0.118,3.6,-1.9,1.7,2.6,0,0.0,OOR,1983,30.0
Danny Ainge,SG,23,BOS,80,2048,357,720,0.496,5,29,0.172,352,691,0.509,0.499,72,97,0.742,83,131,214,251,109,6,98,259,791,13.2,0.519,0.04,0.135,4.4,6.8,5.6,16.1,2.5,0.2,11.4,16.5,2.8,2.4,5.2,0.121,-1.0,1.2,0.2,1.2,0,0.0,OOR,1983,56.0
Dwight Anderson,PG,22,DEN,5,33,7,14,0.5,0,0,0.0,7,14,0.5,0.5,7,10,0.7,0,2,2,3,1,0,5,7,21,10.6,0.571,0.0,0.714,0.0,6.1,3.1,11.5,1.3,0.0,21.4,26.2,0.0,0.0,0.0,0.001,-4.3,-0.5,-4.8,0.0,0,0.0,OOR,1983,45.0
J.J. Anderson,SF,22,UTA,65,1202,190,379,0.501,0,4,0.0,190,375,0.507,0.501,100,175,0.571,119,175,294,67,63,21,79,153,480,13.7,0.526,0.011,0.462,10.4,14.4,12.5,7.6,2.3,0.9,14.8,17.4,0.9,1.4,2.3,0.094,-1.0,0.0,-0.9,0.3,0,0.0,OOR,1983,14.0
Richard Anderson,C,22,SDC,78,1274,174,431,0.404,7,19,0.368,167,412,0.405,0.412,48,69,0.696,111,161,272,120,57,26,93,170,403,10.4,0.437,0.044,0.16,9.2,15.6,12.2,12.1,2.1,1.2,16.8,16.9,-0.3,0.8,0.5,0.017,-2.1,-0.5,-2.6,-0.2,0,0.0,OOR,1983,
Tiny Archibald,PG,34,BOS,66,1811,235,553,0.425,5,24,0.208,230,529,0.435,0.429,220,296,0.743,25,66,91,409,38,4,163,110,695,12.3,0.509,0.043,0.535,1.5,3.9,2.7,28.0,1.0,0.1,19.3,18.3,1.7,1.2,2.9,0.077,0.0,-2.0,-2.0,0.0,0,0.0,OOR,1983,56.0
John Bagley,PG,22,CLE,68,990,161,373,0.432,0,14,0.0,161,359,0.448,0.432,64,84,0.762,17,79,96,167,54,5,118,74,386,11.7,0.471,0.038,0.225,1.9,9.3,5.5,25.5,2.7,0.3,22.4,22.4,-1.1,0.8,-0.2,-0.011,-2.3,-0.4,-2.7,-0.2,0,0.0,OOR,1983,23.0
James Bailey,PF,25,HOU,75,1765,385,774,0.497,0,1,0.0,385,773,0.498,0.497,226,322,0.702,171,303,474,67,43,60,196,271,996,15.6,0.544,0.001,0.416,9.8,19.6,14.4,6.0,1.1,1.9,17.6,25.2,0.6,1.4,2.0,0.055,-1.4,-1.2,-2.6,-0.3,0,0.0,OOR,1983,58.0
Greg Ballard,SF,28,WSB,78,2840,603,1274,0.473,13,37,0.351,590,1237,0.477,0.478,182,233,0.781,123,385,508,262,135,25,157,176,1401,16.8,0.509,0.029,0.183,4.7,15.2,9.9,14.8,2.3,0.5,10.2,22.4,2.8,5.1,7.9,0.133,0.8,1.7,2.5,3.2,0,0.0,OOR,1983,42.0
Gene Banks,PF,23,SAS,81,2722,505,919,0.55,0,5,0.0,505,914,0.553,0.55,196,278,0.705,222,390,612,279,78,21,171,229,1206,16.7,0.579,0.005,0.303,9.2,15.1,12.3,13.7,1.3,0.4,14.1,17.7,5.9,2.0,7.9,0.14,2.2,-0.5,1.7,2.5,0,0.0,OOR,1983,45.0
Billy Ray Bates,SG,26,WSB,19,304,55,145,0.379,2,5,0.4,53,140,0.379,0.386,11,22,0.5,11,8,19,14,14,3,12,19,123,8.4,0.398,0.034,0.152,4.0,2.9,3.5,7.2,2.2,0.6,7.2,22.6,-0.4,0.4,0.0,-0.005,-3.2,0.3,-2.9,-0.2,0,0.0,OOR,1983,42.0
Dave Batton,C,26,WSB,54,558,85,191,0.445,0,3,0.0,85,188,0.452,0.445,8,17,0.471,45,74,119,29,15,13,28,56,178,10.4,0.448,0.016,0.089,8.8,14.8,11.8,7.6,1.3,1.3,12.4,16.8,-0.2,0.9,0.7,0.062,-2.5,0.7,-1.8,0.0,0,0.0,OOR,1983,42.0
Kent Benson,C,28,DET,21,599,85,182,0.467,0,1,0.0,85,181,0.47,0.467,38,50,0.76,53,102,155,49,14,17,35,61,208,13.2,0.51,0.005,0.275,9.0,18.1,13.5,10.6,1.1,1.5,14.6,15.4,0.6,0.6,1.1,0.092,-0.5,-0.1,-0.6,0.2,0,0.0,OOR,1983,37.0
Larry Bird,PF,26,BOS,79,2982,747,1481,0.504,22,77,0.286,725,1404,0.516,0.512,351,418,0.84,193,677,870,458,148,71,240,197,1867,24.1,0.561,0.052,0.282,7.0,24.2,15.7,22.4,2.3,1.3,12.6,25.0,8.4,5.6,14.0,0.225,5.4,2.1,7.5,7.2,1,0.485,Candidate,1983,56.0
Otis Birdsong,SG,27,NJN,62,1885,426,834,0.511,2,6,0.333,424,828,0.512,0.512,82,145,0.566,53,97,150,239,85,16,114,155,936,15.1,0.521,0.007,0.174,3.2,5.7,4.5,19.1,2.1,0.5,11.3,21.1,2.6,2.6,5.2,0.132,0.4,0.6,1.0,1.4,0,0.0,OOR,1983,49.0
Rolando Blackman,SG,23,DAL,75,2349,513,1042,0.492,3,15,0.2,510,1027,0.497,0.494,297,381,0.78,108,185,293,185,37,29,118,116,1326,17.0,0.548,0.014,0.366,4.9,8.6,6.7,11.1,0.7,0.7,8.9,22.3,5.5,0.1,5.7,0.116,2.5,-2.1,0.4,1.4,0,0.0,OOR,1983,30.0
Charles Bradley,SG,23,BOS,51,532,69,176,0.392,0,3,0.0,69,173,0.399,0.392,46,90,0.511,30,48,78,28,32,27,42,84,184,8.7,0.427,0.017,0.511,6.1,9.6,7.9,6.5,2.8,2.8,16.3,19.0,-0.6,0.9,0.2,0.02,-4.1,1.5,-2.6,-0.1,0,0.0,OOR,1983,56.0
