Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W
J.J. Redick,SG,27,ORL,65,1765,248,584,0.425,112,268,0.418,136,316,0.43,0.521,143,157,0.911,18,132,150,164,27,6,68,92,751,15.1,0.575,0.459,0.269,1.2,8.8,4.9,16.2,0.8,0.3,9.4,19.2,4.2,1.0,5.2,0.142,1.6,-0.6,1.0,1.3,0,0.0,OOR,2012,37
Ryan Reid,PF,25,OKC,5,17,4,5,0.8,0,0,0.0,4,5,0.8,0.8,0,0,0.0,1,1,2,0,0,0,1,1,8,17.6,0.8,0.0,0.0,7.2,6.3,6.7,0.0,0.0,0.0,16.7,16.0,0.0,0.0,0.1,0.142,1.0,-3.0,-2.0,0.0,0,0.0,OOR,2012,47
Jason Richardson,SG,31,ORL,54,1591,243,596,0.408,102,277,0.368,141,319,0.442,0.493,41,69,0.594,36,158,194,107,53,22,60,91,629,13.3,0.502,0.465,0.116,2.6,11.6,7.0,12.0,1.8,1.1,8.7,20.2,1.2,1.6,2.8,0.084,0.3,0.4,0.7,1.1,0,0.0,OOR,2012,37
Quentin Richardson,SF,31,ORL,48,866,74,197,0.376,42,121,0.347,32,76,0.421,0.482,25,30,0.833,15,108,123,38,28,6,29,74,215,8.7,0.511,0.614,0.152,2.0,14.6,8.2,7.0,1.7,0.5,12.1,13.0,0.4,0.9,1.3,0.07,-2.5,1.0,-1.6,0.1,0,0.0,OOR,2012,37
Luke Ridnour,SG,30,MIN,53,1750,242,550,0.44,49,152,0.322,193,398,0.485,0.485,106,119,0.891,19,122,141,252,56,16,96,136,639,13.6,0.53,0.276,0.216,1.2,7.8,4.5,24.0,1.6,0.7,13.7,17.8,2.4,0.9,3.3,0.09,-0.6,0.2,-0.5,0.7,0,0.0,OOR,2012,26
Nate Robinson,PG,27,GSW,51,1192,205,484,0.424,66,181,0.365,139,303,0.459,0.492,94,113,0.832,15,85,100,231,59,2,75,118,570,18.0,0.534,0.374,0.233,1.4,8.1,4.8,31.8,2.6,0.1,12.3,23.6,2.4,0.4,2.8,0.111,1.5,-1.1,0.4,0.7,0,0.0,OOR,2012,23
Rajon Rondo,PG,25,BOS,53,1957,256,572,0.448,10,42,0.238,246,530,0.464,0.456,108,181,0.597,62,195,257,620,95,3,193,99,630,17.5,0.483,0.073,0.316,3.9,11.2,7.7,52.5,2.6,0.1,22.8,20.7,1.5,3.4,4.9,0.121,1.5,0.6,2.2,2.1,0,0.01,Candidate,2012,39
Derrick Rose,PG,23,CHI,39,1375,302,695,0.435,54,173,0.312,248,522,0.475,0.473,194,239,0.812,26,105,131,307,35,28,119,52,852,23.0,0.532,0.249,0.344,2.1,8.4,5.3,40.3,1.4,1.4,12.9,30.5,4.1,2.0,6.0,0.211,6.1,0.3,6.4,2.9,0,0.004,Candidate,2012,50
Ricky Rubio,PG,21,MIN,41,1404,139,389,0.357,32,94,0.34,107,295,0.363,0.398,126,157,0.803,21,150,171,336,91,8,131,97,436,14.6,0.476,0.242,0.404,1.6,11.9,6.7,37.4,3.3,0.4,22.2,18.7,0.5,1.5,2.0,0.07,-0.4,1.4,1.0,1.1,0,0.0,OOR,2012,26
Brandon Rush,SF,26,GSW,65,1717,235,469,0.501,99,219,0.452,136,250,0.544,0.607,65,82,0.793,33,218,251,88,35,58,68,64,634,15.2,0.628,0.467,0.175,2.2,14.4,8.3,7.9,1.1,2.6,11.9,15.4,2.9,0.6,3.5,0.099,2.1,-0.4,1.7,1.6,0,0.0,OOR,2012,23
Walker Russell,PG,29,DET,28,357,33,95,0.347,4,13,0.308,29,82,0.354,0.368,14,22,0.636,7,19,26,58,18,1,33,29,84,7.2,0.401,0.137,0.232,2.3,6.6,4.4,26.0,2.7,0.2,24.0,17.8,-0.6,0.3,-0.4,-0.049,-4.6,-0.9,-5.5,-0.3,0,0.0,OOR,2012,25
John Salmons,SF,32,SAC,46,1250,141,345,0.409,33,112,0.295,108,233,0.464,0.457,29,45,0.644,20,114,134,93,37,7,45,77,344,9.0,0.471,0.325,0.13,1.7,10.5,5.9,11.1,1.5,0.4,11.0,14.2,0.3,0.1,0.4,0.014,-2.7,-0.7,-3.4,-0.5,0,0.0,OOR,2012,22
Samardo Samuels,C,23,CLE,54,825,105,231,0.455,0,0,0.0,105,231,0.455,0.455,82,117,0.701,63,117,180,20,20,20,56,113,292,11.1,0.517,0.0,0.506,8.4,16.8,12.4,4.2,1.3,1.8,16.5,18.4,0.2,0.5,0.7,0.039,-4.0,-1.3,-5.3,-0.7,0,0.0,OOR,2012,21
Larry Sanders,PF,23,MIL,52,643,84,184,0.457,0,2,0.0,84,182,0.462,0.457,18,38,0.474,62,98,160,33,32,76,43,133,186,13.3,0.463,0.011,0.207,10.3,17.3,13.7,7.8,2.5,8.9,17.6,16.7,-0.3,1.2,1.0,0.072,-5.0,3.1,-1.9,0.0,0,0.0,OOR,2012,31
Brian Scalabrine,PF,33,CHI,28,122,14,30,0.467,1,7,0.143,13,23,0.565,0.483,3,6,0.5,8,13,21,15,5,6,9,9,32,13.5,0.49,0.233,0.2,7.5,11.7,9.6,18.7,2.2,3.5,21.6,15.5,0.0,0.2,0.3,0.108,-1.0,2.6,1.6,0.1,0,0.0,OOR,2012,50
Luis Scola,PF,31,HOU,66,2067,436,888,0.491,0,3,0.0,436,885,0.493,0.491,153,198,0.773,122,306,428,140,35,24,153,214,1025,15.4,0.526,0.003,0.223,6.8,17.3,12.0,12.0,0.9,0.9,13.6,24.8,1.8,1.6,3.4,0.08,-1.0,-0.9,-1.9,0.0,0,0.0,OOR,2012,34
Thabo Sefolosha,SG,27,OKC,42,914,67,155,0.432,31,71,0.437,36,84,0.429,0.532,38,43,0.884,21,107,128,47,37,17,40,78,203,9.8,0.584,0.458,0.277,2.8,12.5,8.0,7.4,2.1,1.4,18.7,10.6,0.8,1.0,1.8,0.095,-1.3,1.7,0.4,0.6,0,0.0,OOR,2012,47
Josh Selby,PG,20,MEM,28,237,25,72,0.347,2,15,0.133,23,57,0.404,0.361,11,14,0.786,2,13,15,30,7,0,29,17,63,3.3,0.403,0.208,0.194,1.0,6.5,3.7,19.3,1.6,0.0,27.1,20.5,-0.7,0.2,-0.5,-0.105,-6.8,-2.0,-8.8,-0.4,0,0.0,OOR,2012,41
Kevin Séraphin,C,22,WAS,57,1176,203,382,0.531,0,1,0.0,203,381,0.533,0.531,47,70,0.671,103,177,280,33,19,76,66,133,453,15.8,0.549,0.003,0.183,9.8,17.1,13.4,4.8,0.8,5.0,13.8,18.2,1.2,1.1,2.3,0.094,-1.4,-0.3,-1.7,0.1,0,0.0,OOR,2012,20
Ramon Sessions,PG,25,CLE,64,1707,242,565,0.428,43,97,0.443,199,468,0.425,0.466,194,248,0.782,33,181,214,354,44,3,141,100,721,16.7,0.535,0.172,0.439,2.2,12.0,7.1,35.5,1.4,0.1,17.3,21.6,2.9,0.8,3.7,0.104,1.0,-1.4,-0.4,0.7,0,0.0,OOR,2012,21
