Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Mahmoud Abdul-Rauf,PG,28,31,530,103,273,0.377,5,31,0.161,98,242,0.405,0.386,16,16,1.0,6,31,37,58,16,1,19,31,227,OOR
Tariq Abdul-Wahad,SG,23,59,959,144,357,0.403,4,19,0.211,140,338,0.414,0.409,84,125,0.672,44,72,116,51,35,13,65,81,376,OOR
Shareef Abdur-Rahim,SF,21,82,2950,653,1347,0.485,21,51,0.412,632,1296,0.488,0.493,502,640,0.784,227,354,581,213,89,76,257,201,1829,OOR
Cory Alexander,PG,24,60,1298,171,400,0.428,66,176,0.375,105,224,0.469,0.51,80,102,0.784,17,129,146,209,70,11,112,98,488,OOR
Ray Allen,SG,22,82,3287,563,1315,0.428,134,368,0.364,429,947,0.453,0.479,342,391,0.875,127,278,405,356,111,12,263,244,1602,OOR
Derek Anderson,SF,23,66,1839,239,586,0.408,17,84,0.202,222,502,0.442,0.422,275,315,0.873,55,132,187,227,86,13,128,136,770,OOR
Greg Anderson,C,33,50,398,36,81,0.444,0,5,0.0,36,76,0.474,0.444,16,41,0.39,39,79,118,15,19,10,17,85,88,OOR
Kenny Anderson,PG,27,61,1858,268,674,0.398,57,160,0.356,211,514,0.411,0.44,153,194,0.789,39,134,173,345,87,1,143,135,746,OOR
Nick Anderson,SF,30,58,1701,343,754,0.455,77,214,0.36,266,540,0.493,0.506,127,199,0.638,98,199,297,119,72,23,85,98,890,OOR
Shandon Anderson,SG,24,82,1602,269,500,0.538,7,32,0.219,262,468,0.56,0.545,136,185,0.735,86,141,227,89,66,18,91,145,681,OOR
Chris Anstey,C,23,41,680,92,231,0.398,3,16,0.188,89,215,0.414,0.405,53,74,0.716,53,104,157,35,31,27,41,95,240,OOR
Greg Anthony,PG,30,80,1021,150,349,0.43,66,159,0.415,84,190,0.442,0.524,53,80,0.663,18,93,111,205,64,3,91,97,419,OOR
B.J. Armstrong,PG,30,66,831,105,213,0.493,9,35,0.257,96,178,0.539,0.514,42,50,0.84,16,60,76,150,29,0,42,74,261,OOR
Darrell Armstrong,PG,29,48,1236,156,380,0.411,25,68,0.368,131,312,0.42,0.443,105,123,0.854,65,94,159,236,58,5,112,96,442,OOR
Vincent Askew,SG,31,30,443,19,54,0.352,0,2,0.0,19,52,0.365,0.352,28,39,0.718,21,47,68,38,19,5,35,39,66,OOR
Keith Askins,SF,30,46,681,39,122,0.32,21,74,0.284,18,48,0.375,0.406,12,19,0.632,28,73,101,29,27,12,26,107,111,OOR
Stacey Augmon,SG,29,71,1445,154,372,0.414,1,7,0.143,153,365,0.419,0.415,94,156,0.603,104,131,235,88,57,32,81,144,403,OOR
Isaac Austin,C,28,78,2266,406,871,0.466,0,8,0.0,406,863,0.47,0.466,243,363,0.669,199,358,557,175,61,56,206,231,1055,OOR
Vin Baker,C,26,82,2944,631,1164,0.542,1,7,0.143,630,1157,0.545,0.543,311,526,0.591,286,370,656,152,91,86,174,278,1574,OOR
Charles Barkley,PF,34,68,2243,361,744,0.485,18,84,0.214,343,660,0.52,0.497,296,397,0.746,241,553,794,217,71,28,147,187,1036,OOR
Dana Barros,PG,30,80,1686,281,609,0.461,100,246,0.407,181,363,0.499,0.544,122,144,0.847,28,125,153,286,83,6,107,124,784,OOR
Brent Barry,SG,26,58,1600,213,506,0.421,90,229,0.393,123,277,0.444,0.51,115,134,0.858,29,142,171,153,64,27,104,118,631,OOR
Drew Barry,PG,24,27,256,18,38,0.474,9,21,0.429,9,17,0.529,0.592,11,13,0.846,5,30,35,49,10,1,30,28,56,OOR
Jon Barry,SG,28,49,374,38,104,0.365,18,61,0.295,20,43,0.465,0.452,27,29,0.931,8,29,37,51,24,3,22,33,121,OOR
Tony Battie,PF,21,65,1506,234,525,0.446,3,14,0.214,231,511,0.452,0.449,73,104,0.702,138,213,351,60,54,69,98,199,544,OOR
Corey Beck,PG,26,59,738,73,159,0.459,2,4,0.5,71,155,0.458,0.465,43,59,0.729,27,63,90,98,33,7,70,100,191,OOR
Benoit Benjamin,C,33,14,197,22,41,0.537,0,0,0.0,22,41,0.537,0.537,19,30,0.633,18,35,53,3,4,4,12,26,63,OOR
Mario Bennett,PF,24,45,354,80,135,0.593,1,2,0.5,79,133,0.594,0.596,16,44,0.364,60,66,126,18,19,11,21,61,177,OOR
David Benoit,SF,29,77,1123,152,408,0.373,55,170,0.324,97,238,0.408,0.44,61,74,0.824,60,143,203,25,35,20,52,157,420,OOR
Travis Best,PG,25,82,1547,201,480,0.419,21,70,0.3,180,410,0.439,0.441,112,131,0.855,28,94,122,281,85,5,111,193,535,OOR
Chauncey Billups,PG,21,80,2216,280,749,0.374,107,325,0.329,173,424,0.408,0.445,226,266,0.85,62,128,190,314,107,4,174,172,893,OOR
Mookie Blaylock,PG,30,70,2700,368,938,0.392,90,334,0.269,278,604,0.46,0.44,95,134,0.709,81,260,341,469,183,21,176,122,921,OOR
Corie Blount,PF,29,70,1029,107,187,0.572,0,4,0.0,107,183,0.585,0.572,39,78,0.5,114,184,298,37,29,25,51,157,253,OOR
Muggsy Bogues,PG,33,61,1570,141,323,0.437,4,16,0.25,137,307,0.446,0.443,61,68,0.897,30,102,132,331,67,3,105,58,347,OOR
Etdrick Bohannon,PF,24,5,11,0,4,0.0,0,0,0.0,0,4,0.0,0.0,0,0,0.0,2,4,6,1,0,2,3,3,0,OOR
Keith Booth,SF,23,6,17,2,6,0.333,0,1,0.0,2,5,0.4,0.333,6,6,1.0,2,2,4,1,0,0,3,3,10,OOR
Bruce Bowen,SF,26,61,1305,122,298,0.409,20,59,0.339,102,239,0.427,0.443,76,122,0.623,79,95,174,81,87,29,52,174,340,OOR
Anthony Bowie,SG,34,27,224,32,59,0.542,3,4,0.75,29,55,0.527,0.568,8,9,0.889,9,17,26,11,6,2,7,25,75,OOR
Shawn Bradley,C,25,64,1822,300,711,0.422,1,3,0.333,299,708,0.422,0.423,130,180,0.722,164,354,518,60,51,214,96,214,731,OOR
Terrell Brandon,PG,27,50,1784,339,731,0.464,31,93,0.333,308,638,0.483,0.485,132,156,0.846,23,153,176,387,111,17,145,120,841,OOR
Tim Breaux,SF,27,6,30,4,11,0.364,1,3,0.333,3,8,0.375,0.409,1,2,0.5,0,2,2,2,2,1,1,1,10,OOR
Scott Brooks,PG,32,43,312,28,66,0.424,5,11,0.455,23,55,0.418,0.462,18,20,0.9,6,24,30,49,18,3,12,25,79,OOR
Chucky Brown,SF,29,77,1202,161,372,0.433,2,8,0.25,159,364,0.437,0.435,63,87,0.724,57,126,183,55,23,13,51,100,387,OOR
Dee Brown,SG,29,72,1719,246,562,0.438,108,271,0.399,138,291,0.474,0.534,58,71,0.817,24,128,152,154,82,23,73,123,658,OOR
P.J. Brown,PF,28,74,2362,278,590,0.471,0,0,0.0,278,590,0.471,0.471,151,197,0.766,235,400,635,103,66,98,97,264,707,OOR
Randy Brown,PG,29,71,1147,116,302,0.384,0,5,0.0,116,297,0.391,0.384,56,78,0.718,34,60,94,151,71,12,63,118,288,OOR
Rick Brunson,PG,25,38,622,49,141,0.348,22,61,0.361,27,80,0.338,0.426,42,62,0.677,14,42,56,100,25,3,52,55,162,OOR
Kobe Bryant,SF,19,79,2056,391,913,0.428,75,220,0.341,316,693,0.456,0.469,363,457,0.794,79,163,242,199,74,40,157,180,1220,OOR
Mark Bryant,C,32,70,1110,109,225,0.484,0,1,0.0,109,224,0.487,0.484,73,95,0.768,92,152,244,46,36,15,58,180,291,OOR
Jud Buechler,SF,29,74,608,85,176,0.483,25,65,0.385,60,111,0.541,0.554,3,6,0.5,24,53,77,49,22,15,21,47,198,OOR
Matt Bullard,SF,30,67,1190,175,389,0.45,96,231,0.416,79,158,0.5,0.573,20,27,0.741,25,121,146,60,31,24,39,104,466,OOR
Scott Burrell,SF,27,80,1096,159,375,0.424,51,144,0.354,108,231,0.468,0.492,47,64,0.734,80,118,198,65,64,37,50,131,416,OOR
Willie Burton,SF,29,13,43,8,21,0.381,3,9,0.333,5,12,0.417,0.452,8,12,0.667,3,6,9,1,2,2,1,7,27,OOR
Mitchell Butler,SG,27,18,206,15,47,0.319,1,6,0.167,14,41,0.341,0.33,6,10,0.6,6,16,22,18,8,0,8,26,37,OOR
Jason Caffey,PF,24,80,1423,226,466,0.485,0,2,0.0,226,464,0.487,0.485,131,200,0.655,160,184,344,67,25,20,105,181,583,OOR
Michael Cage,C,36,79,1201,43,84,0.512,0,1,0.0,43,83,0.518,0.512,20,36,0.556,115,193,308,32,45,44,23,105,106,OOR
Adrian Caldwell,PF,31,1,3,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,OOR
Marcus Camby,C,23,63,2002,308,747,0.412,0,2,0.0,308,745,0.413,0.412,149,244,0.611,203,263,466,111,68,230,134,200,765,OOR
Elden Campbell,PF,29,81,1784,289,624,0.463,1,2,0.5,288,622,0.463,0.464,237,342,0.693,143,312,455,78,35,102,115,209,816,OOR
Antoine Carr,PF,36,66,1086,151,325,0.465,0,0,0.0,151,325,0.465,0.465,76,98,0.776,42,89,131,48,11,53,48,195,378,OOR
Chris Carr,SG,23,51,1165,190,452,0.42,40,127,0.315,150,325,0.462,0.465,84,99,0.848,43,112,155,85,17,11,69,129,504,OOR
Sam Cassell,PG,28,75,2606,510,1156,0.441,15,80,0.188,495,1076,0.46,0.448,436,507,0.86,73,155,228,603,121,20,269,262,1471,OOR
Kelvin Cato,C,23,74,1007,98,229,0.428,0,3,0.0,98,226,0.434,0.428,86,125,0.688,91,161,252,23,29,94,44,164,282,OOR
Duane Causwell,C,29,37,363,37,89,0.416,0,0,0.0,37,89,0.416,0.416,15,26,0.577,29,70,99,5,7,27,18,73,89,OOR
Cedric Ceballos,SF,28,47,990,204,415,0.492,21,70,0.3,183,345,0.53,0.517,107,145,0.738,75,146,221,60,33,16,72,88,536,OOR
Tom Chambers,PF,38,1,10,2,2,1.0,0,0,0.0,2,2,1.0,1.0,2,2,1.0,0,2,2,0,2,0,1,2,6,OOR
Rex Chapman,SG,30,68,2263,408,956,0.427,120,311,0.386,288,645,0.447,0.49,146,187,0.781,30,143,173,203,71,14,116,102,1082,OOR
Calbert Cheaney,SG,26,82,2841,448,981,0.457,15,53,0.283,433,928,0.467,0.464,139,215,0.647,82,242,324,173,96,36,104,264,1050,OOR
Pete Chilcutt,PF,29,82,1420,156,359,0.435,54,130,0.415,102,229,0.445,0.51,39,59,0.661,77,229,306,104,53,37,62,158,405,OOR
Chris Childs,PG,30,68,1599,149,354,0.421,27,87,0.31,122,267,0.457,0.459,104,126,0.825,29,133,162,268,56,6,103,179,429,OOR
