Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Shareef Abdur-Rahim,C,30.0,80.0,2015.0,310.0,654.0,0.474,3.0,20.0,0.15,307.0,634.0,0.484,0.476,170.0,234.0,0.726,122.0,276.0,398.0,109.0,53.0,40.0,116.0,243.0,793.0,OOR
Hassan Adams,SG,22.0,61.0,495.0,75.0,135.0,0.556,0.0,1.0,0.0,75.0,134.0,0.56,0.556,24.0,36.0,0.667,35.0,42.0,77.0,13.0,17.0,4.0,22.0,47.0,174.0,OOR
Maurice Ager,SG,22.0,32.0,214.0,22.0,70.0,0.314,5.0,15.0,0.333,17.0,55.0,0.309,0.35,20.0,33.0,0.606,1.0,20.0,21.0,7.0,4.0,3.0,15.0,27.0,69.0,OOR
LaMarcus Aldridge,C,21.0,63.0,1392.0,241.0,479.0,0.503,0.0,2.0,0.0,241.0,477.0,0.505,0.503,83.0,115.0,0.722,144.0,168.0,312.0,24.0,22.0,73.0,43.0,186.0,565.0,OOR
Malik Allen,PF,28.0,60.0,638.0,107.0,258.0,0.415,0.0,1.0,0.0,107.0,257.0,0.416,0.415,28.0,34.0,0.824,42.0,77.0,119.0,16.0,17.0,16.0,21.0,85.0,242.0,OOR
Ray Allen,SG,31.0,55.0,2219.0,505.0,1153.0,0.438,165.0,443.0,0.372,340.0,710.0,0.479,0.51,279.0,309.0,0.903,57.0,190.0,247.0,228.0,82.0,11.0,154.0,113.0,1454.0,OOR
Tony Allen,SG,25.0,33.0,805.0,133.0,259.0,0.514,8.0,33.0,0.242,125.0,226.0,0.553,0.529,105.0,134.0,0.784,35.0,89.0,124.0,56.0,49.0,12.0,75.0,87.0,379.0,OOR
Rafer Alston,PG,30.0,82.0,3040.0,383.0,1020.0,0.375,192.0,529.0,0.363,191.0,491.0,0.389,0.47,130.0,177.0,0.734,29.0,253.0,282.0,444.0,129.0,10.0,170.0,195.0,1088.0,OOR
Lou Amundson,PF,24.0,11.0,89.0,6.0,15.0,0.4,0.0,0.0,0.0,6.0,15.0,0.4,0.4,4.0,10.0,0.4,13.0,15.0,28.0,1.0,1.0,8.0,5.0,15.0,16.0,OOR
Alan Anderson,SG,24.0,17.0,256.0,37.0,81.0,0.457,5.0,20.0,0.25,32.0,61.0,0.525,0.488,19.0,23.0,0.826,11.0,21.0,32.0,21.0,7.0,0.0,22.0,33.0,98.0,OOR
Derek Anderson,SF,32.0,50.0,1190.0,126.0,294.0,0.429,54.0,152.0,0.355,72.0,142.0,0.507,0.52,93.0,106.0,0.877,29.0,84.0,113.0,133.0,52.0,7.0,56.0,115.0,399.0,OOR
Carmelo Anthony,SF,22.0,65.0,2486.0,691.0,1453.0,0.476,40.0,149.0,0.268,651.0,1304.0,0.499,0.489,459.0,568.0,0.808,143.0,248.0,391.0,249.0,77.0,23.0,234.0,203.0,1881.0,OOR
Rafael Araújo,C,26.0,28.0,248.0,27.0,65.0,0.415,0.0,0.0,0.0,27.0,65.0,0.415,0.415,18.0,29.0,0.621,22.0,44.0,66.0,10.0,6.0,2.0,17.0,39.0,72.0,OOR
Gilbert Arenas,PG,25.0,74.0,2942.0,647.0,1548.0,0.418,205.0,584.0,0.351,442.0,964.0,0.459,0.484,606.0,718.0,0.844,61.0,277.0,338.0,443.0,139.0,13.0,236.0,249.0,2105.0,OOR
Trevor Ariza,SG,21.0,57.0,1278.0,200.0,371.0,0.539,0.0,7.0,0.0,200.0,364.0,0.549,0.539,106.0,171.0,0.62,98.0,151.0,249.0,65.0,59.0,19.0,84.0,134.0,506.0,OOR
Darrell Armstrong,PG,38.0,81.0,1275.0,156.0,377.0,0.414,72.0,214.0,0.336,84.0,163.0,0.515,0.509,73.0,93.0,0.785,34.0,101.0,135.0,191.0,70.0,6.0,76.0,102.0,457.0,OOR
Hilton Armstrong,C,22.0,56.0,634.0,68.0,125.0,0.544,0.0,0.0,0.0,68.0,125.0,0.544,0.544,40.0,67.0,0.597,58.0,91.0,149.0,10.0,12.0,26.0,35.0,79.0,176.0,OOR
Carlos Arroyo,PG,27.0,72.0,1304.0,203.0,478.0,0.425,14.0,51.0,0.275,189.0,427.0,0.443,0.439,132.0,166.0,0.795,31.0,103.0,134.0,202.0,39.0,2.0,90.0,131.0,552.0,OOR
Chucky Atkins,PG,32.0,75.0,2064.0,310.0,715.0,0.434,116.0,306.0,0.379,194.0,409.0,0.474,0.515,252.0,311.0,0.81,18.0,121.0,139.0,346.0,50.0,4.0,127.0,136.0,988.0,OOR
James Augustine,PF,22.0,2.0,7.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,OOR
Kelenna Azubuike,SG,23.0,41.0,669.0,98.0,220.0,0.445,34.0,79.0,0.43,64.0,141.0,0.454,0.523,61.0,78.0,0.782,26.0,68.0,94.0,28.0,22.0,10.0,39.0,49.0,291.0,OOR
Renaldo Balkman,SF,22.0,68.0,1064.0,139.0,275.0,0.505,5.0,27.0,0.185,134.0,248.0,0.54,0.515,51.0,90.0,0.567,97.0,197.0,294.0,44.0,57.0,44.0,49.0,146.0,334.0,OOR
Marcus Banks,PG,25.0,45.0,503.0,84.0,196.0,0.429,5.0,29.0,0.172,79.0,167.0,0.473,0.441,48.0,60.0,0.8,10.0,28.0,38.0,60.0,23.0,3.0,40.0,70.0,221.0,OOR
Leandro Barbosa,SG,24.0,80.0,2613.0,529.0,1111.0,0.476,190.0,438.0,0.434,339.0,673.0,0.504,0.562,196.0,232.0,0.845,22.0,192.0,214.0,317.0,96.0,15.0,146.0,210.0,1444.0,OOR
J.J. Barea,PG,22.0,33.0,191.0,28.0,78.0,0.359,6.0,21.0,0.286,22.0,57.0,0.386,0.397,16.0,24.0,0.667,7.0,18.0,25.0,24.0,1.0,1.0,14.0,19.0,78.0,OOR
Andrea Bargnani,PF,21.0,65.0,1629.0,267.0,625.0,0.427,100.0,268.0,0.373,167.0,357.0,0.468,0.507,117.0,142.0,0.824,52.0,203.0,255.0,50.0,32.0,53.0,107.0,180.0,751.0,OOR
Matt Barnes,PF,26.0,76.0,1813.0,275.0,628.0,0.438,106.0,290.0,0.366,169.0,338.0,0.5,0.522,90.0,123.0,0.732,91.0,259.0,350.0,156.0,73.0,41.0,105.0,188.0,746.0,OOR
Andre Barrett,PG,24.0,6.0,29.0,4.0,8.0,0.5,0.0,0.0,0.0,4.0,8.0,0.5,0.5,0.0,0.0,0.0,1.0,4.0,5.0,7.0,0.0,0.0,4.0,4.0,8.0,OOR
Earl Barron,C,25.0,28.0,203.0,24.0,83.0,0.289,0.0,1.0,0.0,24.0,82.0,0.293,0.289,17.0,18.0,0.944,19.0,22.0,41.0,5.0,6.0,4.0,11.0,21.0,65.0,OOR
Brent Barry,SG,35.0,75.0,1631.0,202.0,425.0,0.475,128.0,287.0,0.446,74.0,138.0,0.536,0.626,103.0,117.0,0.88,17.0,143.0,160.0,138.0,56.0,12.0,61.0,88.0,635.0,OOR
Brandon Bass,PF,21.0,21.0,162.0,15.0,44.0,0.341,0.0,1.0,0.0,15.0,43.0,0.349,0.341,12.0,16.0,0.75,13.0,30.0,43.0,3.0,2.0,3.0,10.0,16.0,42.0,OOR
Maceo Baston,PF,31.0,47.0,405.0,49.0,76.0,0.645,3.0,7.0,0.429,46.0,69.0,0.667,0.664,37.0,47.0,0.787,21.0,53.0,74.0,16.0,12.0,18.0,32.0,65.0,138.0,OOR
Esteban Batista,PF,23.0,13.0,81.0,8.0,16.0,0.5,0.0,0.0,0.0,8.0,16.0,0.5,0.5,4.0,7.0,0.571,7.0,23.0,30.0,4.0,3.0,0.0,4.0,13.0,20.0,OOR
Tony Battie,PF,30.0,66.0,1575.0,176.0,360.0,0.489,0.0,1.0,0.0,176.0,359.0,0.49,0.489,52.0,77.0,0.675,92.0,252.0,344.0,35.0,29.0,30.0,61.0,185.0,404.0,OOR
Shane Battier,SF,28.0,82.0,2988.0,292.0,654.0,0.446,157.0,373.0,0.421,135.0,281.0,0.48,0.567,88.0,113.0,0.779,67.0,271.0,338.0,175.0,79.0,60.0,72.0,190.0,829.0,OOR
Charlie Bell,SG,27.0,82.0,2848.0,426.0,974.0,0.437,127.0,361.0,0.352,299.0,613.0,0.488,0.503,131.0,168.0,0.78,57.0,181.0,238.0,247.0,97.0,4.0,104.0,213.0,1110.0,OOR
Raja Bell,SG,30.0,78.0,2917.0,410.0,950.0,0.432,205.0,496.0,0.413,205.0,454.0,0.452,0.539,118.0,152.0,0.776,48.0,203.0,251.0,196.0,50.0,22.0,83.0,233.0,1143.0,OOR
Mike Bibby,PG,28.0,82.0,2784.0,471.0,1166.0,0.404,173.0,481.0,0.36,298.0,685.0,0.435,0.478,288.0,347.0,0.83,39.0,224.0,263.0,388.0,88.0,6.0,197.0,139.0,1403.0,OOR
Andris Biedriņš,C,20.0,82.0,2382.0,348.0,581.0,0.599,0.0,0.0,0.0,348.0,581.0,0.599,0.599,87.0,167.0,0.521,251.0,511.0,762.0,88.0,67.0,136.0,119.0,304.0,783.0,OOR
Chauncey Billups,PG,30.0,70.0,2533.0,348.0,815.0,0.427,109.0,316.0,0.345,239.0,499.0,0.479,0.494,386.0,437.0,0.883,23.0,214.0,237.0,502.0,84.0,17.0,140.0,161.0,1191.0,OOR
Steve Blake,PG,26.0,82.0,2225.0,209.0,509.0,0.411,67.0,208.0,0.322,142.0,301.0,0.472,0.476,43.0,64.0,0.672,21.0,148.0,169.0,408.0,61.0,8.0,129.0,121.0,528.0,OOR
Will Blalock,PG,23.0,14.0,166.0,9.0,30.0,0.3,1.0,5.0,0.2,8.0,25.0,0.32,0.317,6.0,6.0,1.0,6.0,9.0,15.0,17.0,5.0,0.0,12.0,9.0,25.0,OOR
Andray Blatche,PF,20.0,56.0,682.0,86.0,197.0,0.437,4.0,27.0,0.148,82.0,170.0,0.482,0.447,30.0,49.0,0.612,77.0,114.0,191.0,39.0,17.0,32.0,49.0,94.0,206.0,OOR
Mark Blount,C,31.0,82.0,2544.0,427.0,839.0,0.509,9.0,31.0,0.29,418.0,808.0,0.517,0.514,147.0,195.0,0.754,136.0,369.0,505.0,67.0,43.0,58.0,159.0,239.0,1010.0,OOR
Keith Bogans,SG,26.0,59.0,990.0,99.0,245.0,0.404,53.0,137.0,0.387,46.0,108.0,0.426,0.512,47.0,63.0,0.746,16.0,77.0,93.0,59.0,28.0,2.0,46.0,98.0,298.0,OOR
Andrew Bogut,C,22.0,66.0,2258.0,348.0,629.0,0.553,1.0,5.0,0.2,347.0,624.0,0.556,0.554,112.0,194.0,0.577,168.0,416.0,584.0,198.0,49.0,35.0,150.0,216.0,809.0,OOR
Matt Bonner,PF,26.0,56.0,653.0,106.0,237.0,0.447,36.0,94.0,0.383,70.0,143.0,0.49,0.523,27.0,38.0,0.711,64.0,92.0,156.0,22.0,17.0,11.0,25.0,67.0,275.0,OOR
