Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Kareem Abdul-Jabbar,C,41,74,1695,313,659,0.475,0,3,0.0,313,656,0.477,0.475,122,165,0.739,103,231,334,74,38,85,95,196,748,OOR
Mark Acres,C,26,62,632,55,114,0.482,1,1,1.0,54,113,0.478,0.487,26,48,0.542,59,87,146,19,19,6,23,94,137,OOR
Michael Adams,PG,26,77,2787,468,1082,0.433,166,466,0.356,302,616,0.49,0.509,322,393,0.819,71,212,283,490,166,11,180,149,1424,OOR
Mark Aguirre,SF,29,80,2597,586,1270,0.461,51,174,0.293,535,1096,0.488,0.481,288,393,0.733,146,240,386,278,45,36,208,229,1511,OOR
Danny Ainge,PG,29,73,2377,480,1051,0.457,116,305,0.38,364,746,0.488,0.512,205,240,0.854,71,184,255,402,93,8,145,186,1281,OOR
Mark Alarie,PF,25,74,1141,206,431,0.478,13,38,0.342,193,393,0.491,0.493,73,87,0.839,103,152,255,63,25,22,62,160,498,OOR
Steve Alford,PG,24,66,906,148,324,0.457,20,55,0.364,128,269,0.476,0.488,50,61,0.82,10,62,72,92,45,3,45,57,366,OOR
Randy Allen,SG,24,7,43,8,19,0.421,0,1,0.0,8,18,0.444,0.421,1,2,0.5,3,4,7,0,1,1,2,7,17,OOR
Greg Anderson,PF,24,82,2401,460,914,0.503,0,3,0.0,460,911,0.505,0.503,207,403,0.514,255,421,676,61,102,103,180,221,1127,OOR
Michael Anderson,PG,22,36,730,73,175,0.417,1,7,0.143,72,168,0.429,0.42,57,82,0.695,44,45,89,153,44,3,84,64,204,OOR
Richard Anderson,PF,28,72,1082,145,348,0.417,49,141,0.348,96,207,0.464,0.487,32,38,0.842,62,169,231,98,44,12,54,100,371,OOR
Ron Anderson,SF,30,82,2618,566,1152,0.491,2,11,0.182,564,1141,0.494,0.492,196,229,0.856,167,239,406,139,71,23,126,166,1330,OOR
Willie Anderson,SF,22,81,2738,640,1285,0.498,4,21,0.19,636,1264,0.503,0.5,224,289,0.775,152,265,417,372,150,62,261,295,1508,OOR
John Bagley,PG,28,68,1642,200,481,0.416,11,54,0.204,189,427,0.443,0.427,89,123,0.724,36,108,144,391,72,5,159,117,500,OOR
Thurl Bailey,SF,27,82,2777,615,1272,0.483,2,5,0.4,613,1267,0.484,0.484,363,440,0.825,115,332,447,138,48,91,208,185,1595,OOR
Greg Ballard,SF,34,2,15,1,8,0.125,0,1,0.0,1,7,0.143,0.125,4,4,1.0,2,5,7,0,0,0,0,3,6,OOR
