Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Alaa Abdelnaby,PF,23,71,934,178,361,0.493,0,0,0.0,178,361,0.493,0.493,76,101,0.752,81,179,260,30,25,16,66,132,432,OOR,1992
Mahmoud Abdul-Rauf,PG,22,81,1538,356,845,0.421,31,94,0.33,325,751,0.433,0.44,94,108,0.87,22,92,114,192,44,4,117,130,837,OOR,1992
Mark Acres,C,29,68,926,78,151,0.517,1,3,0.333,77,148,0.52,0.52,51,67,0.761,97,155,252,22,25,15,33,140,208,OOR,1992
Michael Adams,PG,29,78,2795,485,1233,0.393,125,386,0.324,360,847,0.425,0.444,313,360,0.869,58,252,310,594,145,9,212,162,1408,OOR,1992
Rafael Addison,SF,27,76,1175,187,432,0.433,14,49,0.286,173,383,0.452,0.449,56,76,0.737,65,100,165,68,28,28,46,109,444,OOR,1992
Mark Aguirre,SF,32,75,1582,339,787,0.431,15,71,0.211,324,716,0.453,0.44,158,230,0.687,67,169,236,126,51,11,105,171,851,OOR,1992
Danny Ainge,SG,32,81,1595,299,676,0.442,78,230,0.339,221,446,0.496,0.5,108,131,0.824,40,108,148,202,73,13,70,148,784,OOR,1992
Victor Alexander,C,22,80,1350,243,459,0.529,0,1,0.0,243,458,0.531,0.529,103,149,0.691,106,230,336,32,45,62,91,176,589,OOR,1992
Greg Anderson,PF,27,82,2793,389,854,0.456,0,4,0.0,389,850,0.458,0.456,167,268,0.623,337,604,941,78,88,65,201,263,945,OOR,1992
Kenny Anderson,PG,21,64,1086,187,480,0.39,3,13,0.231,184,467,0.394,0.393,73,98,0.745,38,89,127,203,67,9,97,68,450,OOR,1992
Nick Anderson,SG,24,60,2203,482,1042,0.463,30,85,0.353,452,957,0.472,0.477,202,303,0.667,98,286,384,163,97,33,126,132,1196,OOR,1992
Ron Anderson,SF,33,82,2432,469,1008,0.465,42,127,0.331,427,881,0.485,0.486,143,163,0.877,96,182,278,135,86,11,109,128,1123,OOR,1992
Willie Anderson,SG,25,57,1889,312,685,0.455,13,56,0.232,299,629,0.475,0.465,107,138,0.775,62,238,300,302,54,51,140,151,744,OOR,1992
Michael Ansley,SF,24,10,45,8,18,0.444,0,0,0.0,8,18,0.444,0.444,5,6,0.833,2,4,6,2,0,0,3,7,21,OOR,1992
Greg Anthony,PG,24,82,1510,161,435,0.37,8,55,0.145,153,380,0.403,0.379,117,158,0.741,33,103,136,314,59,9,98,170,447,OOR,1992
B.J. Armstrong,PG,24,82,1875,335,697,0.481,35,87,0.402,300,610,0.492,0.506,104,129,0.806,19,126,145,266,46,5,94,88,809,OOR,1992
Vincent Askew,SG,25,80,1496,193,379,0.509,1,10,0.1,192,369,0.52,0.511,111,160,0.694,89,144,233,188,47,23,84,128,498,OOR,1992
Keith Askins,SF,24,59,843,84,205,0.41,25,73,0.342,59,132,0.447,0.471,26,37,0.703,65,77,142,38,40,15,47,109,219,OOR,1992
Stacey Augmon,SG,23,82,2505,440,899,0.489,1,6,0.167,439,893,0.492,0.49,213,320,0.666,191,229,420,201,124,27,181,161,1094,OOR,1992
Isaac Austin,C,22,31,112,21,46,0.457,0,0,0.0,21,46,0.457,0.457,19,30,0.633,11,24,35,5,2,2,8,20,61,OOR,1992
Miloš Babić,C,23,9,35,6,13,0.462,0,0,0.0,6,13,0.462,0.462,6,8,0.75,2,9,11,6,1,0,5,0,18,OOR,1992
John Bagley,PG,31,73,1742,223,506,0.441,10,42,0.238,213,464,0.459,0.451,68,95,0.716,38,123,161,480,57,4,148,123,524,OOR,1992
Thurl Bailey,PF,30,84,2104,368,836,0.44,0,2,0.0,368,834,0.441,0.44,215,270,0.796,122,363,485,78,35,117,108,160,951,OOR,1992
Steve Bardo,SG,23,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,OOR,1992
Charles Barkley,SF,28,75,2881,622,1126,0.552,32,137,0.234,590,989,0.597,0.567,454,653,0.695,271,559,830,308,136,44,235,196,1730,OOR,1992
Dana Barros,PG,24,75,1331,238,493,0.483,83,186,0.446,155,307,0.505,0.567,60,79,0.759,17,64,81,125,51,4,56,84,619,OOR,1992
John Battle,SG,29,76,1637,316,659,0.48,2,17,0.118,314,642,0.489,0.481,145,171,0.848,19,93,112,159,36,5,91,116,779,OOR,1992
Kenny Battle,SG,27,16,92,11,17,0.647,0,1,0.0,11,16,0.688,0.647,10,12,0.833,4,12,16,4,2,2,4,10,32,OOR,1992
William Bedford,C,28,32,363,50,121,0.413,0,1,0.0,50,120,0.417,0.413,14,22,0.636,24,39,63,12,6,18,15,56,114,OOR,1992
Benoit Benjamin,C,27,63,1941,354,740,0.478,0,2,0.0,354,738,0.48,0.478,171,249,0.687,130,383,513,76,39,118,175,185,879,OOR,1992
Winston Bennett,SF,26,54,833,80,211,0.379,0,1,0.0,80,210,0.381,0.379,35,50,0.7,63,99,162,38,19,9,33,122,195,OOR,1992
David Benoit,SF,23,77,1161,175,375,0.467,3,14,0.214,172,361,0.476,0.471,81,100,0.81,105,191,296,34,19,44,71,124,434,OOR,1992
Larry Bird,SF,35,45,1662,353,758,0.466,52,128,0.406,301,630,0.478,0.5,150,162,0.926,46,388,434,306,42,33,125,82,908,OOR,1992
Rolando Blackman,SG,32,75,2527,535,1161,0.461,65,169,0.385,470,992,0.474,0.489,239,266,0.898,78,161,239,204,50,22,153,134,1374,OOR,1992
Lance Blanks,SG,25,43,189,25,55,0.455,6,16,0.375,19,39,0.487,0.509,8,11,0.727,9,13,22,19,14,1,14,26,64,OOR,1992
Mookie Blaylock,PG,24,72,2548,429,993,0.432,12,54,0.222,417,939,0.444,0.438,126,177,0.712,101,168,269,492,170,40,152,182,996,OOR,1992
Muggsy Bogues,PG,27,82,2790,317,671,0.472,2,27,0.074,315,644,0.489,0.474,94,120,0.783,58,177,235,743,170,6,156,156,730,OOR,1992
Manute Bol,C,29,71,1267,49,128,0.383,0,9,0.0,49,119,0.412,0.383,12,26,0.462,54,168,222,22,11,205,41,139,110,OOR,1992
Anthony Bonner,PF,23,79,2287,294,658,0.447,1,4,0.25,293,654,0.448,0.448,151,241,0.627,192,293,485,125,94,26,133,194,740,OOR,1992
Anthony Bowie,SG,28,52,1721,312,633,0.493,17,44,0.386,295,589,0.501,0.506,117,136,0.86,70,175,245,163,55,38,107,101,758,OOR,1992
Sam Bowie,C,30,71,2179,421,947,0.445,8,25,0.32,413,922,0.448,0.449,212,280,0.757,203,375,578,186,41,120,150,212,1062,OOR,1992
Terrell Brandon,PG,21,82,1605,252,601,0.419,1,23,0.043,251,578,0.434,0.42,100,124,0.806,49,113,162,316,81,22,136,107,605,OOR,1992
Randy Breuer,C,31,67,1176,161,344,0.468,0,1,0.0,161,343,0.469,0.468,41,77,0.532,98,183,281,89,27,99,41,117,363,OOR,1992
Frank Brickowski,SF,32,65,1556,306,584,0.524,3,6,0.5,303,578,0.524,0.527,125,163,0.767,97,247,344,122,60,23,112,223,740,OOR,1992
Kevin Brooks,SF,22,37,270,43,97,0.443,2,11,0.182,41,86,0.477,0.454,17,21,0.81,13,26,39,11,8,2,18,19,105,OOR,1992
Scott Brooks,PG,26,82,1082,167,374,0.447,32,90,0.356,135,284,0.475,0.489,51,63,0.81,27,72,99,205,66,7,51,82,417,OOR,1992
Chucky Brown,SF,23,42,431,60,128,0.469,0,3,0.0,60,125,0.48,0.469,30,49,0.612,31,51,82,26,12,7,29,48,150,OOR,1992
Dee Brown,PG,23,31,883,149,350,0.426,5,22,0.227,144,328,0.439,0.433,60,78,0.769,15,64,79,164,33,7,59,74,363,OOR,1992
Mike Brown,C,28,82,1783,221,488,0.453,0,1,0.0,221,487,0.454,0.453,190,285,0.667,187,289,476,81,42,34,105,196,632,OOR,1992
Myron Brown,PG,22,4,23,4,6,0.667,1,3,0.333,3,3,1.0,0.75,0,0,0.0,0,3,3,6,1,0,4,2,9,OOR,1992
Randy Brown,PG,23,56,535,77,169,0.456,0,6,0.0,77,163,0.472,0.456,38,58,0.655,26,43,69,59,35,12,42,68,192,OOR,1992
Tony Brown,SF,31,57,655,102,249,0.41,19,63,0.302,83,186,0.446,0.448,48,66,0.727,32,52,84,48,30,5,35,82,271,OOR,1992
Mark Bryant,PF,26,56,800,95,198,0.48,0,3,0.0,95,195,0.487,0.48,40,60,0.667,87,114,201,41,26,8,30,105,230,OOR,1992
Jud Buechler,SF,23,28,290,29,71,0.408,0,1,0.0,29,70,0.414,0.408,12,21,0.571,18,34,52,23,19,7,13,31,70,OOR,1992
Matt Bullard,PF,24,80,1278,205,447,0.459,64,166,0.386,141,281,0.502,0.53,38,50,0.76,73,150,223,75,26,21,56,129,512,OOR,1992
Willie Burton,SF,23,68,1585,280,622,0.45,6,15,0.4,274,607,0.451,0.455,196,245,0.8,76,168,244,123,46,37,119,186,762,OOR,1992
