Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Terrence Ross,SF,25.0,78.0,1955.0,326.0,746.0,0.437,142.0,391.0,0.363,184.0,355.0,0.518,0.532,64.0,77.0,0.831,18.0,188.0,206.0,88.0,87.0,33.0,68.0,143.0,858.0
Terry Rozier,PG,22.0,74.0,1263.0,151.0,411.0,0.367,57.0,179.0,0.318,94.0,232.0,0.405,0.437,51.0,66.0,0.773,40.0,187.0,227.0,131.0,46.0,11.0,47.0,69.0,410.0
Ricky Rubio,PG,26.0,75.0,2469.0,261.0,650.0,0.402,60.0,196.0,0.306,201.0,454.0,0.443,0.448,254.0,285.0,0.891,68.0,237.0,305.0,682.0,128.0,10.0,195.0,202.0,836.0
Damjan Rudež,SF,30.0,45.0,314.0,31.0,88.0,0.352,20.0,64.0,0.313,11.0,24.0,0.458,0.466,0.0,0.0,0.0,5.0,20.0,25.0,20.0,12.0,1.0,9.0,31.0,82.0
Brandon Rush,SG,31.0,47.0,1030.0,70.0,187.0,0.374,44.0,114.0,0.386,26.0,73.0,0.356,0.492,13.0,18.0,0.722,16.0,83.0,99.0,45.0,22.0,23.0,28.0,42.0,197.0
D'Angelo Russell,PG,20.0,63.0,1811.0,351.0,867.0,0.405,135.0,384.0,0.352,216.0,483.0,0.447,0.483,147.0,188.0,0.782,31.0,190.0,221.0,303.0,87.0,16.0,176.0,130.0,984.0
Domantas Sabonis,PF,20.0,81.0,1632.0,192.0,481.0,0.399,51.0,159.0,0.321,141.0,322.0,0.438,0.452,44.0,67.0,0.657,46.0,242.0,288.0,82.0,39.0,32.0,83.0,200.0,479.0
Larry Sanders,C,28.0,5.0,13.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,0.25,0.25,2.0,2.0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,5.0,4.0
Dario Šarić,PF,22.0,81.0,2129.0,381.0,927.0,0.411,106.0,341.0,0.311,275.0,586.0,0.469,0.468,172.0,220.0,0.782,112.0,401.0,513.0,182.0,57.0,30.0,183.0,162.0,1040.0
Tomáš Satoranský,SG,25.0,57.0,719.0,61.0,147.0,0.415,9.0,37.0,0.243,52.0,110.0,0.473,0.446,23.0,33.0,0.697,25.0,58.0,83.0,92.0,26.0,6.0,38.0,60.0,154.0
Dennis Schröder,PG,23.0,79.0,2485.0,548.0,1214.0,0.451,100.0,294.0,0.34,448.0,920.0,0.487,0.493,218.0,255.0,0.855,42.0,206.0,248.0,499.0,74.0,16.0,258.0,149.0,1414.0
Luis Scola,PF,36.0,36.0,461.0,71.0,151.0,0.47,17.0,50.0,0.34,54.0,101.0,0.535,0.526,25.0,37.0,0.676,51.0,88.0,139.0,37.0,14.0,4.0,34.0,63.0,184.0
Mike Scott,PF,28.0,18.0,195.0,17.0,59.0,0.288,4.0,27.0,0.148,13.0,32.0,0.406,0.322,7.0,8.0,0.875,10.0,27.0,37.0,17.0,4.0,3.0,8.0,12.0,45.0
Thabo Sefolosha,SF,32.0,62.0,1596.0,174.0,395.0,0.441,41.0,120.0,0.342,133.0,275.0,0.484,0.492,55.0,75.0,0.733,54.0,216.0,270.0,107.0,96.0,31.0,58.0,97.0,444.0
