Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Alex Acker,SG,26,25,199,30,76,0.395,7,20,0.35,23,56,0.411,0.441,5,10,0.5,8,16,24,12,5,4,7,9,72,OOR
Hassan Adams,SG,24,12,52,4,13,0.308,0,0,0.0,4,13,0.308,0.308,3,6,0.5,1,6,7,1,1,1,4,4,11,OOR
Arron Afflalo,SG,23,74,1234,131,300,0.437,43,107,0.402,88,193,0.456,0.508,58,71,0.817,30,104,134,44,28,13,43,144,363,OOR
Maurice Ager,SG,24,20,97,15,43,0.349,0,6,0.0,15,37,0.405,0.349,4,8,0.5,3,7,10,3,1,2,4,17,34,OOR
Blake Ahearn,PG,24,3,19,2,6,0.333,2,4,0.5,0,2,0.0,0.5,2,2,1.0,0,1,1,2,1,0,1,3,8,OOR
Alexis Ajinça,PF,20,31,182,25,69,0.362,0,2,0.0,25,67,0.373,0.362,20,28,0.714,9,21,30,3,7,6,12,34,70,OOR
LaMarcus Aldridge,PF,23,81,3004,601,1243,0.484,7,28,0.25,594,1215,0.489,0.486,261,334,0.781,234,371,605,157,77,77,121,207,1470,OOR
Joe Alexander,SF,22,59,716,102,245,0.416,16,46,0.348,86,199,0.432,0.449,58,83,0.699,44,71,115,42,15,29,52,107,278,OOR
Malik Allen,PF,30,49,579,73,170,0.429,0,1,0.0,73,169,0.432,0.429,10,21,0.476,35,68,103,35,7,12,20,89,156,OOR
Ray Allen,SG,33,79,2876,499,1040,0.48,199,486,0.409,300,554,0.542,0.575,237,249,0.952,66,212,278,218,69,13,134,157,1434,OOR
Tony Allen,SG,27,46,887,137,284,0.482,6,27,0.222,131,257,0.51,0.493,79,109,0.725,22,82,104,66,54,23,77,98,359,OOR
Morris Almond,SG,23,25,255,33,81,0.407,5,17,0.294,28,64,0.438,0.438,21,26,0.808,9,27,36,7,4,4,16,31,92,OOR
Rafer Alston,PG,32,77,2447,316,820,0.385,112,331,0.338,204,489,0.417,0.454,156,208,0.75,33,194,227,406,108,10,140,135,900,OOR
Lou Amundson,PF,26,76,1044,134,250,0.536,0,1,0.0,134,249,0.538,0.536,53,120,0.442,128,142,270,28,32,65,56,154,321,OOR
Chris Andersen,C,30,71,1460,160,292,0.548,2,10,0.2,158,282,0.56,0.551,130,181,0.718,163,279,442,31,41,175,69,174,452,OOR
Ryan Anderson,PF,20,66,1312,160,407,0.393,69,189,0.365,91,218,0.417,0.478,98,116,0.845,104,207,311,52,44,20,63,157,487,OOR
Carmelo Anthony,SF,24,66,2277,535,1207,0.443,63,170,0.371,472,1037,0.455,0.469,371,468,0.793,106,344,450,222,75,24,199,195,1504,OOR
Joel Anthony,C,26,65,1048,57,118,0.483,0,0,0.0,57,118,0.483,0.483,30,46,0.652,89,108,197,27,20,93,41,139,144,OOR
Gilbert Arenas,PG,27,2,63,6,23,0.261,2,7,0.286,4,16,0.25,0.304,12,16,0.75,1,8,9,20,0,1,1,4,26,OOR
Trevor Ariza,SF,23,82,1999,274,596,0.46,61,191,0.319,213,405,0.526,0.511,120,169,0.71,111,241,352,145,137,24,87,166,729,OOR
Hilton Armstrong,C,24,70,1092,138,246,0.561,0,2,0.0,138,244,0.566,0.561,62,98,0.633,81,114,195,29,26,45,80,181,338,OOR
Darrell Arthur,PF,20,76,1464,191,436,0.438,0,2,0.0,191,434,0.44,0.438,40,60,0.667,108,238,346,43,52,52,47,206,422,OOR
Chucky Atkins,PG,34,33,412,34,113,0.301,15,57,0.263,19,56,0.339,0.367,15,16,0.938,5,19,24,59,10,2,23,27,98,OOR
D.J. Augustin,PG,21,72,1908,267,621,0.43,108,246,0.439,159,375,0.424,0.517,208,233,0.893,17,116,133,250,42,2,119,140,850,OOR
Kelenna Azubuike,SF,25,74,2375,392,845,0.464,94,210,0.448,298,635,0.469,0.52,185,229,0.808,112,258,370,117,57,50,95,183,1063,OOR
Renaldo Balkman,PF,24,53,780,110,197,0.558,2,7,0.286,108,190,0.568,0.563,42,65,0.646,86,117,203,34,47,23,35,98,264,OOR
Marcus Banks,PG,27,22,206,21,57,0.368,3,19,0.158,18,38,0.474,0.395,11,18,0.611,1,17,18,28,11,2,14,26,56,OOR
Leandro Barbosa,SG,26,70,1705,366,759,0.482,90,240,0.375,276,519,0.532,0.542,171,194,0.881,34,147,181,162,82,7,93,115,993,OOR
J.J. Barea,SG,24,79,1600,246,557,0.442,55,154,0.357,191,403,0.474,0.491,70,93,0.753,36,141,177,269,37,5,105,121,617,OOR
Andrea Bargnani,PF,23,78,2453,431,958,0.45,119,291,0.409,312,667,0.468,0.512,221,266,0.831,70,346,416,94,34,97,135,242,1202,OOR
