Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W
Kareem Abdul-Jabbar,C,38,LAL,79,2629,755,1338,0.564,0,2,0.0,755,1336,0.565,0.564,336,439,0.765,133,345,478,280,67,130,203,248,1846,22.7,0.603,0.001,0.328,6.0,14.2,10.3,15.7,1.2,2.7,11.7,26.6,7.6,3.2,10.8,0.197,4.4,1.0,5.4,4.9,0,0.173,Candidate,1986,32.0
Alvan Adams,C,31,PHO,78,2005,341,679,0.502,0,2,0.0,341,677,0.504,0.502,159,203,0.783,148,329,477,324,103,46,206,272,841,15.3,0.547,0.003,0.299,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,1.2,2.7,3.9,0.094,0.2,1.5,1.6,1.8,0,0.0,OOR,1986,31.0
Michael Adams,PG,23,SAC,18,139,16,44,0.364,0,3,0.0,16,41,0.39,0.364,8,12,0.667,2,4,6,22,9,1,11,9,40,8.0,0.406,0.068,0.273,1.6,3.2,2.4,20.3,3.0,0.4,18.2,17.5,-0.2,0.1,-0.1,-0.028,-3.6,-0.2,-3.8,-0.1,0,0.0,OOR,1986,35.0
Mark Aguirre,SF,26,DAL,74,2501,668,1327,0.503,16,56,0.286,652,1271,0.513,0.509,318,451,0.705,177,268,445,339,62,14,252,229,1670,19.2,0.547,0.042,0.34,7.9,11.6,9.8,20.9,1.2,0.3,14.2,29.0,3.7,0.9,4.7,0.09,2.3,-2.1,0.3,1.4,0,0.0,OOR,1986,42.0
Danny Ainge,SG,26,BOS,80,2407,353,701,0.504,26,73,0.356,327,628,0.521,0.522,123,136,0.904,47,188,235,405,94,7,129,204,855,13.6,0.562,0.104,0.194,2.3,8.1,5.4,21.3,1.9,0.2,14.5,15.2,3.6,3.2,6.8,0.136,-0.1,1.0,0.9,1.8,0,0.0,OOR,1986,67.0
Ron Anderson,SF,27,IND,77,1676,310,628,0.494,2,9,0.222,308,619,0.498,0.495,85,127,0.669,130,144,274,144,56,6,82,125,707,14.0,0.517,0.014,0.202,8.5,9.3,8.9,12.5,1.6,0.2,10.7,18.7,1.6,1.5,3.1,0.09,0.3,-0.4,-0.1,0.8,0,0.0,OOR,1986,26.0
John Bagley,PG,25,CLE,78,2472,366,865,0.423,9,37,0.243,357,828,0.431,0.428,170,215,0.791,76,199,275,735,122,10,239,165,911,15.2,0.475,0.043,0.249,3.4,8.9,6.1,40.7,2.3,0.2,19.9,19.8,1.0,2.0,3.0,0.059,1.3,-0.7,0.6,1.6,0,0.0,OOR,1986,29.0
James Bailey,PF,28,NYK,48,1245,202,443,0.456,0,4,0.0,202,439,0.46,0.456,129,167,0.772,102,232,334,50,33,40,99,207,533,12.6,0.516,0.009,0.377,8.8,22.1,15.2,6.1,1.3,2.0,16.1,20.7,0.0,2.0,1.9,0.075,-3.3,0.1,-3.2,-0.4,0,0.0,OOR,1986,23.0
Thurl Bailey,PF,24,UTA,82,2358,483,1077,0.448,0,7,0.0,483,1070,0.451,0.448,230,277,0.83,148,345,493,153,42,114,144,160,1196,15.0,0.499,0.006,0.257,6.9,15.7,11.4,9.7,0.8,2.7,10.7,23.0,1.0,3.0,4.0,0.081,-0.5,-0.4,-0.9,0.7,0,0.0,OOR,1986,37.0
Greg Ballard,SF,31,GSW,75,1792,272,570,0.477,17,35,0.486,255,535,0.477,0.492,101,126,0.802,132,285,417,83,65,8,54,174,662,13.4,0.529,0.061,0.221,7.7,17.9,12.6,6.0,1.7,0.2,7.9,14.9,2.6,1.0,3.6,0.097,-0.3,-0.7,-1.0,0.4,0,0.0,OOR,1986,
Gene Banks,SF,26,CHI,82,2139,356,688,0.517,0,19,0.0,356,669,0.532,0.517,183,255,0.718,178,182,360,251,81,10,139,212,895,15.5,0.559,0.028,0.371,9.1,10.0,9.5,16.6,1.8,0.3,14.8,17.9,3.7,0.6,4.3,0.097,1.6,-0.9,0.8,1.5,0,0.0,OOR,1986,30.0
Ken Bannister,PF,25,NYK,70,1405,235,479,0.491,0,1,0.0,235,478,0.492,0.491,131,249,0.526,89,233,322,42,42,24,129,208,601,10.4,0.511,0.002,0.52,6.8,19.7,13.0,4.6,1.5,1.1,18.0,21.4,-1.3,2.0,0.7,0.025,-4.2,-0.1,-4.3,-0.8,0,0.0,OOR,1986,23.0
Charles Barkley,PF,22,PHI,80,2952,595,1041,0.572,17,75,0.227,578,966,0.598,0.58,396,578,0.685,354,672,1026,312,173,125,350,333,1603,22.4,0.619,0.072,0.555,13.4,25.4,19.4,16.0,2.8,2.4,21.3,22.4,5.4,5.5,10.8,0.176,3.1,2.0,5.1,5.3,0,0.171,Candidate,1986,54.0
John Battle,SG,23,ATL,64,639,101,222,0.455,0,7,0.0,101,215,0.47,0.455,75,103,0.728,12,50,62,74,23,3,47,80,277,11.7,0.518,0.032,0.464,2.1,8.6,5.3,16.3,1.7,0.3,15.0,20.1,0.4,0.6,1.0,0.074,-2.1,0.2,-1.9,0.0,0,0.0,OOR,1986,50.0
Benoit Benjamin,C,21,LAC,79,2088,324,661,0.49,1,3,0.333,323,658,0.491,0.491,229,307,0.746,161,439,600,79,64,206,145,286,878,16.1,0.551,0.005,0.464,8.4,23.6,15.9,5.4,1.4,5.3,15.4,18.1,1.7,2.3,4.0,0.093,-1.6,1.1,-0.5,0.8,0,0.0,OOR,1986,30.0
