Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,PG,31.0,41.0,486.0,120.0,246.0,0.488,4.0,14.0,0.286,116.0,232.0,0.5,0.496,22.0,29.0,0.759,5.0,20.0,25.0,76.0,9.0,1.0,26.0,50.0,266.0
Tariq Abdul-Wahad,SG,26.0,29.0,420.0,43.0,111.0,0.387,4.0,10.0,0.4,39.0,101.0,0.386,0.405,21.0,36.0,0.583,14.0,45.0,59.0,22.0,14.0,13.0,34.0,54.0,111.0
Shareef Abdur-Rahim,SF,24.0,81.0,3241.0,604.0,1280.0,0.472,12.0,64.0,0.188,592.0,1216.0,0.487,0.477,443.0,531.0,0.834,175.0,560.0,735.0,250.0,90.0,77.0,231.0,238.0,1663.0
Cory Alexander,PG,27.0,26.0,227.0,18.0,56.0,0.321,4.0,16.0,0.25,14.0,40.0,0.35,0.357,12.0,18.0,0.667,0.0,25.0,25.0,36.0,16.0,0.0,25.0,29.0,52.0
Courtney Alexander,PG,23.0,65.0,1382.0,239.0,573.0,0.417,17.0,46.0,0.37,222.0,527.0,0.421,0.432,123.0,150.0,0.82,42.0,101.0,143.0,62.0,45.0,5.0,75.0,139.0,618.0
Ray Allen,SG,25.0,82.0,3129.0,628.0,1309.0,0.48,202.0,467.0,0.433,426.0,842.0,0.506,0.557,348.0,392.0,0.888,101.0,327.0,428.0,374.0,124.0,20.0,204.0,192.0,1806.0
Rafer Alston,PG,24.0,37.0,288.0,30.0,84.0,0.357,8.0,30.0,0.267,22.0,54.0,0.407,0.405,9.0,13.0,0.692,4.0,27.0,31.0,68.0,13.0,0.0,20.0,27.0,77.0
John Amaechi,C,30.0,82.0,1710.0,237.0,592.0,0.4,0.0,7.0,0.0,237.0,585.0,0.405,0.4,176.0,279.0,0.631,77.0,191.0,268.0,74.0,28.0,29.0,124.0,175.0,650.0
Derek Anderson,SG,26.0,82.0,2859.0,413.0,993.0,0.416,101.0,253.0,0.399,312.0,740.0,0.422,0.467,342.0,402.0,0.851,75.0,288.0,363.0,301.0,120.0,14.0,165.0,188.0,1269.0
Kenny Anderson,PG,30.0,33.0,849.0,88.0,227.0,0.388,11.0,33.0,0.333,77.0,194.0,0.397,0.412,59.0,71.0,0.831,16.0,57.0,73.0,134.0,44.0,2.0,52.0,62.0,246.0
Nick Anderson,SG,33.0,21.0,169.0,14.0,57.0,0.246,10.0,39.0,0.256,4.0,18.0,0.222,0.333,0.0,0.0,0.0,3.0,22.0,25.0,13.0,10.0,4.0,7.0,13.0,38.0
Shandon Anderson,SG,27.0,82.0,2396.0,263.0,590.0,0.446,46.0,170.0,0.271,217.0,420.0,0.517,0.485,138.0,188.0,0.734,72.0,261.0,333.0,189.0,82.0,40.0,131.0,202.0,710.0
Greg Anthony,PG,33.0,58.0,856.0,97.0,253.0,0.383,65.0,159.0,0.409,32.0,94.0,0.34,0.512,23.0,35.0,0.657,21.0,40.0,61.0,82.0,40.0,3.0,43.0,63.0,282.0
Darrell Armstrong,PG,32.0,75.0,2767.0,413.0,1002.0,0.412,143.0,403.0,0.355,270.0,599.0,0.451,0.484,220.0,249.0,0.884,94.0,249.0,343.0,524.0,135.0,13.0,200.0,155.0,1189.0
Chucky Atkins,PG,26.0,81.0,2363.0,380.0,952.0,0.399,121.0,339.0,0.357,259.0,613.0,0.423,0.463,90.0,130.0,0.692,28.0,145.0,173.0,330.0,67.0,5.0,149.0,184.0,971.0
Stacey Augmon,SG,32.0,66.0,1182.0,127.0,266.0,0.477,0.0,4.0,0.0,127.0,262.0,0.485,0.477,57.0,87.0,0.655,60.0,99.0,159.0,98.0,48.0,21.0,48.0,105.0,311.0
Isaac Austin,C,31.0,52.0,845.0,96.0,270.0,0.356,6.0,24.0,0.25,90.0,246.0,0.366,0.367,28.0,40.0,0.7,50.0,172.0,222.0,58.0,20.0,23.0,54.0,94.0,226.0
William Avery,PG,21.0,55.0,463.0,55.0,144.0,0.382,16.0,59.0,0.271,39.0,85.0,0.459,0.438,28.0,36.0,0.778,5.0,24.0,29.0,75.0,13.0,4.0,45.0,48.0,154.0
Dalibor Bagarić,C,20.0,35.0,259.0,17.0,65.0,0.262,0.0,1.0,0.0,17.0,64.0,0.266,0.262,13.0,28.0,0.464,22.0,34.0,56.0,10.0,9.0,16.0,21.0,44.0,47.0
Vin Baker,PF,29.0,76.0,2129.0,347.0,822.0,0.422,1.0,16.0,0.063,346.0,806.0,0.429,0.423,232.0,321.0,0.723,179.0,251.0,430.0,90.0,38.0,73.0,158.0,264.0,927.0
Erick Barkley,PG,22.0,8.0,38.0,8.0,22.0,0.364,3.0,8.0,0.375,5.0,14.0,0.357,0.432,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,5.0,2.0,19.0
Dana Barros,PG,33.0,60.0,1079.0,183.0,412.0,0.444,44.0,105.0,0.419,139.0,307.0,0.453,0.498,68.0,80.0,0.85,6.0,88.0,94.0,110.0,30.0,2.0,60.0,63.0,478.0
Brent Barry,SG,29.0,67.0,1778.0,198.0,401.0,0.494,109.0,229.0,0.476,89.0,172.0,0.517,0.63,84.0,103.0,0.816,33.0,178.0,211.0,225.0,80.0,14.0,86.0,126.0,589.0
Jon Barry,SG,31.0,62.0,1010.0,103.0,255.0,0.404,46.0,132.0,0.348,57.0,123.0,0.463,0.494,64.0,73.0,0.877,16.0,78.0,94.0,130.0,28.0,6.0,53.0,66.0,316.0
Tony Battie,C,24.0,40.0,845.0,108.0,201.0,0.537,0.0,3.0,0.0,108.0,198.0,0.545,0.537,44.0,69.0,0.638,73.0,160.0,233.0,16.0,27.0,60.0,37.0,126.0,260.0
Raja Bell,SG,24.0,5.0,30.0,2.0,7.0,0.286,1.0,3.0,0.333,1.0,4.0,0.25,0.357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0
Jonathan Bender,SF,20.0,59.0,574.0,66.0,186.0,0.355,11.0,41.0,0.268,55.0,145.0,0.379,0.384,50.0,68.0,0.735,14.0,60.0,74.0,32.0,7.0,28.0,42.0,73.0,193.0
