Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Alaa Abdelnaby,PF,25,13,159,24,55,0.436,0,0,0.0,24,55,0.436,0.436,16,25,0.64,12,34,46,3,2,3,17,20,64,OOR
Mahmoud Abdul-Rauf,PG,24,80,2617,588,1279,0.46,42,133,0.316,546,1146,0.476,0.476,219,229,0.956,27,141,168,362,82,10,151,150,1437,OOR
Michael Adams,PG,31,70,2337,285,698,0.408,55,191,0.288,230,507,0.454,0.448,224,270,0.83,37,146,183,480,96,6,167,140,849,OOR
Mark Aguirre,SF,34,39,859,163,348,0.468,37,93,0.398,126,255,0.494,0.522,50,72,0.694,28,88,116,104,21,8,70,98,413,OOR
Danny Ainge,SG,34,68,1555,224,537,0.417,80,244,0.328,144,293,0.491,0.492,78,94,0.83,28,103,131,180,57,8,81,140,606,OOR
Gary Alexander,PF,24,11,55,8,14,0.571,0,0,0.0,8,14,0.571,0.571,3,9,0.333,7,8,15,2,3,0,8,10,19,OOR
Victor Alexander,C,24,69,1318,266,502,0.53,2,13,0.154,264,489,0.54,0.532,68,129,0.527,114,194,308,66,28,32,86,168,602,OOR
Eric Anderson,PF,23,11,39,7,17,0.412,2,2,1.0,5,15,0.333,0.471,5,14,0.357,6,11,17,2,0,1,2,9,21,OOR
Greg Anderson,PF,29,77,1624,201,370,0.543,1,3,0.333,200,367,0.545,0.545,88,154,0.571,183,388,571,51,55,68,94,234,491,OOR
Kenny Anderson,PG,23,82,3135,576,1381,0.417,40,132,0.303,536,1249,0.429,0.432,346,423,0.818,89,233,322,784,158,15,266,201,1538,OOR
Nick Anderson,SG,26,81,2811,504,1054,0.478,101,314,0.322,403,740,0.545,0.526,168,250,0.672,113,363,476,294,134,33,165,148,1277,OOR
Ron Anderson,SF,35,21,356,35,86,0.407,7,26,0.269,28,60,0.467,0.448,19,23,0.826,16,37,53,17,8,3,10,16,96,OOR
Willie Anderson,SG,27,80,2488,394,837,0.471,22,68,0.324,372,769,0.484,0.484,145,171,0.848,68,174,242,347,71,46,153,187,955,OOR
Greg Anthony,PG,26,80,1994,225,571,0.394,48,160,0.3,177,411,0.431,0.436,130,168,0.774,43,146,189,365,114,13,127,163,628,OOR
B.J. Armstrong,PG,26,82,2770,479,1007,0.476,60,135,0.444,419,872,0.481,0.505,194,227,0.855,28,142,170,323,80,9,131,147,1212,OOR
Vincent Askew,SG,27,80,1690,273,567,0.481,6,31,0.194,267,536,0.498,0.487,175,211,0.829,60,124,184,194,73,19,70,145,727,OOR
Keith Askins,SF,26,37,319,36,88,0.409,4,21,0.19,32,67,0.478,0.432,9,10,0.9,33,49,82,13,11,1,21,57,85,OOR
Stacey Augmon,SG,25,82,2605,439,861,0.51,1,7,0.143,438,854,0.513,0.51,333,436,0.764,178,216,394,187,149,45,147,179,1212,OOR
Isaac Austin,C,24,14,201,29,66,0.439,0,1,0.0,29,65,0.446,0.439,14,23,0.609,25,44,69,17,5,10,17,29,72,OOR
Anthony Avent,PF,24,74,1371,150,398,0.377,0,0,0.0,150,398,0.377,0.377,89,123,0.724,144,194,338,65,33,31,85,147,389,OOR
John Bagley,PG,33,3,13,0,2,0.0,0,0,0.0,0,2,0.0,0.0,2,2,1.0,0,1,1,3,0,0,0,2,2,OOR
Thurl Bailey,PF,32,79,1297,232,455,0.51,0,2,0.0,232,453,0.512,0.51,119,149,0.799,66,149,215,54,20,58,58,93,583,OOR
