Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Quincy Acy,PF,22.0,29.0,342.0,42.0,75.0,0.56,1.0,2.0,0.5,41.0,73.0,0.562,0.567,31.0,38.0,0.816,30.0,47.0,77.0,11.0,13.0,15.0,17.0,53.0,116.0,OOR
Jeff Adrien,PF,26.0,52.0,713.0,72.0,168.0,0.429,0.0,2.0,0.0,72.0,166.0,0.434,0.429,65.0,100.0,0.65,68.0,128.0,196.0,36.0,18.0,27.0,32.0,80.0,209.0,OOR
Arron Afflalo,SF,27.0,64.0,2307.0,397.0,905.0,0.439,72.0,240.0,0.3,325.0,665.0,0.489,0.478,191.0,223.0,0.857,29.0,210.0,239.0,206.0,40.0,11.0,138.0,137.0,1057.0,OOR
Josh Akognon,PG,26.0,3.0,9.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,OOR
Cole Aldrich,C,24.0,45.0,388.0,44.0,80.0,0.55,0.0,0.0,0.0,44.0,80.0,0.55,0.55,12.0,20.0,0.6,30.0,90.0,120.0,9.0,5.0,23.0,23.0,60.0,100.0,OOR
LaMarcus Aldridge,PF,27.0,74.0,2790.0,638.0,1318.0,0.484,2.0,14.0,0.143,636.0,1304.0,0.488,0.485,282.0,348.0,0.81,175.0,495.0,670.0,192.0,62.0,91.0,143.0,187.0,1560.0,OOR
Lavoy Allen,C,23.0,79.0,1669.0,206.0,454.0,0.454,0.0,1.0,0.0,206.0,453.0,0.455,0.454,43.0,60.0,0.717,159.0,236.0,395.0,73.0,24.0,55.0,55.0,180.0,455.0,OOR
Ray Allen,SG,37.0,79.0,2035.0,292.0,651.0,0.449,139.0,332.0,0.419,153.0,319.0,0.48,0.555,140.0,158.0,0.886,40.0,177.0,217.0,135.0,67.0,15.0,103.0,129.0,863.0,OOR
Tony Allen,SG,31.0,79.0,2109.0,284.0,638.0,0.445,3.0,24.0,0.125,281.0,614.0,0.458,0.447,134.0,187.0,0.717,121.0,242.0,363.0,98.0,119.0,44.0,94.0,211.0,705.0,OOR
Al-Farouq Aminu,SF,22.0,76.0,2066.0,225.0,474.0,0.475,4.0,19.0,0.211,221.0,455.0,0.486,0.479,101.0,137.0,0.737,139.0,446.0,585.0,103.0,92.0,51.0,116.0,153.0,555.0,OOR
Lou Amundson,PF,30.0,39.0,372.0,32.0,81.0,0.395,0.0,0.0,0.0,32.0,81.0,0.395,0.395,12.0,36.0,0.333,48.0,58.0,106.0,11.0,16.0,12.0,19.0,53.0,76.0,OOR
Chris Andersen,C,34.0,42.0,624.0,71.0,123.0,0.577,2.0,3.0,0.667,69.0,120.0,0.575,0.585,63.0,93.0,0.677,57.0,115.0,172.0,17.0,16.0,44.0,24.0,89.0,207.0,OOR
