Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W
Kareem Abdul-Jabbar,C,36,LAL,80,2622,716,1238,0.578,0,1,0.0,716,1237,0.579,0.578,285,394,0.723,169,418,587,211,55,143,221,211,1717,21.3,0.608,0.001,0.318,7.8,16.8,12.7,11.5,1.0,2.9,13.5,25.1,5.9,3.1,8.9,0.163,2.8,0.2,3.0,3.3,3,0.201,Candidate,1984,42.0
Alvan Adams,C,29,PHO,70,1452,269,582,0.462,0,4,0.0,269,578,0.465,0.462,132,160,0.825,118,201,319,219,73,31,117,195,670,16.6,0.513,0.007,0.275,9.5,16.3,12.9,20.3,2.4,1.2,15.2,21.7,1.5,1.8,3.3,0.109,0.7,0.9,1.6,1.3,0,0.0,OOR,1984,30.0
Mark Aguirre,SF,24,DAL,79,2900,925,1765,0.524,15,56,0.268,910,1709,0.532,0.528,465,621,0.749,161,308,469,358,80,22,285,246,2330,23.5,0.572,0.032,0.352,6.4,12.3,9.4,21.0,1.3,0.4,12.3,33.4,7.0,2.0,9.0,0.149,5.0,-1.2,3.7,4.1,0,0.037,Candidate,1984,38.0
Danny Ainge,SG,24,BOS,71,1154,166,361,0.46,6,22,0.273,160,339,0.472,0.468,46,56,0.821,29,87,116,162,41,4,70,143,384,10.4,0.498,0.061,0.155,3.0,8.3,5.7,18.4,1.7,0.2,15.4,16.2,0.5,1.3,1.8,0.076,-2.2,0.4,-1.8,0.0,0,0.0,OOR,1984,62.0
J.J. Anderson,SF,23,UTA,48,311,55,130,0.423,0,3,0.0,55,127,0.433,0.423,12,29,0.414,38,25,63,22,15,9,20,28,122,11.6,0.427,0.023,0.223,13.6,8.0,10.6,9.6,2.2,1.5,12.3,20.8,-0.2,0.3,0.1,0.013,-2.1,-1.0,-3.1,-0.1,0,0.0,OOR,1984,43.0
Richard Anderson,PF,23,DEN,78,1380,272,638,0.426,3,19,0.158,269,619,0.435,0.429,116,150,0.773,136,270,406,193,46,28,109,183,663,14.6,0.471,0.03,0.235,10.1,21.1,15.5,17.6,1.4,1.1,13.4,22.2,0.3,1.0,1.3,0.044,-0.9,-0.9,-1.9,0.0,0,0.0,OOR,1984,38.0
Tiny Archibald,PG,35,MIL,46,1038,136,279,0.487,4,18,0.222,132,261,0.506,0.495,64,101,0.634,16,60,76,160,33,0,78,78,340,10.6,0.526,0.065,0.362,1.8,6.3,4.2,21.1,1.6,0.0,19.4,16.3,0.3,1.1,1.4,0.065,-1.7,-0.3,-2.0,0.0,0,0.0,OOR,1984,50.0
Ken Austin,SF,22,DET,7,28,6,13,0.462,0,0,0.0,6,13,0.462,0.462,0,0,0.0,2,1,3,1,1,1,3,7,12,5.6,0.462,0.0,0.0,7.3,4.0,5.7,4.8,1.7,2.0,18.8,22.0,0.0,0.0,0.0,-0.046,-4.7,-0.2,-4.9,0.0,0,0.0,OOR,1984,49.0
John Bagley,PG,23,CLE,76,1712,257,607,0.423,2,17,0.118,255,590,0.432,0.425,157,198,0.793,49,107,156,333,78,4,170,113,673,12.8,0.485,0.028,0.326,3.1,7.4,5.2,27.9,2.2,0.1,19.7,21.0,-0.4,1.3,0.9,0.025,-0.9,-0.9,-1.8,0.1,0,0.0,OOR,1984,28.0
James Bailey,PF,26,HOU,73,1174,254,517,0.491,0,1,0.0,254,516,0.492,0.491,138,192,0.719,104,190,294,79,33,40,101,197,646,15.5,0.537,0.002,0.371,9.6,17.4,13.5,9.3,1.3,1.9,14.4,23.6,1.0,1.3,2.3,0.093,-1.1,-0.2,-1.3,0.2,0,0.0,OOR,1984,54.0
Thurl Bailey,PF,22,UTA,81,2009,302,590,0.512,0,0,0.0,302,590,0.512,0.512,88,117,0.752,115,349,464,129,38,122,105,193,692,12.9,0.539,0.0,0.198,6.4,17.3,12.1,8.4,0.9,3.1,14.1,14.8,1.3,2.3,3.6,0.086,-1.2,0.7,-0.5,0.8,0,0.0,OOR,1984,43.0
Greg Ballard,SF,29,WSB,82,2701,510,1061,0.481,2,15,0.133,508,1046,0.486,0.482,166,208,0.798,140,348,488,290,94,35,142,214,1188,15.3,0.515,0.014,0.196,6.1,15.0,10.5,16.5,1.7,0.7,11.0,20.5,2.4,3.2,5.6,0.099,0.6,0.5,1.1,2.1,0,0.0,OOR,1984,35.0
Gene Banks,PF,24,SAS,80,2600,424,747,0.568,1,6,0.167,423,741,0.571,0.568,200,270,0.741,204,378,582,254,105,23,166,256,1049,15.4,0.606,0.008,0.361,8.5,15.2,11.9,12.0,1.8,0.5,16.1,15.4,4.5,1.7,6.2,0.115,1.1,0.0,1.2,2.1,0,0.0,OOR,1984,29.0
Dave Batton,C,27,SAS,4,31,5,10,0.5,0,0,0.0,5,10,0.5,0.5,0,0,0.0,1,3,4,3,0,3,4,5,10,6.4,0.5,0.0,0.0,3.5,10.1,6.9,11.8,0.0,5.0,28.6,17.5,-0.1,0.0,0.0,-0.068,-4.4,0.2,-4.2,0.0,0,0.0,OOR,1984,29.0
Kent Benson,C,29,DET,82,1734,248,451,0.55,0,1,0.0,248,450,0.551,0.55,83,101,0.822,117,292,409,130,71,53,79,230,579,14.0,0.584,0.002,0.224,6.9,18.6,12.6,9.2,1.9,1.7,13.8,12.8,2.5,2.2,4.7,0.131,-0.1,1.6,1.5,1.5,0,0.0,OOR,1984,49.0
