Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Shareef Abdur-Rahim,PF,28,54,1867,337,670,0.503,15,39,0.385,322,631,0.51,0.514,220,254,0.866,123,269,392,111,49,26,117,150,909,OOR,2005
Cory Alexander,SG,31,16,201,16,49,0.327,8,19,0.421,8,30,0.267,0.408,9,12,0.75,8,21,29,37,9,1,19,29,49,OOR,2005
Malik Allen,PF,26,36,519,84,177,0.475,0,0,0.0,84,177,0.475,0.475,26,28,0.929,40,59,99,18,9,22,18,53,194,OOR,2005
Ray Allen,SG,29,78,3064,640,1494,0.428,209,556,0.376,431,938,0.459,0.498,378,428,0.883,79,268,347,289,84,5,171,167,1867,OOR,2005
Tony Allen,SG,23,77,1262,184,387,0.475,12,31,0.387,172,356,0.483,0.491,112,152,0.737,85,136,221,64,76,24,77,156,492,OOR,2005
Rafer Alston,PG,28,80,2717,403,974,0.414,139,389,0.357,264,585,0.451,0.485,191,258,0.74,42,237,279,514,118,7,170,212,1136,OOR,2005
Chris Andersen,C,26,67,1430,191,358,0.534,0,3,0.0,191,355,0.538,0.534,131,190,0.689,137,273,410,71,14,100,64,144,513,OOR,2005
Derek Anderson,SG,30,47,1239,152,391,0.389,58,151,0.384,94,240,0.392,0.463,70,87,0.805,25,103,128,143,36,4,70,89,432,OOR,2005
Kenny Anderson,PG,34,43,743,85,201,0.423,6,13,0.462,79,188,0.42,0.438,27,37,0.73,24,64,88,103,33,0,49,87,203,OOR,2005
Shandon Anderson,SF-SG,31,66,1171,98,217,0.452,5,29,0.172,93,188,0.495,0.463,54,66,0.818,41,150,191,70,40,14,50,138,255,OOR,2005
Carmelo Anthony,SF,20,75,2608,530,1230,0.431,42,158,0.266,488,1072,0.455,0.448,456,573,0.796,141,285,426,194,68,30,224,229,1558,OOR,2005
Rafael Araújo,C,24,59,736,76,175,0.434,1,3,0.333,75,172,0.436,0.437,43,55,0.782,59,126,185,16,21,8,52,157,196,OOR,2005
Gilbert Arenas,PG,23,80,3274,656,1523,0.431,205,562,0.365,451,961,0.469,0.498,521,640,0.814,83,295,378,411,139,23,242,245,2038,OOR,2005
Trevor Ariza,SF,19,80,1382,172,389,0.442,3,13,0.231,169,376,0.449,0.446,121,174,0.695,89,153,242,85,70,18,73,150,468,OOR,2005
Darrell Armstrong,PG,36,66,988,89,277,0.321,28,111,0.252,61,166,0.367,0.372,58,68,0.853,35,80,115,178,45,8,67,92,264,OOR,2005
Carlos Arroyo,PG,25,70,1448,167,429,0.389,8,30,0.267,159,399,0.398,0.399,119,149,0.799,26,78,104,280,44,4,107,143,461,OOR,2005
Chucky Atkins,PG,30,82,2903,388,910,0.426,176,455,0.387,212,455,0.466,0.523,163,203,0.803,31,166,197,358,73,2,151,181,1115,OOR,2005
Stacey Augmon,SF,36,55,663,68,167,0.407,0,0,0.0,68,167,0.407,0.407,57,77,0.74,45,54,99,36,23,8,31,83,193,OOR,2005
Maurice Baker,PG,25,5,19,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,1,1,2,1,1,0,1,3,0,OOR,2005
Vin Baker,PF-C,33,27,204,13,42,0.31,0,1,0.0,13,41,0.317,0.31,9,17,0.529,17,22,39,10,2,4,17,38,35,OOR,2005
Marcus Banks,PG,23,81,1145,115,286,0.402,21,59,0.356,94,227,0.414,0.439,121,163,0.742,29,97,126,155,63,13,79,146,372,OOR,2005
