Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Mark Acres,C,27,80,1691,138,285,0.484,3,4,0.75,135,281,0.48,0.489,83,120,0.692,154,277,431,67,36,25,70,248,362,OOR,1990
Michael Adams,PG,27,79,2690,398,989,0.402,158,432,0.366,240,557,0.431,0.482,267,314,0.85,49,176,225,495,121,3,141,133,1221,OOR,1990
Mark Aguirre,SF,30,78,2005,438,898,0.488,31,93,0.333,407,805,0.506,0.505,192,254,0.756,117,188,305,145,34,19,121,201,1099,OOR,1990
Danny Ainge,PG,30,75,2727,506,1154,0.438,108,289,0.374,398,865,0.46,0.485,222,267,0.831,69,257,326,453,113,18,185,238,1342,OOR,1990
Mark Alarie,PF,26,82,1893,371,785,0.473,10,49,0.204,361,736,0.49,0.479,108,133,0.812,151,223,374,142,60,39,101,219,860,OOR,1990
Steve Alford,PG,25,41,302,63,138,0.457,7,22,0.318,56,116,0.483,0.482,35,37,0.946,2,23,25,39,15,3,16,22,168,OOR,1990
Randy Allen,SG,25,63,746,106,239,0.444,0,7,0.0,106,232,0.457,0.444,23,43,0.535,49,89,138,23,16,19,28,102,235,OOR,1990
Greg Anderson,PF,25,60,1291,219,432,0.507,0,0,0.0,219,432,0.507,0.507,91,170,0.535,112,261,373,24,32,54,80,176,529,OOR,1990
Nick Anderson,SG,22,81,1785,372,753,0.494,1,17,0.059,371,736,0.504,0.495,186,264,0.705,107,209,316,124,69,34,138,140,931,OOR,1990
Richard Anderson,PF,29,54,604,88,211,0.417,37,100,0.37,51,111,0.459,0.505,18,23,0.783,33,94,127,55,20,9,26,64,231,OOR,1990
Ron Anderson,SF,31,78,2089,379,841,0.451,3,21,0.143,376,820,0.459,0.452,165,197,0.838,81,214,295,143,72,13,78,143,926,OOR,1990
Willie Anderson,SG,23,82,2788,532,1082,0.492,7,26,0.269,525,1056,0.497,0.495,217,290,0.748,115,257,372,364,111,58,198,252,1288,OOR,1990
Michael Ansley,SF,22,72,1221,231,465,0.497,0,0,0.0,231,465,0.497,0.497,164,227,0.722,187,175,362,40,24,17,50,152,626,OOR,1990
B.J. Armstrong,PG,22,81,1291,190,392,0.485,3,6,0.5,187,386,0.484,0.489,69,78,0.885,19,83,102,199,46,6,83,105,452,OOR,1990
John Bagley,PG,29,54,1095,100,218,0.459,1,18,0.056,99,200,0.495,0.461,29,39,0.744,26,63,89,296,40,4,90,77,230,OOR,1990
Thurl Bailey,SF,28,82,2583,470,977,0.481,0,8,0.0,470,969,0.485,0.481,222,285,0.779,116,294,410,137,32,100,139,175,1162,OOR,1990
Ken Bannister,PF,29,52,589,77,161,0.478,0,1,0.0,77,160,0.481,0.478,52,110,0.473,39,73,112,18,17,7,44,92,206,OOR,1990
Charles Barkley,SF,26,79,3085,706,1177,0.6,20,92,0.217,686,1085,0.632,0.608,557,744,0.749,361,548,909,307,148,50,243,250,1989,Candidate,1990
Dana Barros,PG,22,81,1630,299,738,0.405,95,238,0.399,204,500,0.408,0.47,89,110,0.809,35,97,132,205,53,1,123,97,782,OOR,1990
John Battle,SG,27,60,1477,275,544,0.506,2,13,0.154,273,531,0.514,0.507,102,135,0.756,27,72,99,154,28,3,89,115,654,OOR,1990
Kenny Battle,SG,25,59,729,93,170,0.547,1,4,0.25,92,166,0.554,0.55,55,82,0.671,44,80,124,38,35,11,32,94,242,OOR,1990
William Bedford,C,26,42,246,54,125,0.432,1,6,0.167,53,119,0.445,0.436,9,22,0.409,15,43,58,4,3,17,21,39,118,OOR,1990
Benoit Benjamin,C,25,71,2313,362,688,0.526,0,1,0.0,362,687,0.527,0.526,235,321,0.732,156,501,657,159,59,187,187,217,959,OOR,1990
Winston Bennett,SF,24,55,990,137,286,0.479,0,0,0.0,137,286,0.479,0.479,64,96,0.667,84,104,188,54,23,10,62,133,338,OOR,1990
Larry Bird,SF,33,75,2944,718,1517,0.473,65,195,0.333,653,1322,0.494,0.495,319,343,0.93,90,622,712,562,106,61,243,173,1820,OOR,1990
Uwe Blab,C,27,47,531,39,98,0.398,0,0,0.0,39,98,0.398,0.398,20,37,0.541,29,79,108,25,1,22,35,102,98,OOR,1990
Rolando Blackman,SG,30,80,2934,626,1256,0.498,13,43,0.302,613,1213,0.505,0.504,287,340,0.844,88,192,280,289,77,21,174,128,1552,OOR,1990
Mookie Blaylock,PG,22,50,1267,212,571,0.371,18,80,0.225,194,491,0.395,0.387,63,81,0.778,42,98,140,210,82,14,111,110,505,OOR,1990
Muggsy Bogues,PG,25,81,2743,326,664,0.491,5,26,0.192,321,638,0.503,0.495,106,134,0.791,48,159,207,867,166,3,146,168,763,OOR,1990
Manute Bol,C,27,75,1310,56,169,0.331,9,48,0.188,47,121,0.388,0.358,25,49,0.51,33,243,276,36,13,238,51,194,146,OOR,1990
Anthony Bowie,SG,26,66,918,119,293,0.406,6,21,0.286,113,272,0.415,0.416,40,54,0.741,36,82,118,96,42,5,59,80,284,OOR,1990
Sam Bowie,C,28,68,2207,347,834,0.416,10,31,0.323,337,803,0.42,0.422,294,379,0.776,206,484,690,91,38,121,125,211,998,OOR,1990
Adrian Branch,SF,26,11,91,25,61,0.41,1,1,1.0,24,60,0.4,0.418,14,22,0.636,8,12,20,4,6,0,8,14,65,OOR,1990
Randy Breuer,C,29,81,1879,298,696,0.428,0,1,0.0,298,695,0.429,0.428,126,193,0.653,154,263,417,97,42,108,96,196,722,OOR,1990
