Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Kareem Abdul-Jabbar,C,34,LAL,76,2677,753,1301,0.579,0,3,0.0,753,1298,0.58,0.579,312,442,0.706,172,487,659,225,63,207,230,224,1818,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,6.9,3.9,10.7,0.192,3.8,1.2,5.0,4.7,0,0.045,Candidate,1982,0.695
Alvan Adams,C,27,PHO,79,2393,507,1027,0.494,0,1,0.0,507,1026,0.494,0.494,182,233,0.781,138,448,586,356,114,78,196,269,1196,18.6,0.529,0.001,0.227,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,2.5,4.7,7.2,0.144,1.4,2.2,3.6,3.4,0,0.0,OOR,1982,0.561
Mark Aguirre,SF,22,DAL,51,1468,381,820,0.465,25,71,0.352,356,749,0.475,0.48,168,247,0.68,89,160,249,164,37,22,135,152,955,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,1.0,0.8,1.9,0.061,2.3,-1.6,0.7,1.0,0,0.0,OOR,1982,0.341
Danny Ainge,SG,22,BOS,53,564,79,221,0.357,5,17,0.294,74,204,0.363,0.369,56,65,0.862,25,31,56,87,37,3,53,86,219,10.1,0.439,0.077,0.294,5.0,5.9,5.5,19.7,3.1,0.3,17.5,21.5,-0.3,0.8,0.5,0.042,-3.7,1.0,-2.7,-0.1,0,0.0,OOR,1982,0.768
Tiny Archibald,PG,33,BOS,68,2167,308,652,0.472,6,16,0.375,302,636,0.475,0.477,236,316,0.747,25,91,116,541,52,3,178,131,858,14.3,0.542,0.025,0.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,3.4,1.8,5.2,0.115,1.4,-1.3,0.1,1.1,0,0.0,OOR,1982,0.768
Dennis Awtrey,C,33,POR,10,121,5,15,0.333,0,0,0.0,5,15,0.333,0.333,5,9,0.556,7,7,14,8,1,2,6,28,15,1.6,0.396,0.0,0.6,6.5,6.4,6.5,7.5,0.4,0.9,24.0,8.5,-0.1,0.0,0.0,-0.013,-4.8,-0.3,-5.1,-0.1,0,0.0,OOR,1982,0.512
Carl Bailey,C,23,POR,1,7,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,0,0.0,0,0,0,0,0,0,2,2,2,-6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,17.6,0.0,0.0,0.0,-0.268,-5.0,-0.1,-5.1,0.0,0,0.0,OOR,1982,0.512
James Bailey,PF,24,NJN,77,1468,261,505,0.517,0,0,0.0,261,505,0.517,0.517,137,224,0.612,127,264,391,65,42,83,139,270,659,13.3,0.546,0.0,0.444,9.7,20.3,15.0,6.3,1.3,3.3,18.7,20.3,0.2,2.7,2.9,0.094,-3.0,1.0,-2.0,0.0,0,0.0,OOR,1982,0.537
Greg Ballard,SF,27,WSB,79,2946,621,1307,0.475,9,22,0.409,612,1285,0.476,0.479,235,283,0.83,136,497,633,250,137,22,119,204,1486,17.9,0.519,0.017,0.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22.0,4.1,5.3,9.4,0.154,1.5,1.7,3.2,3.9,0,0.0,OOR,1982,0.524
Gene Banks,SF,22,SAS,80,1700,311,652,0.477,0,8,0.0,311,644,0.483,0.477,145,212,0.684,157,254,411,147,55,17,106,199,767,14.7,0.515,0.012,0.325,9.9,16.0,13.0,11.5,1.5,0.5,12.5,19.9,1.9,1.6,3.5,0.099,0.0,-0.7,-0.7,0.6,0,0.0,OOR,1982,0.585
