Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W
Mahmoud Abdul-Rauf,PG,26,DEN,57,2029,414,955,0.434,121,309,0.392,293,646,0.454,0.497,146,157,0.93,26,112,138,389,64,3,115,117,1095,18.6,0.535,0.324,0.164,1.5,6.4,3.9,34.7,1.6,0.1,10.1,25.1,4.4,1.1,5.5,0.131,3.5,-1.6,1.9,1.9,0,0.0,OOR,1996,26.0
Michael Adams,PG,33,CHH,21,329,37,83,0.446,14,41,0.341,23,42,0.548,0.53,26,35,0.743,5,17,22,67,21,4,25,25,114,16.1,0.579,0.494,0.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17.0,0.6,0.2,0.8,0.117,1.6,1.2,2.8,0.4,0,0.0,OOR,1996,41.0
Rafael Addison,SF,31,CHH,53,516,77,165,0.467,0,9,0.0,77,156,0.494,0.467,17,22,0.773,25,65,90,30,9,9,27,74,171,9.6,0.489,0.055,0.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,0.0,0.2,0.2,0.019,-3.9,-1.0,-4.9,-0.4,0,0.0,OOR,1996,41.0
Cory Alexander,PG,22,SAS,60,560,63,155,0.406,26,66,0.394,37,89,0.416,0.49,16,25,0.64,9,33,42,121,27,2,68,94,168,8.7,0.506,0.426,0.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,-0.5,0.7,0.2,0.021,-4.2,-0.1,-4.3,-0.3,0,0.0,OOR,1996,55.0
Jerome Allen,SG,23,MIN,41,362,36,105,0.343,10,33,0.303,26,72,0.361,0.39,26,36,0.722,5,20,25,49,21,5,34,42,108,7.8,0.447,0.314,0.343,1.7,6.6,4.1,20.8,3.0,1.1,22.0,19.0,-0.5,0.3,-0.3,-0.033,-4.3,-0.2,-4.6,-0.2,0,0.0,OOR,1996,26.0
Derrick Alston,C,23,PHI,73,1614,198,387,0.512,1,3,0.333,197,384,0.513,0.513,55,112,0.491,127,175,302,61,56,52,59,191,452,11.8,0.518,0.008,0.289,8.8,12.9,10.8,6.5,1.8,2.4,11.9,13.7,1.0,0.8,1.7,0.052,-2.5,-0.2,-2.8,-0.3,0,0.0,OOR,1996,18.0
John Amaechi,PF,25,CLE,28,357,29,70,0.414,0,0,0.0,29,70,0.414,0.414,19,33,0.576,13,39,52,9,6,11,34,49,77,3.1,0.456,0.0,0.471,4.8,14.8,9.7,4.1,1.0,2.7,28.7,16.8,-0.9,0.4,-0.6,-0.075,-8.3,-0.9,-9.1,-0.6,0,0.0,OOR,1996,47.0
Ashraf Amaya,PF,24,VAN,54,1104,121,252,0.48,0,1,0.0,121,251,0.482,0.48,97,149,0.651,114,189,303,33,22,10,57,151,339,11.8,0.534,0.004,0.591,11.7,20.8,16.1,5.1,1.1,0.7,15.2,15.5,0.7,1.1,1.8,0.078,-3.3,-1.5,-4.8,-0.8,0,0.0,OOR,1996,64.0
Greg Anderson,PF,31,SAS,46,344,24,47,0.511,0,1,0.0,24,46,0.522,0.511,6,25,0.24,29,71,100,10,9,24,22,66,54,7.7,0.466,0.021,0.532,9.8,22.1,16.2,4.0,1.3,5.0,27.5,10.5,-0.3,0.7,0.4,0.056,-6.2,2.6,-3.5,-0.1,0,0.0,OOR,1996,55.0
Kenny Anderson,PG,25,CHH,69,2344,349,834,0.418,92,256,0.359,257,578,0.445,0.474,260,338,0.769,63,140,203,575,111,14,146,178,1050,19.5,0.534,0.307,0.405,3.0,7.1,5.0,40.4,2.5,0.5,12.9,21.4,6.1,1.6,7.7,0.158,4.1,0.2,4.3,3.7,0,0.0,OOR,1996,41.0
Nick Anderson,SG,28,ORL,77,2717,400,904,0.442,168,430,0.391,232,474,0.489,0.535,166,240,0.692,92,323,415,279,121,46,141,135,1134,16.5,0.562,0.476,0.265,4.0,13.5,8.9,15.6,2.3,1.2,12.3,19.1,4.2,3.3,7.4,0.131,2.3,0.7,2.9,3.4,0,0.0,OOR,1996,60.0
Willie Anderson,SG,29,TOR,76,2060,288,660,0.436,34,120,0.283,254,540,0.47,0.462,132,163,0.81,48,198,246,197,75,59,143,230,742,11.3,0.507,0.182,0.247,2.8,11.4,7.1,15.1,1.9,2.2,16.3,18.9,0.0,1.5,1.4,0.033,-2.4,0.2,-2.2,-0.1,0,0.0,OOR,1996,21.0
Greg Anthony,PG,28,VAN,69,2096,324,781,0.415,90,271,0.332,234,510,0.459,0.472,229,297,0.771,29,145,174,476,116,11,160,137,967,18.6,0.53,0.347,0.38,1.6,8.4,4.9,41.9,2.9,0.4,14.9,23.3,2.9,1.9,4.8,0.111,2.6,0.4,2.9,2.6,0,0.0,OOR,1996,64.0
B.J. Armstrong,PG,28,GSW,82,2262,340,727,0.468,98,207,0.473,242,520,0.465,0.535,234,279,0.839,22,162,184,401,68,6,128,147,1012,17.3,0.595,0.285,0.384,1.1,8.3,4.7,28.4,1.5,0.2,13.1,18.8,6.2,0.8,7.0,0.149,2.7,-0.8,1.8,2.2,0,0.0,OOR,1996,
Darrell Armstrong,PG,27,ORL,13,41,16,32,0.5,6,12,0.5,10,20,0.5,0.594,4,4,1.0,0,2,2,5,6,0,6,4,42,32.4,0.622,0.375,0.125,0.0,5.6,2.8,29.3,7.7,0.0,15.1,43.8,0.0,0.1,0.1,0.158,5.7,3.8,9.5,0.1,0,0.0,OOR,1996,60.0
Vincent Askew,SG,29,SEA,69,1725,215,436,0.493,29,86,0.337,186,350,0.531,0.526,123,161,0.764,65,153,218,163,47,15,96,178,582,11.9,0.574,0.197,0.369,4.7,10.0,7.5,14.6,1.4,0.7,15.9,15.6,2.2,2.2,4.3,0.12,-0.5,0.4,-0.1,0.8,0,0.0,OOR,1996,44.0
Keith Askins,SF,28,MIA,75,1897,157,391,0.402,99,237,0.418,58,154,0.377,0.528,45,57,0.789,113,211,324,121,48,61,82,271,458,10.0,0.55,0.606,0.146,7.1,12.7,9.9,9.8,1.3,2.5,16.5,11.9,1.6,2.8,4.4,0.111,-0.8,1.8,1.0,1.4,0,0.0,OOR,1996,42.0
Stacey Augmon,SF,27,ATL,77,2294,362,738,0.491,1,4,0.25,361,734,0.492,0.491,251,317,0.792,137,167,304,137,106,31,138,188,976,15.9,0.556,0.005,0.43,6.8,9.0,7.8,10.0,2.5,1.0,13.6,19.9,3.5,2.1,5.6,0.117,0.1,0.2,0.3,1.4,0,0.0,OOR,1996,46.0
Anthony Avent,PF,26,VAN,71,1586,179,466,0.384,0,0,0.0,179,466,0.384,0.384,57,77,0.74,108,247,355,69,30,42,107,202,415,6.9,0.415,0.0,0.165,7.7,18.9,13.1,7.4,1.0,2.0,17.6,17.5,-2.8,1.6,-1.2,-0.037,-6.5,-0.7,-7.3,-2.1,0,0.0,OOR,1996,64.0
Vin Baker,PF,24,MIL,82,3319,699,1429,0.489,10,48,0.208,689,1381,0.499,0.493,321,479,0.67,263,545,808,212,68,91,216,272,1729,18.4,0.527,0.034,0.335,9.5,20.5,14.9,11.4,1.1,2.1,11.6,25.6,3.7,2.4,6.2,0.089,1.2,-1.1,0.1,1.8,0,0.0,OOR,1996,25.0
Steve Bardo,SG,27,DET,9,123,9,23,0.391,0,4,0.0,9,19,0.474,0.391,4,6,0.667,2,20,22,15,4,1,5,17,22,8.4,0.429,0.174,0.261,2.0,18.9,10.8,19.2,1.8,0.6,16.3,11.9,0.0,0.2,0.2,0.069,-4.4,1.9,-2.6,0.0,0,0.0,OOR,1996,46.0
Charles Barkley,PF,32,PHO,71,2632,580,1160,0.5,49,175,0.28,531,985,0.539,0.521,440,566,0.777,243,578,821,262,114,56,218,208,1649,24.8,0.585,0.151,0.488,10.9,25.0,18.1,17.4,2.2,1.6,13.4,27.5,7.0,3.5,10.5,0.191,5.0,0.6,5.7,5.1,0,0.007,Candidate,1996,36.0
Dana Barros,PG,28,BOS,80,2328,379,806,0.47,150,368,0.408,229,438,0.523,0.563,130,147,0.884,21,171,192,306,58,3,120,116,1038,15.6,0.596,0.457,0.182,1.0,8.4,4.6,20.8,1.2,0.1,12.1,18.3,4.8,0.8,5.6,0.116,2.3,-1.1,1.1,1.8,0,0.0,OOR,1996,33.0
Brent Barry,SG,24,LAC,79,1898,283,597,0.474,123,296,0.416,160,301,0.532,0.577,111,137,0.81,38,130,168,230,95,22,120,196,800,15.9,0.609,0.496,0.229,2.4,8.4,5.3,18.8,2.6,0.9,15.4,18.3,3.7,1.2,4.9,0.124,1.7,0.5,2.2,2.0,0,0.0,OOR,1996,
Jon Barry,SG,26,GSW,68,712,91,185,0.492,44,93,0.473,47,92,0.511,0.611,31,37,0.838,17,46,63,85,33,11,42,51,257,14.9,0.638,0.503,0.2,2.7,7.5,5.1,18.5,2.4,1.1,17.3,14.9,1.4,0.4,1.8,0.122,2.0,0.8,2.8,0.9,0,0.0,OOR,1996,
Corey Beck,PG,24,CHH,5,33,2,8,0.25,0,0,0.0,2,8,0.25,0.25,1,2,0.5,3,4,7,5,1,0,4,8,5,0.8,0.282,0.0,0.25,10.8,15.0,12.9,21.0,1.6,0.0,31.1,17.7,-0.1,0.0,-0.1,-0.14,-9.0,-0.7,-9.7,-0.1,0,0.0,OOR,1996,41.0
Benoit Benjamin,C,31,MIL,83,1896,294,590,0.498,0,3,0.0,294,587,0.501,0.498,140,194,0.722,141,398,539,64,45,85,144,224,728,14.4,0.539,0.005,0.329,8.8,26.1,17.3,5.7,1.3,3.4,17.6,19.8,0.1,2.2,2.3,0.057,-2.3,-0.3,-2.6,-0.3,0,0.0,OOR,1996,25.0
Elmer Bennett,PG,25,PHI,8,66,4,17,0.235,0,0,0.0,4,17,0.235,0.235,3,4,0.75,1,4,5,8,1,1,7,6,11,-0.5,0.293,0.0,0.235,1.7,7.2,4.4,18.7,0.8,1.1,27.2,17.4,-0.3,0.0,-0.3,-0.2,-8.3,-3.0,-11.3,-0.2,0,0.0,OOR,1996,18.0
Mario Bennett,SF,22,PHO,19,230,29,64,0.453,0,1,0.0,29,63,0.46,0.453,27,42,0.643,21,28,49,6,11,11,11,46,85,13.3,0.515,0.016,0.656,10.7,13.9,12.3,3.9,2.5,3.6,11.8,18.1,0.2,0.3,0.5,0.098,-3.4,0.8,-2.6,0.0,0,0.0,OOR,1996,36.0
David Benoit,SF,27,UTA,81,1961,255,581,0.439,64,192,0.333,191,389,0.491,0.494,87,112,0.777,90,293,383,82,43,49,71,166,661,12.2,0.524,0.33,0.193,5.8,17.9,12.0,6.3,1.2,2.1,10.1,16.4,1.6,2.3,3.9,0.096,-0.2,-0.1,-0.2,0.9,0,0.0,OOR,1996,48.0
Travis Best,PG,23,IND,59,571,69,163,0.423,8,25,0.32,61,138,0.442,0.448,75,90,0.833,11,33,44,97,20,3,63,80,221,11.5,0.545,0.153,0.552,2.5,7.0,4.8,26.8,1.9,0.4,23.7,21.4,0.2,0.5,0.7,0.057,-1.9,-0.4,-2.2,0.0,0,0.0,OOR,1996,52.0
Mookie Blaylock,PG,28,ATL,81,2893,455,1123,0.405,231,623,0.371,224,500,0.448,0.508,127,170,0.747,110,222,332,478,212,17,188,151,1268,18.9,0.529,0.555,0.151,4.3,9.5,6.8,27.6,3.9,0.5,13.6,21.5,5.4,3.6,9.0,0.149,3.8,1.5,5.3,5.4,0,0.0,OOR,1996,46.0
Corie Blount,PF,27,LAL,57,715,79,167,0.473,0,2,0.0,79,165,0.479,0.473,25,44,0.568,69,101,170,42,25,35,47,109,183,10.9,0.491,0.012,0.263,11.5,16.1,13.8,8.3,1.8,3.4,20.1,14.6,-0.1,1.0,0.9,0.063,-3.5,0.9,-2.7,-0.1,0,0.0,OOR,1996,41.0
Muggsy Bogues,PG,31,CHH,6,77,6,16,0.375,0,1,0.0,6,15,0.4,0.375,2,2,1.0,6,1,7,19,2,0,6,4,14,10.6,0.415,0.063,0.125,9.3,1.6,5.5,35.1,1.4,0.0,26.2,13.4,0.0,0.0,0.0,0.02,0.1,-3.0,-2.9,0.0,0,0.0,OOR,1996,41.0
Anthony Bonner,PF,27,ORL,4,43,5,15,0.333,0,0,0.0,5,15,0.333,0.333,3,7,0.429,6,13,19,4,3,0,3,11,13,11.3,0.36,0.0,0.467,16.6,34.4,25.7,13.5,3.6,0.0,14.2,22.2,-0.1,0.1,0.0,0.04,-7.9,-0.8,-8.7,-0.1,0,0.0,OOR,1996,60.0
Melvin Booker,PG,23,HOU,11,131,16,50,0.32,3,19,0.158,13,31,0.419,0.35,9,11,0.818,1,8,9,21,5,1,12,18,44,6.2,0.401,0.38,0.22,0.9,6.8,3.9,24.5,2.0,0.5,18.0,22.9,-0.3,0.1,-0.2,-0.065,-7.3,-2.5,-9.8,-0.3,0,0.0,OOR,1996,35.0
Anthony Bowie,SG,32,ORL,74,1078,128,272,0.471,12,31,0.387,116,241,0.481,0.493,40,46,0.87,40,83,123,105,34,10,55,112,308,10.4,0.527,0.114,0.169,4.4,8.8,6.6,14.2,1.6,0.7,15.8,14.6,0.7,0.9,1.6,0.071,-2.4,0.1,-2.3,-0.1,0,0.0,OOR,1996,60.0
Donnie Boyce,SG,22,ATL,8,41,9,23,0.391,4,8,0.5,5,15,0.333,0.478,2,4,0.5,5,5,10,3,3,1,6,2,24,17.7,0.485,0.348,0.174,13.9,15.0,14.4,13.6,3.9,1.9,19.5,33.7,-0.1,0.1,0.0,0.004,1.6,-1.0,0.6,0.0,0,0.0,OOR,1996,46.0
Shawn Bradley,C,23,NJN,79,2329,387,873,0.443,1,4,0.25,386,869,0.444,0.444,169,246,0.687,221,417,638,63,49,288,179,286,944,15.7,0.481,0.005,0.282,10.3,20.4,15.2,4.9,1.1,9.4,15.4,21.8,-1.1,4.1,3.0,0.062,-3.2,1.7,-1.4,0.3,0,0.0,OOR,1996,30.0
Marques Bragg,PF,25,MIN,53,369,54,120,0.45,0,0,0.0,54,120,0.45,0.45,23,41,0.561,38,41,79,8,17,8,26,71,131,9.8,0.475,0.0,0.342,12.3,13.3,12.8,3.6,2.4,1.7,15.8,19.7,-0.3,0.3,0.1,0.012,-4.6,-1.0,-5.6,-0.3,0,0.0,OOR,1996,26.0
Terrell Brandon,PG,25,CLE,75,2570,510,1096,0.465,91,235,0.387,419,861,0.487,0.507,338,381,0.887,47,201,248,487,132,33,142,146,1449,25.2,0.573,0.214,0.348,2.4,10.6,6.4,38.1,3.0,1.1,10.1,27.6,9.5,3.1,12.7,0.237,6.0,1.5,7.5,6.2,0,0.003,Candidate,1996,47.0
Tim Breaux,SF,25,HOU,54,570,59,161,0.366,15,46,0.326,44,115,0.383,0.413,28,45,0.622,22,38,60,24,11,8,30,42,161,6.2,0.445,0.286,0.28,4.5,7.4,6.0,6.3,1.0,1.0,14.2,16.6,-0.6,0.3,-0.2,-0.021,-4.5,-2.2,-6.7,-0.7,0,0.0,OOR,1996,35.0
Frank Brickowski,C,36,SEA,63,986,123,252,0.488,32,79,0.405,91,173,0.526,0.552,61,86,0.709,26,125,151,58,26,8,78,185,339,8.6,0.585,0.313,0.341,3.3,14.3,9.0,9.1,1.3,0.6,21.2,16.7,0.1,1.4,1.6,0.076,-4.1,0.3,-3.8,-0.4,0,0.0,OOR,1996,44.0
Scott Brooks,PG,30,DAL,69,716,134,293,0.457,25,62,0.403,109,231,0.472,0.5,59,69,0.855,11,30,41,100,42,3,43,53,352,16.6,0.544,0.212,0.235,1.5,4.8,3.0,23.4,3.0,0.3,11.7,21.3,1.2,0.4,1.6,0.11,0.1,0.4,0.5,0.5,0,0.0,OOR,1996,15.0
Chucky Brown,PF,27,HOU,82,2019,300,555,0.541,1,8,0.125,299,547,0.547,0.541,104,150,0.693,134,307,441,89,47,38,94,163,705,13.7,0.568,0.014,0.27,7.7,16.8,12.4,7.0,1.2,1.3,13.1,15.9,2.2,2.1,4.2,0.101,-1.2,-0.4,-1.6,0.2,0,0.0,OOR,1996,35.0
Dee Brown,PG,27,BOS,65,1591,246,616,0.399,68,220,0.309,178,396,0.449,0.455,135,158,0.854,36,100,136,146,80,12,74,119,695,13.7,0.507,0.357,0.256,2.5,7.2,4.8,14.3,2.5,0.5,9.7,20.5,1.4,1.0,2.4,0.073,-0.5,0.0,-0.5,0.6,0,0.0,OOR,1996,33.0
Mike Brown,C,32,PHI,9,162,9,16,0.563,0,0,0.0,9,16,0.563,0.563,8,17,0.471,14,23,37,3,3,2,6,24,26,7.3,0.554,0.0,1.063,9.7,16.8,13.2,2.8,1.0,0.9,20.4,8.1,0.1,0.1,0.1,0.037,-4.4,-1.7,-6.1,-0.2,0,0.0,OOR,1996,18.0
