Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Alaa Abdelnaby,PF,22,43,290,55,116,0.474,0,0,0.0,55,116,0.474,0.474,25,44,0.568,27,62,89,12,4,12,22,39,135,OOR
Mahmoud Abdul-Rauf,PG,21,67,1505,417,1009,0.413,24,100,0.24,393,909,0.432,0.425,84,98,0.857,34,87,121,206,55,4,110,149,942,OOR
Mark Acres,C,28,68,1313,109,214,0.509,1,3,0.333,108,211,0.512,0.512,66,101,0.653,140,219,359,25,25,25,42,218,285,OOR
Michael Adams,PG,28,66,2346,560,1421,0.394,167,564,0.296,393,857,0.459,0.453,465,529,0.879,58,198,256,693,147,6,240,162,1752,OOR
Mark Aguirre,SF,31,78,2006,420,909,0.462,24,78,0.308,396,831,0.477,0.475,240,317,0.757,134,240,374,139,47,20,128,209,1104,OOR
Danny Ainge,SG,31,80,1710,337,714,0.472,102,251,0.406,235,463,0.508,0.543,114,138,0.826,45,160,205,285,63,13,100,195,890,OOR
Mark Alarie,PF,27,42,587,99,225,0.44,5,21,0.238,94,204,0.461,0.451,41,48,0.854,41,76,117,45,15,8,40,88,244,OOR
Steve Alford,PG,26,34,236,59,117,0.504,7,23,0.304,52,94,0.553,0.534,26,31,0.839,10,14,24,22,8,1,16,11,151,OOR
Greg Anderson,PF,26,68,924,116,270,0.43,0,1,0.0,116,269,0.431,0.43,60,115,0.522,97,221,318,16,35,45,84,140,292,OOR
Nick Anderson,SG,23,70,1971,400,857,0.467,17,58,0.293,383,799,0.479,0.477,173,259,0.668,92,294,386,106,74,44,113,145,990,OOR
Ron Anderson,SF,32,82,2340,512,1055,0.485,9,43,0.209,503,1012,0.497,0.49,165,198,0.833,103,264,367,115,65,13,100,163,1198,OOR
Willie Anderson,SG,24,75,2592,453,991,0.457,7,35,0.2,446,956,0.467,0.461,170,213,0.798,68,283,351,358,79,46,167,226,1083,OOR
Michael Ansley,SF,23,67,877,144,263,0.548,0,0,0.0,144,263,0.548,0.548,91,127,0.717,122,131,253,25,27,7,32,125,379,OOR
B.J. Armstrong,PG,23,82,1731,304,632,0.481,15,30,0.5,289,602,0.48,0.493,97,111,0.874,25,124,149,301,70,4,107,118,720,OOR
Vincent Askew,SG,24,7,85,12,25,0.48,0,0,0.0,12,25,0.48,0.48,9,11,0.818,7,4,11,13,2,0,6,21,33,OOR
Keith Askins,SF,23,39,266,34,81,0.42,6,25,0.24,28,56,0.5,0.457,12,25,0.48,30,38,68,19,16,13,11,46,86,OOR
Miloš Babić,PF,22,12,52,6,19,0.316,0,0,0.0,6,19,0.316,0.316,7,12,0.583,6,3,9,4,1,1,5,7,19,OOR
Thurl Bailey,PF,29,82,2486,399,872,0.458,0,3,0.0,399,869,0.459,0.458,219,271,0.808,101,306,407,124,53,91,130,160,1017,OOR
Cedric Ball,PF,22,7,26,3,8,0.375,0,0,0.0,3,8,0.375,0.375,2,2,1.0,5,6,11,0,0,2,2,5,8,OOR
Ken Bannister,PF,30,47,339,43,81,0.531,0,1,0.0,43,80,0.538,0.531,25,65,0.385,34,62,96,9,5,7,25,73,111,OOR
Charles Barkley,SF,27,67,2498,665,1167,0.57,44,155,0.284,621,1012,0.614,0.589,475,658,0.722,258,422,680,284,110,33,210,173,1849,Candidate
Dana Barros,PG,23,66,750,154,311,0.495,32,81,0.395,122,230,0.53,0.547,78,85,0.918,17,54,71,111,23,1,54,40,418,OOR
John Battle,SG,28,79,1863,397,862,0.461,14,49,0.286,383,813,0.471,0.469,270,316,0.854,34,125,159,217,45,6,113,145,1078,OOR
Kenny Battle,SG,26,56,945,133,282,0.472,3,24,0.125,130,258,0.504,0.477,70,93,0.753,83,93,176,62,60,18,53,108,339,OOR
William Bedford,C,27,60,562,106,242,0.438,5,13,0.385,101,229,0.441,0.448,55,78,0.705,55,76,131,32,2,36,32,76,272,OOR
Benoit Benjamin,C,26,70,2236,386,778,0.496,0,0,0.0,386,778,0.496,0.496,210,295,0.712,157,566,723,119,54,145,235,184,982,OOR
Winston Bennett,SF,25,27,334,40,107,0.374,0,0,0.0,40,107,0.374,0.374,35,47,0.745,30,34,64,28,8,2,20,50,115,OOR
Larry Bird,SF,34,60,2277,462,1017,0.454,77,198,0.389,385,819,0.47,0.492,163,183,0.891,53,456,509,431,108,58,187,118,1164,OOR
Rolando Blackman,SG,31,80,2965,634,1316,0.482,40,114,0.351,594,1202,0.494,0.497,282,326,0.865,63,193,256,301,69,19,159,153,1590,OOR
Lance Blanks,SG,24,38,214,26,61,0.426,2,16,0.125,24,45,0.533,0.443,10,14,0.714,4,16,20,26,9,2,18,35,64,OOR
Mookie Blaylock,PG,23,72,2585,432,1039,0.416,14,91,0.154,418,948,0.441,0.423,139,176,0.79,67,182,249,441,169,40,207,180,1017,OOR
Muggsy Bogues,PG,26,81,2299,241,524,0.46,0,12,0.0,241,512,0.471,0.46,86,108,0.796,58,158,216,669,137,3,120,160,568,OOR
Manute Bol,C,28,82,1522,65,164,0.396,1,14,0.071,64,150,0.427,0.399,24,41,0.585,66,284,350,20,16,247,63,184,155,OOR
Anthony Bonner,PF,22,34,750,103,230,0.448,0,0,0.0,103,230,0.448,0.448,44,76,0.579,59,102,161,49,39,5,41,62,250,OOR
Sam Bowie,C,29,62,1916,314,723,0.434,4,22,0.182,310,701,0.442,0.437,169,231,0.732,176,304,480,147,43,90,141,175,801,OOR
Randy Breuer,C,30,73,1505,197,435,0.453,0,0,0.0,197,435,0.453,0.453,35,79,0.443,114,231,345,73,35,80,69,132,429,OOR
Frank Brickowski,PF,31,75,1912,372,706,0.527,0,2,0.0,372,704,0.528,0.527,198,248,0.798,129,297,426,131,86,43,160,255,942,OOR
Scott Brooks,PG,25,80,980,159,370,0.43,45,135,0.333,114,235,0.485,0.491,61,72,0.847,28,44,72,204,53,5,51,122,424,OOR
Chucky Brown,SF,22,74,1485,263,502,0.524,0,4,0.0,263,498,0.528,0.524,101,144,0.701,78,135,213,80,26,24,94,130,627,OOR
Dee Brown,PG,22,82,1945,284,612,0.464,7,34,0.206,277,578,0.479,0.47,137,157,0.873,41,141,182,344,83,14,137,161,712,OOR
Mike Brown,C,27,82,1391,129,284,0.454,0,0,0.0,129,284,0.454,0.454,132,178,0.742,109,228,337,49,29,24,82,166,390,OOR
Tony Brown,SG-SF,30,30,294,30,80,0.375,3,12,0.25,27,68,0.397,0.394,20,23,0.87,24,19,43,16,4,0,16,47,83,OOR
Mark Bryant,PF,25,53,781,99,203,0.488,0,1,0.0,99,202,0.49,0.488,74,101,0.733,65,125,190,27,15,12,33,120,272,OOR
Jud Buechler,SF,22,74,859,94,226,0.416,1,4,0.25,93,222,0.419,0.418,43,66,0.652,61,80,141,51,33,15,26,79,232,OOR
Matt Bullard,PF,23,18,63,14,31,0.452,0,3,0.0,14,28,0.5,0.452,11,17,0.647,6,8,14,2,3,0,3,10,39,OOR
Willie Burton,SF,22,76,1928,341,773,0.441,4,30,0.133,337,743,0.454,0.444,229,293,0.782,111,151,262,107,72,24,144,275,915,OOR
Greg Butler,C,24,9,37,5,19,0.263,0,0,0.0,5,19,0.263,0.263,4,6,0.667,8,8,16,1,0,0,4,9,14,OOR
Michael Cage,C,29,82,2141,226,445,0.508,0,3,0.0,226,442,0.511,0.508,70,112,0.625,177,381,558,89,85,58,83,194,522,OOR
Adrian Caldwell,PF,24,42,343,35,83,0.422,0,1,0.0,35,82,0.427,0.422,7,17,0.412,43,57,100,8,19,10,30,35,77,OOR
Rick Calloway,SG,24,64,678,75,192,0.391,0,2,0.0,75,190,0.395,0.391,55,79,0.696,25,53,78,61,22,7,51,98,205,OOR
Elden Campbell,PF,22,52,380,56,123,0.455,0,0,0.0,56,123,0.455,0.455,32,49,0.653,40,56,96,10,11,38,16,71,144,OOR
Tony Campbell,SG,28,77,2893,652,1502,0.434,16,61,0.262,636,1441,0.441,0.439,358,446,0.803,161,185,346,214,121,48,190,204,1678,OOR
Antoine Carr,PF,29,77,2527,628,1228,0.511,0,3,0.0,628,1225,0.513,0.511,295,389,0.758,163,257,420,191,45,101,171,315,1551,OOR
Joe Barry Carroll,C,32,11,96,13,36,0.361,0,0,0.0,13,36,0.361,0.361,11,12,0.917,3,21,24,11,1,8,12,18,37,OOR
Bill Cartwright,C,33,79,2273,318,649,0.49,0,0,0.0,318,649,0.49,0.49,124,178,0.697,167,319,486,126,32,15,113,167,760,OOR
