Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Alaa Abdelnaby,PF,26,TOT,54,506,118,231,0.511,0,2,0.0,118,229,0.515,0.511,20,35,0.571,37,77,114,13,15,12,45,104,256,12.6,0.519,0.009,0.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,0.027,-4.4,0.1,-4.3,-0.3,0,0.0,OOR,1995
Mahmoud Abdul-Rauf,PG,25,DEN,73,2082,472,1005,0.47,83,215,0.386,389,790,0.492,0.511,138,156,0.885,32,105,137,263,77,9,119,126,1165,17.8,0.543,0.214,0.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,3.8,1.3,5.0,0.115,2.3,-1.2,1.2,1.7,0,0.0,OOR,1995
Michael Adams,PG,32,CHH,29,443,67,148,0.453,29,81,0.358,38,67,0.567,0.551,25,30,0.833,6,23,29,95,23,1,26,41,188,17.7,0.583,0.547,0.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,1.1,0.5,1.6,0.169,2.5,0.8,3.3,0.6,0,0.0,OOR,1995
Rafael Addison,SF,30,DET,79,1776,279,586,0.476,24,83,0.289,255,503,0.507,0.497,74,99,0.747,67,175,242,109,53,25,76,236,656,11.3,0.521,0.142,0.169,4.4,11.6,8.0,9.9,1.5,1.0,10.8,17.8,0.9,0.6,1.5,0.04,-2.2,-1.0,-3.3,-0.6,0,0.0,OOR,1995
Danny Ainge,SG,35,PHO,74,1374,194,422,0.46,78,214,0.364,116,208,0.558,0.552,105,130,0.808,25,84,109,210,46,7,79,155,571,14.3,0.596,0.507,0.308,2.1,7.0,4.6,21.7,1.7,0.4,14.2,17.6,2.8,0.6,3.4,0.118,0.9,-0.4,0.4,0.8,0,0.0,OOR,1995
Victor Alexander,C,25,GSW,50,1237,230,447,0.515,6,25,0.24,224,422,0.531,0.521,36,60,0.6,87,204,291,60,28,29,76,145,502,12.8,0.53,0.056,0.134,7.7,18.4,13.0,7.8,1.1,1.6,13.8,18.8,0.3,0.8,1.1,0.044,-2.2,-0.7,-2.9,-0.3,0,0.0,OOR,1995
Derrick Alston,C,22,PHI,64,1032,120,258,0.465,0,4,0.0,120,254,0.472,0.465,59,120,0.492,98,121,219,33,39,35,53,107,299,11.6,0.481,0.016,0.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,0.0,1.0,1.0,0.045,-2.5,-0.1,-2.6,-0.2,0,0.0,OOR,1995
Greg Anderson,PF,30,ATL,51,622,57,104,0.548,0,0,0.0,57,104,0.548,0.548,34,71,0.479,62,126,188,17,23,32,32,103,148,12.6,0.547,0.0,0.683,11.3,24.2,17.6,4.1,2.0,3.9,19.1,12.2,0.3,1.3,1.5,0.118,-3.9,1.7,-2.2,0.0,0,0.0,OOR,1995
Kenny Anderson,PG,24,NJN,72,2689,411,1031,0.399,97,294,0.33,314,737,0.426,0.446,348,414,0.841,73,177,250,680,103,14,225,184,1267,18.0,0.522,0.285,0.402,3.0,7.2,5.1,43.1,2.0,0.4,15.6,23.5,4.8,2.0,6.8,0.122,3.0,-0.7,2.2,2.8,0,0.0,OOR,1995
Nick Anderson,SG,27,ORL,76,2588,439,923,0.476,179,431,0.415,260,492,0.528,0.573,143,203,0.704,85,250,335,314,125,22,141,124,1200,17.5,0.593,0.467,0.22,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,5.7,2.6,8.3,0.154,3.4,0.7,4.0,3.9,0,0.0,OOR,1995
