Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Arron Afflalo,SG,24,82,2221,272,585,0.465,108,249,0.434,164,336,0.488,0.557,72,98,0.735,59,193,252,138,46,30,74,225,724,OOR,2010
Alexis Ajinça,C,21,6,30,5,10,0.5,0,0,0.0,5,10,0.5,0.5,0,1,0.0,1,3,4,0,1,1,2,5,10,OOR,2010
LaMarcus Aldridge,PF,24,78,2922,579,1169,0.495,5,16,0.313,574,1153,0.498,0.497,230,304,0.757,192,435,627,160,67,48,104,231,1393,OOR,2010
Joe Alexander,SF,23,8,29,1,6,0.167,0,1,0.0,1,5,0.2,0.167,2,3,0.667,2,3,5,2,1,1,0,9,4,OOR,2010
Malik Allen,PF,31,51,456,46,116,0.397,1,6,0.167,45,110,0.409,0.401,12,13,0.923,36,46,82,16,11,5,22,68,105,OOR,2010
Ray Allen,SG,34,80,2819,464,973,0.477,145,399,0.363,319,574,0.556,0.551,231,253,0.913,45,208,253,210,64,25,129,182,1304,OOR,2010
Tony Allen,SG,28,54,889,129,253,0.51,0,5,0.0,129,248,0.52,0.51,72,119,0.605,52,93,145,72,59,19,66,109,330,OOR,2010
Rafer Alston,PG,33,52,1421,155,446,0.348,58,168,0.345,97,278,0.349,0.413,59,81,0.728,13,116,129,176,50,10,95,103,427,OOR,2010
Lou Amundson,PF,27,79,1168,152,276,0.551,0,1,0.0,152,275,0.553,0.551,67,123,0.545,128,218,346,31,24,73,57,169,371,OOR,2010
Chris Andersen,PF,31,76,1695,142,251,0.566,0,3,0.0,142,248,0.573,0.566,164,236,0.695,147,336,483,33,42,143,59,171,448,OOR,2010
David Andersen,C,29,63,891,147,340,0.432,27,78,0.346,120,262,0.458,0.472,46,67,0.687,54,154,208,44,15,12,37,119,367,OOR,2010
Antonio Anderson,SF,24,1,15,1,3,0.333,0,0,0.0,1,3,0.333,0.333,0,0,0.0,1,0,1,0,0,0,1,1,2,OOR,2010
Ryan Anderson,PF,21,63,911,169,388,0.436,78,211,0.37,91,177,0.514,0.536,71,82,0.866,70,132,202,37,25,14,56,81,487,OOR,2010
Carmelo Anthony,SF,25,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,OOR,2010
Joel Anthony,C,27,80,1322,76,159,0.478,0,0,0.0,76,159,0.478,0.478,66,92,0.717,123,126,249,12,20,109,45,158,218,OOR,2010
Gilbert Arenas,PG,28,32,1169,253,616,0.411,63,181,0.348,190,435,0.437,0.462,153,207,0.739,17,116,133,230,41,9,117,95,722,OOR,2010
Trevor Ariza,SF,24,72,2629,394,999,0.394,136,407,0.334,258,592,0.436,0.462,148,228,0.649,78,325,403,276,126,40,161,162,1072,OOR,2010
Hilton Armstrong,PF-C,25,33,335,28,79,0.354,0,1,0.0,28,78,0.359,0.354,15,32,0.469,27,54,81,21,15,12,22,59,71,OOR,2010
Carlos Arroyo,PG,30,72,1585,178,375,0.475,7,25,0.28,171,350,0.489,0.484,76,90,0.844,26,104,130,225,36,6,54,102,439,OOR,2010
Darrell Arthur,PF,21,32,457,63,146,0.432,0,1,0.0,63,145,0.434,0.432,17,30,0.567,37,73,110,15,14,14,22,60,143,OOR,2010
Chucky Atkins,PG,35,40,644,57,157,0.363,22,73,0.301,35,84,0.417,0.433,25,27,0.926,5,24,29,91,17,0,32,53,161,OOR,2010
D.J. Augustin,PG,22,80,1472,168,435,0.386,70,178,0.393,98,257,0.381,0.467,102,131,0.779,11,86,97,193,45,5,74,127,508,OOR,2010
Jeff Ayres,C,22,39,405,43,65,0.662,0,0,0.0,43,65,0.662,0.662,18,20,0.9,25,73,98,1,7,16,12,76,104,OOR,2010
Kelenna Azubuike,SF,26,9,231,48,88,0.545,10,27,0.37,38,61,0.623,0.602,19,28,0.679,12,29,41,10,5,9,7,16,125,OOR,2010
Renaldo Balkman,SF,25,13,91,6,18,0.333,0,7,0.0,6,11,0.545,0.333,2,6,0.333,4,19,23,7,8,2,6,16,14,OOR,2010
Marcus Banks,PG,28,22,244,39,73,0.534,7,24,0.292,32,49,0.653,0.582,24,29,0.828,3,20,23,26,12,2,20,30,109,OOR,2010
Leandro Barbosa,PG,27,44,786,155,365,0.425,44,136,0.324,111,229,0.485,0.485,64,73,0.877,11,58,69,64,23,12,46,71,418,OOR,2010
J.J. Barea,PG,25,78,1546,232,527,0.44,56,157,0.357,176,370,0.476,0.493,76,90,0.844,17,129,146,258,35,6,102,119,596,OOR,2010
Andrea Bargnani,PF,24,80,2799,537,1143,0.47,121,325,0.372,416,818,0.509,0.523,181,234,0.774,105,388,493,93,25,111,120,215,1376,OOR,2010
Matt Barnes,SF,29,81,2097,271,557,0.487,66,207,0.319,205,350,0.586,0.546,108,146,0.74,106,339,445,134,59,30,112,185,716,OOR,2010
Earl Barron,C,28,7,232,30,68,0.441,0,0,0.0,30,68,0.441,0.441,22,29,0.759,31,46,77,8,4,4,11,24,82,OOR,2010
Brandon Bass,PF,24,50,648,119,233,0.511,0,0,0.0,119,233,0.511,0.511,52,63,0.825,54,73,127,19,12,27,31,69,290,OOR,2010
Tony Battie,C,33,15,134,14,40,0.35,1,4,0.25,13,36,0.361,0.363,7,10,0.7,4,19,23,3,4,2,3,19,36,OOR,2010
Shane Battier,SG,31,67,2168,178,447,0.398,101,279,0.362,77,168,0.458,0.511,77,106,0.726,74,238,312,164,53,76,64,139,534,OOR,2010
Nicolas Batum,SF,21,37,918,139,268,0.519,54,132,0.409,85,136,0.625,0.619,43,51,0.843,32,109,141,44,24,25,27,83,375,OOR,2010
Jerryd Bayless,SG,21,74,1304,200,483,0.414,29,92,0.315,171,391,0.437,0.444,201,242,0.831,18,102,120,172,26,5,94,152,630,OOR,2010
Michael Beasley,PF,21,78,2328,468,1040,0.45,28,102,0.275,440,938,0.469,0.463,192,240,0.8,123,375,498,100,80,49,131,221,1156,OOR,2010
Rodrigue Beaubois,PG,21,56,700,155,299,0.518,45,110,0.409,110,189,0.582,0.594,42,52,0.808,12,66,78,74,29,12,54,84,397,OOR,2010
Marco Belinelli,SG,23,66,1121,154,379,0.406,60,158,0.38,94,221,0.425,0.485,101,121,0.835,14,81,95,89,42,5,60,80,469,OOR,2010
Charlie Bell,SG,30,71,1611,169,443,0.381,73,200,0.365,96,243,0.395,0.464,48,67,0.716,31,101,132,104,39,12,54,136,459,OOR,2010
Raja Bell,SG,33,6,180,28,61,0.459,12,27,0.444,16,34,0.471,0.557,3,3,1.0,5,18,23,13,4,2,5,15,71,OOR,2010
Jonathan Bender,SF,29,25,292,40,100,0.4,14,39,0.359,26,61,0.426,0.47,24,26,0.923,15,37,52,16,2,17,28,33,118,OOR,2010
Mike Bibby,PG,31,80,2195,268,644,0.416,126,324,0.389,142,320,0.444,0.514,68,79,0.861,20,164,184,310,67,3,90,157,730,OOR,2010
Andris Biedriņš,C,23,33,763,81,137,0.591,0,0,0.0,81,137,0.591,0.591,4,25,0.16,63,196,259,57,20,44,32,117,166,OOR,2010
Chauncey Billups,PG,33,73,2490,402,962,0.418,157,407,0.386,245,555,0.441,0.499,466,512,0.91,25,203,228,409,82,9,177,153,1427,OOR,2010
DeJuan Blair,PF,20,82,1494,275,495,0.556,0,2,0.0,275,493,0.558,0.556,88,161,0.547,200,326,526,65,50,39,112,224,638,OOR,2010
Steve Blake,PG,29,80,2159,217,522,0.416,116,294,0.395,101,228,0.443,0.527,36,48,0.75,21,166,187,380,58,6,128,123,586,OOR,2010
Andray Blatche,PF,23,81,2256,478,999,0.478,13,44,0.295,465,955,0.487,0.485,174,234,0.744,158,351,509,170,85,71,182,218,1143,OOR,2010
Keith Bogans,SF,29,79,1559,120,298,0.403,70,196,0.357,50,102,0.49,0.52,37,50,0.74,25,151,176,95,45,12,53,156,347,OOR,2010
Andrew Bogut,C,25,69,2229,473,910,0.52,0,2,0.0,473,908,0.521,0.52,149,237,0.629,208,493,701,127,39,175,131,222,1095,OOR,2010
Matt Bonner,PF,29,65,1161,166,372,0.446,90,231,0.39,76,141,0.539,0.567,35,48,0.729,52,162,214,68,30,24,39,109,457,OOR,2010
Josh Boone,PF,25,63,1045,117,223,0.525,0,0,0.0,117,223,0.525,0.525,19,58,0.328,124,191,315,29,30,48,37,111,253,OOR,2010
Carlos Boozer,PF,28,78,2673,617,1098,0.562,0,0,0.0,617,1098,0.562,0.562,285,384,0.742,181,693,874,247,84,36,212,270,1519,OOR,2010
Chris Bosh,C,25,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,0.522,470,590,0.797,205,554,759,166,43,68,169,170,1678,OOR,2010
Ryan Bowen,SF,34,1,8,1,1,1.0,0,0,0.0,1,1,1.0,1.0,2,2,1.0,1,1,2,0,1,0,0,2,4,OOR,2010
Earl Boykins,PG,33,67,1117,172,403,0.427,19,60,0.317,153,343,0.446,0.45,77,89,0.865,17,58,75,171,24,3,69,48,440,OOR,2010
Elton Brand,PF,30,76,2297,412,858,0.48,0,1,0.0,412,857,0.481,0.48,172,233,0.738,179,282,461,109,82,80,131,232,996,OOR,2010
Corey Brewer,SG,23,82,2482,409,949,0.431,82,237,0.346,327,712,0.459,0.474,166,256,0.648,70,209,279,193,117,29,164,224,1066,OOR,2010
Ronnie Brewer,SG,24,58,1742,209,429,0.487,8,31,0.258,201,398,0.505,0.497,85,133,0.639,45,142,187,154,91,15,53,80,511,OOR,2010
Primož Brezec,C,30,21,95,9,26,0.346,0,0,0.0,9,26,0.346,0.346,1,6,0.167,12,13,25,1,1,3,2,19,19,OOR,2010
Jon Brockman,PF,22,52,654,55,103,0.534,0,0,0.0,55,103,0.534,0.534,37,62,0.597,105,108,213,22,15,5,23,115,147,OOR,2010
Aaron Brooks,PG,25,82,2919,575,1331,0.432,209,525,0.398,366,806,0.454,0.511,245,298,0.822,54,161,215,434,69,14,232,199,1604,OOR,2010
Bobby Brown,PG,25,45,519,88,237,0.371,26,98,0.265,62,139,0.446,0.426,13,15,0.867,9,29,38,88,15,1,46,42,215,OOR,2010
Derrick Brown,SF,22,57,535,68,147,0.463,2,7,0.286,66,140,0.471,0.469,48,72,0.667,31,47,78,19,21,10,19,53,186,OOR,2010
Devin Brown,SG,31,50,1060,136,361,0.377,58,164,0.354,78,197,0.396,0.457,69,86,0.802,29,95,124,65,33,6,62,72,399,OOR,2010
Kwame Brown,C,27,48,660,62,124,0.5,0,1,0.0,62,123,0.504,0.5,33,98,0.337,53,124,177,22,15,12,43,93,157,OOR,2010
Shannon Brown,SG,24,82,1700,253,592,0.427,62,189,0.328,191,403,0.474,0.48,99,121,0.818,30,153,183,108,57,31,67,129,667,OOR,2010
Kobe Bryant,SG,31,73,2835,716,1569,0.456,99,301,0.329,617,1268,0.487,0.488,439,541,0.811,78,313,391,365,113,20,233,187,1970,Candidate,2010
Chase Budinger,SF,21,74,1488,249,565,0.441,92,249,0.369,157,316,0.497,0.522,67,87,0.77,38,182,220,88,34,11,48,85,657,OOR,2010
Caron Butler,SF-SG,29,74,2783,450,1051,0.428,42,145,0.29,408,906,0.45,0.448,264,315,0.838,104,357,461,156,116,24,160,193,1206,OOR,2010
Rasual Butler,SF,30,82,2702,356,870,0.409,145,432,0.336,211,438,0.482,0.493,122,145,0.841,39,201,240,116,36,68,79,121,979,OOR,2010
Andrew Bynum,C,22,65,1977,392,688,0.57,0,1,0.0,392,687,0.571,0.57,193,261,0.739,177,364,541,68,35,94,115,193,977,OOR,2010
Will Bynum,PG,27,63,1667,237,534,0.444,12,55,0.218,225,479,0.47,0.455,142,178,0.798,24,118,142,283,55,7,115,143,628,OOR,2010
José Calderón,PG,28,68,1817,274,568,0.482,68,171,0.398,206,397,0.519,0.542,83,104,0.798,23,119,142,404,47,7,99,135,699,OOR,2010
Marcus Camby,PF-C,35,74,2314,238,501,0.475,2,7,0.286,236,494,0.478,0.477,78,122,0.639,249,622,871,186,95,146,91,161,556,OOR,2010
Brian Cardinal,PF,32,29,267,14,36,0.389,3,9,0.333,11,27,0.407,0.431,17,18,0.944,7,22,29,24,9,3,7,56,48,OOR,2010
Rodney Carney,SG,25,68,857,113,282,0.401,41,135,0.304,72,147,0.49,0.473,52,63,0.825,26,111,137,37,25,20,21,79,319,OOR,2010
DeMarre Carroll,SF,23,71,795,88,222,0.396,0,6,0.0,88,216,0.407,0.396,33,53,0.623,53,97,150,33,28,9,24,107,209,OOR,2010
Matt Carroll,SG,29,25,121,18,50,0.36,4,19,0.211,14,31,0.452,0.4,6,6,1.0,4,8,12,6,5,0,7,13,46,OOR,2010
Anthony Carter,PG,34,54,859,76,181,0.42,17,63,0.27,59,118,0.5,0.467,11,13,0.846,17,72,89,160,39,13,58,72,180,OOR,2010
Vince Carter,SG,33,75,2310,434,1015,0.428,119,324,0.367,315,691,0.456,0.486,257,306,0.84,33,260,293,236,53,18,106,189,1244,OOR,2010
Omri Casspi,SF,21,77,1931,300,672,0.446,75,203,0.369,225,469,0.48,0.502,117,174,0.672,75,274,349,95,54,17,98,125,792,OOR,2010
Mario Chalmers,PG,23,73,1807,182,454,0.401,75,236,0.318,107,218,0.491,0.483,82,110,0.745,25,110,135,246,91,12,123,175,521,OOR,2010
Tyson Chandler,C,27,51,1163,109,190,0.574,0,0,0.0,109,190,0.574,0.574,115,157,0.732,114,206,320,16,17,55,91,138,333,OOR,2010
Wilson Chandler,SG,22,65,2320,412,860,0.479,40,150,0.267,372,710,0.524,0.502,129,160,0.806,93,255,348,138,46,49,108,184,993,OOR,2010
Earl Clark,PF,22,51,383,56,151,0.371,2,5,0.4,54,146,0.37,0.377,26,36,0.722,18,44,62,21,7,13,23,25,140,OOR,2010
Jarron Collins,C,31,34,261,12,31,0.387,0,0,0.0,12,31,0.387,0.387,10,25,0.4,22,40,62,6,2,3,10,42,34,OOR,2010
Jason Collins,C,31,24,115,8,23,0.348,0,1,0.0,8,22,0.364,0.348,0,2,0.0,5,9,14,4,3,2,5,21,16,OOR,2010
Mardy Collins,SG,25,43,470,47,128,0.367,4,17,0.235,43,111,0.387,0.383,13,21,0.619,13,37,50,44,23,1,32,45,111,OOR,2010
Darren Collison,PG,22,76,2109,376,789,0.477,46,115,0.4,330,674,0.49,0.506,148,174,0.851,41,151,192,432,78,4,202,92,946,OOR,2010
Nick Collison,C,29,75,1557,182,309,0.589,1,4,0.25,181,305,0.593,0.591,74,107,0.692,152,232,384,38,37,48,63,230,439,OOR,2010
Mike Conley,PG,22,80,2569,369,830,0.445,82,212,0.387,287,618,0.464,0.494,139,187,0.743,30,161,191,425,109,12,170,178,959,OOR,2010
Will Conroy,PG,27,5,36,3,10,0.3,0,3,0.0,3,7,0.429,0.3,0,2,0.0,0,3,3,7,0,0,4,5,6,OOR,2010
Brian Cook,PF,29,15,44,7,23,0.304,2,9,0.222,5,14,0.357,0.348,5,7,0.714,1,8,9,1,0,2,6,5,21,OOR,2010
Daequan Cook,SG,22,45,691,81,253,0.32,40,126,0.317,41,127,0.323,0.399,21,25,0.84,9,73,82,43,14,10,24,50,223,OOR,2010
Jamal Crawford,SG,29,79,2460,496,1105,0.449,163,427,0.382,333,678,0.491,0.523,270,315,0.857,34,167,201,238,61,12,137,132,1425,OOR,2010
Dante Cunningham,PF,22,63,707,106,214,0.495,0,2,0.0,106,212,0.5,0.495,31,48,0.646,54,106,160,14,24,22,15,97,243,OOR,2010
Eddy Curry,C,27,7,62,8,21,0.381,0,0,0.0,8,21,0.381,0.381,10,17,0.588,4,9,13,0,0,1,13,13,26,OOR,2010
JamesOn Curry,PG,24,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,OOR,2010
Stephen Curry,PG,21,80,2896,528,1143,0.462,166,380,0.437,362,763,0.474,0.535,177,200,0.885,48,308,356,472,152,19,243,252,1399,OOR,2010
Samuel Dalembert,C,28,82,2124,285,523,0.545,0,0,0.0,285,523,0.545,0.545,97,133,0.729,239,545,784,64,42,151,123,252,667,OOR,2010
Erick Dampier,C,34,55,1280,133,213,0.624,1,3,0.333,132,210,0.629,0.627,61,101,0.604,128,272,400,31,15,77,61,153,328,OOR,2010
Marquis Daniels,SF,29,51,937,124,249,0.498,6,28,0.214,118,221,0.534,0.51,34,56,0.607,27,68,95,66,27,6,42,91,288,OOR,2010
Baron Davis,PG,30,75,2523,412,1015,0.406,82,296,0.277,330,719,0.459,0.446,239,291,0.821,52,214,266,598,126,43,211,210,1145,OOR,2010
Glen Davis,PF,24,54,933,122,279,0.437,0,4,0.0,122,275,0.444,0.437,96,138,0.696,101,104,205,35,21,14,53,132,340,OOR,2010
Paul Davis,PF,25,2,8,2,4,0.5,0,0,0.0,2,4,0.5,0.5,1,2,0.5,0,0,0,3,0,1,0,0,5,OOR,2010
Ricky Davis,SF,30,36,499,62,143,0.434,16,42,0.381,46,101,0.455,0.49,18,31,0.581,10,47,57,39,11,3,29,39,158,OOR,2010
Austin Daye,SF,21,69,915,137,295,0.464,29,95,0.305,108,200,0.54,0.514,46,56,0.821,34,140,174,34,25,26,48,114,349,OOR,2010
Carlos Delfino,SF,27,75,2279,299,732,0.408,134,365,0.367,165,367,0.45,0.5,93,119,0.782,51,343,394,202,80,21,119,138,825,OOR,2010
Luol Deng,SF,24,70,2651,473,1014,0.466,32,83,0.386,441,931,0.474,0.482,252,330,0.764,131,381,512,143,66,61,134,129,1230,OOR,2010
DeMar DeRozan,SG,20,77,1664,255,512,0.498,4,16,0.25,251,496,0.506,0.502,148,194,0.763,66,157,223,53,43,18,62,176,662,OOR,2010
Boris Diaw,PF,27,82,2906,373,773,0.483,66,206,0.32,307,567,0.541,0.525,113,147,0.769,131,293,424,325,60,57,178,219,925,OOR,2010
Yakhouba Diawara,SG,27,6,44,2,10,0.2,1,6,0.167,1,4,0.25,0.25,0,0,0.0,1,3,4,3,1,0,3,8,5,OOR,2010
Travis Diener,PG,27,9,51,2,10,0.2,1,7,0.143,1,3,0.333,0.25,1,4,0.25,0,3,3,8,4,0,0,2,6,OOR,2010
DeSagana Diop,C,28,27,262,15,29,0.517,0,0,0.0,15,29,0.517,0.517,2,9,0.222,24,41,65,5,5,14,12,31,32,OOR,2010
Keyon Dooling,PG,29,53,971,129,324,0.398,59,157,0.376,70,167,0.419,0.489,47,61,0.77,8,46,54,135,34,0,59,82,364,OOR,2010
Joey Dorsey,PF,26,15,106,9,20,0.45,0,0,0.0,9,20,0.45,0.45,5,12,0.417,16,27,43,2,3,2,6,21,23,OOR,2010
Toney Douglas,PG,23,56,1087,179,391,0.458,68,175,0.389,111,216,0.514,0.545,55,68,0.809,40,68,108,112,42,3,55,116,481,OOR,2010
Chris Douglas-Roberts,SF,23,67,1730,255,573,0.445,14,54,0.259,241,519,0.464,0.457,133,157,0.847,45,153,198,93,55,19,97,101,657,OOR,2010
Goran Dragić,PG,23,80,1442,222,491,0.452,74,188,0.394,148,303,0.488,0.527,117,159,0.736,38,133,171,241,48,8,126,131,635,OOR,2010
Jared Dudley,SF,24,82,1991,225,490,0.459,120,262,0.458,105,228,0.461,0.582,104,138,0.754,99,182,281,115,81,16,68,162,674,OOR,2010
Chris Duhon,PG,27,67,2072,168,451,0.373,90,258,0.349,78,193,0.404,0.472,68,95,0.716,28,150,178,378,59,3,110,83,494,OOR,2010
Tim Duncan,C,33,78,2438,561,1082,0.518,2,11,0.182,559,1071,0.522,0.519,271,374,0.725,221,567,788,246,45,117,140,152,1395,OOR,2010
Mike Dunleavy,SF,29,67,1486,229,558,0.41,75,236,0.318,154,322,0.478,0.478,133,158,0.842,25,211,236,103,38,15,72,105,666,OOR,2010
Kevin Durant,SF,21,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,0.514,756,840,0.9,105,518,623,231,112,84,271,171,2472,Candidate,2010
