Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Tariq Abdul-Wahad,SG,27,DEN,24,441,55,147,0.374,1,2,0.5,54,145,0.372,0.378,24,33,0.727,41,43,84,24,20,10,27,56,135,9.8,0.418,0.014,0.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,-0.3,0.3,0.0,-0.003,-3.4,-0.3,-3.7,-0.2,0,0.0,OOR,2002,0.329
Shareef Abdur-Rahim,PF,25,ATL,77,2980,598,1297,0.461,21,70,0.3,577,1227,0.47,0.469,419,523,0.801,198,498,696,239,98,81,250,214,1636,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,4.1,3.1,7.2,0.116,1.9,-0.2,1.7,2.8,0,0.0,OOR,2002,0.402
Courtney Alexander,SG,24,WAS,56,1325,223,474,0.47,5,18,0.278,218,456,0.478,0.476,98,121,0.81,43,105,148,86,35,7,60,113,549,13.6,0.521,0.038,0.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,1.6,0.6,2.2,0.08,-0.9,-1.3,-2.2,-0.1,0,0.0,OOR,2002,0.451
Victor Alexander,C,32,DET,15,97,18,51,0.353,0,2,0.0,18,49,0.367,0.353,4,8,0.5,7,22,29,6,0,1,5,6,40,9.2,0.367,0.039,0.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,-0.3,0.1,-0.1,-0.073,-5.3,-3.5,-8.8,-0.2,0,0.0,OOR,2002,0.61
Malik Allen,PF,23,MIA,12,161,22,51,0.431,0,1,0.0,22,50,0.44,0.431,8,10,0.8,15,23,38,5,3,8,2,16,52,15.0,0.469,0.02,0.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,0.2,0.3,0.5,0.141,-1.4,0.3,-1.1,0.0,0,0.0,OOR,2002,0.439
Ray Allen,SG,26,MIL,69,2525,530,1148,0.462,229,528,0.434,301,620,0.485,0.561,214,245,0.873,81,231,312,271,88,18,159,157,1503,21.6,0.598,0.46,0.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,7.6,1.3,8.9,0.169,6.0,-1.1,4.9,4.4,0,0.0,OOR,2002,0.5
Rafer Alston,PG,25,MIL,50,600,66,191,0.346,27,71,0.38,39,120,0.325,0.416,18,29,0.621,10,62,72,143,32,2,40,42,177,13.9,0.434,0.372,0.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,0.3,0.5,0.7,0.059,-0.4,-0.3,-0.7,0.2,0,0.0,OOR,2002,0.5
John Amaechi,PF,31,UTA,54,586,54,166,0.325,0,0,0.0,54,166,0.325,0.325,67,105,0.638,52,57,109,29,7,10,55,64,175,5.4,0.412,0.0,0.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,-1.0,0.3,-0.7,-0.056,-5.4,-2.8,-8.2,-0.9,0,0.0,OOR,2002,0.537
Chris Andersen,C,23,DEN,24,262,25,74,0.338,0,4,0.0,25,70,0.357,0.338,22,28,0.786,38,38,76,7,7,28,13,35,72,13.8,0.417,0.054,0.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,0.0,0.3,0.3,0.058,-3.3,0.3,-3.0,-0.1,0,0.0,OOR,2002,0.329
Derek Anderson,SG,27,POR,70,1860,247,612,0.404,85,228,0.373,162,384,0.422,0.473,178,208,0.856,47,142,189,216,68,8,87,113,757,15.5,0.538,0.373,0.34,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,3.8,1.5,5.3,0.137,1.4,0.2,1.6,1.7,0,0.0,OOR,2002,0.598
Kenny Anderson,PG,31,BOS,76,2430,312,716,0.436,9,33,0.273,303,683,0.444,0.442,98,132,0.742,57,218,275,403,141,10,119,210,731,13.6,0.472,0.046,0.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,1.7,3.5,5.2,0.103,-2.3,1.9,-0.4,1.0,0,0.0,OOR,2002,0.598
Nick Anderson,SG,34,MEM,15,219,21,76,0.276,13,48,0.271,8,28,0.286,0.362,5,9,0.556,1,32,33,14,6,6,14,17,60,4.9,0.375,0.632,0.118,0.5,16.3,8.4,10.2,1.4,1.9,14.9,19.5,-0.6,0.2,-0.4,-0.08,-5.2,-0.6,-5.9,-0.2,0,0.0,OOR,2002,0.28
Shandon Anderson,SG,28,NYK,82,1596,149,373,0.399,39,141,0.277,110,232,0.474,0.452,74,107,0.692,57,192,249,76,48,15,97,134,411,8.0,0.489,0.378,0.287,4.1,13.9,9.0,7.7,1.6,0.7,18.8,15.1,-0.9,1.3,0.4,0.013,-3.0,0.3,-2.8,-0.3,0,0.0,OOR,2002,0.366
Greg Anthony,PG,34,CHI,60,1514,183,475,0.385,48,163,0.294,135,312,0.433,0.436,60,91,0.659,22,110,132,282,77,5,94,114,474,12.6,0.46,0.343,0.192,1.7,8.5,5.1,30.8,2.7,0.2,15.4,18.6,0.2,0.9,1.1,0.036,-1.4,-0.4,-1.9,0.1,0,0.0,OOR,2002,0.256
Gilbert Arenas,PG,20,GSW,47,1155,174,384,0.453,39,113,0.345,135,271,0.498,0.504,124,160,0.775,41,91,132,174,69,11,97,115,511,17.0,0.562,0.294,0.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,2.1,0.7,2.7,0.114,1.0,0.0,1.0,0.9,0,0.0,OOR,2002,0.256
Brandon Armstrong,SG,21,NJN,35,196,27,85,0.318,5,17,0.294,22,68,0.324,0.347,5,10,0.5,10,6,16,8,7,1,8,26,64,3.8,0.358,0.2,0.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,-0.4,0.2,-0.2,-0.054,-7.2,-1.5,-8.8,-0.3,0,0.0,OOR,2002,0.634
Darrell Armstrong,PG,33,ORL,82,2730,347,828,0.419,139,398,0.349,208,430,0.484,0.503,182,205,0.888,83,236,319,453,157,10,175,166,1015,16.7,0.553,0.481,0.248,3.4,9.7,6.5,25.5,3.0,0.3,16.0,17.9,5.0,2.6,7.6,0.134,1.6,0.8,2.4,3.0,0,0.0,OOR,2002,0.537
