Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Deandre Ayton,C,22,PHO,50,1535,19.7,.639,.034,.255,12.4,26.6,19.7,7.0,0.7,3.4,12.5,19.2,,3.5,2.5,6.0,.186,,0.4,-0.1,0.3,0.9
Udoka Azubuike,C,21,UTA,12,49,10.6,.622,.000,.857,9.0,18.6,14.0,0.0,1.0,6.5,23.7,11.1,,0.0,0.1,0.1,.109,,-5.5,1.2,-4.3,0.0
Dwayne Bacon,SG,25,ORL,51,1302,8.9,.488,.312,.219,1.2,11.3,6.1,7.4,1.0,0.3,5.9,19.1,,-0.4,0.7,0.4,.013,,-3.9,-1.6,-5.4,-1.1
Marvin Bagley III,PF,21,SAC,37,951,16.2,.553,.231,.262,10.4,21.7,16.0,5.5,0.9,1.6,9.6,23.1,,0.8,0.3,1.1,.057,,-0.6,-2.9,-3.5,-0.4
LaMelo Ball,PG,19,CHO,41,1174,18.6,.562,.411,.234,4.9,17.3,11.1,33.8,2.7,1.2,16.5,25.3,,1.4,1.5,2.9,.119,,1.9,0.8,2.7,1.4
Lonzo Ball,PG,23,NOP,41,1300,15.6,.564,.655,.095,2.1,12.5,7.3,25.2,2.1,1.7,13.8,19.9,,1.7,0.8,2.5,.094,,1.7,-0.1,1.6,1.2
Mo Bamba,C,22,ORL,29,348,18.8,.551,.353,.173,11.3,26.4,18.6,6.3,0.8,7.3,9.0,22.0,,0.3,0.5,0.8,.116,,-0.5,-0.1,-0.6,0.1
Desmond Bane,SG,22,MEM,45,1011,11.8,.603,.516,.097,1.8,13.4,7.4,8.8,1.4,0.7,11.1,16.6,,0.8,1.0,1.8,.088,,-1.3,-0.3,-1.5,0.1
Harrison Barnes,PF,28,SAC,48,1725,15.6,.617,.376,.390,3.6,17.3,10.3,13.6,1.1,0.4,10.8,17.0,,3.4,0.2,3.7,.103,,1.4,-1.4,-0.1,0.8
RJ Barrett,SG,20,NYK,52,1768,13.9,.533,.245,.277,3.5,15.1,9.3,14.4,1.0,0.7,11.0,24.0,,0.6,2.2,2.8,.076,,-1.0,-0.5,-1.5,0.2
Will Barton,SF,30,DEN,48,1499,12.1,.536,.421,.177,2.7,12.7,7.7,13.7,1.5,1.4,12.3,19.0,,0.7,1.2,2.0,.063,,-0.8,-1.2,-2.0,0.0
Keita Bates-Diop,SF,25,SAS,16,118,10.9,.467,.469,.313,4.4,13.8,9.0,7.8,2.5,0.7,2.7,13.8,,0.0,0.1,0.2,.072,,-2.6,0.5,-2.0,0.0
Nicolas Batum,SF,32,LAC,49,1393,13.0,.623,.681,.158,3.3,15.9,9.7,11.0,2.0,1.1,10.5,11.5,,2.3,1.7,4.0,.138,,0.6,0.8,1.4,1.2
Aron Baynes,C,34,TOR,48,882,9.9,.491,.335,.136,9.7,21.4,15.3,7.1,0.7,2.3,12.7,16.2,,0.0,0.8,0.8,.043,,-3.7,-1.4,-5.1,-0.7
Kent Bazemore,SF,31,GSW,49,811,10.9,.567,.479,.208,2.2,16.0,9.1,12.8,2.4,2.5,17.1,16.6,,-0.1,1.2,1.0,.060,,-2.8,1.5,-1.3,0.1
Darius Bazley,PF,20,OKC,36,1104,9.3,.487,.462,.201,2.1,23.5,12.8,7.4,0.8,1.8,12.6,19.6,,-1.4,1.1,-0.3,-0.012,,-3.2,-0.9,-4.1,-0.6
Bradley Beal,SG,27,WAS,42,1485,23.6,.601,.288,.347,3.3,11.5,7.4,24.3,1.6,0.9,11.3,34.5,,3.2,1.0,4.2,.136,,5.4,-1.5,3.9,2.2
Malik Beasley,SG,24,MIN,37,1214,14.8,.570,.535,.133,2.4,12.5,7.2,11.8,1.2,0.5,8.6,24.1,,0.9,0.4,1.4,.054,,1.7,-2.3,-0.6,0.4
Jordan Bell,C,26,WAS,3,50,8.0,.333,.133,.000,10.5,23.4,16.9,13.1,0.9,5.0,16.7,15.0,,-0.1,0.1,0.0,-0.032,,-5.1,-1.2,-6.3,-0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre' Bembry,SF,26,TOR,35,631,11.5,.592,.229,.250,3.5,12.9,8.1,16.3,2.2,1.8,20.1,13.3,,0.4,0.7,1.0,.079,,-2.6,1.1,-1.5,0.1
Dāvis Bertāns,PF,28,WAS,38,928,11.9,.615,.889,.234,1.7,10.8,6.2,5.0,1.2,0.7,6.4,16.7,,1.3,0.5,1.8,.093,,0.6,-1.4,-0.8,0.3
Patrick Beverley,PG,32,LAC,30,709,13.2,.604,.660,.218,4.4,13.0,8.8,11.7,1.8,2.8,11.6,14.5,,1.2,0.9,2.1,.140,,-0.2,0.9,0.7,0.5
Saddiq Bey,SF,21,DET,49,1211,12.3,.574,.688,.210,2.4,15.8,8.9,8.0,1.2,0.4,7.0,17.9,,1.3,0.9,2.2,.085,,0.2,-1.2,-1.0,0.3
