Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Tyler Cook,SF-PF,23,TOT,15,164,9.5,.601,.000,.364,7.4,15.3,11.3,7.0,1.2,0.0,19.0,12.6,,0.1,0.1,0.2,.054,,-4.8,-0.2,-5.0,-0.1
Tyler Cook,PF,23,BRK,4,17,1.6,.333,.000,.000,6.9,6.3,6.6,14.1,0.0,0.0,25.0,10.2,,0.0,0.0,0.0,-0.046,,-5.3,-1.5,-6.8,0.0
Tyler Cook,SF,23,DET,11,147,10.4,.624,.000,.400,7.4,16.3,11.8,6.2,1.3,0.0,18.5,12.9,,0.1,0.1,0.2,.066,,-4.7,0.0,-4.7,-0.1
DeMarcus Cousins,C,30,TOT,26,514,15.4,.513,.542,.294,6.4,35.1,20.2,18.7,1.9,3.1,14.2,23.4,,-0.1,0.9,0.8,.078,,-1.5,1.9,0.4,0.3
DeMarcus Cousins,C,30,HOU,25,506,15.1,.511,.552,.281,6.1,35.3,20.1,18.2,2.0,3.2,14.2,23.2,,-0.1,0.9,0.8,.075,,-1.5,1.9,0.4,0.3
DeMarcus Cousins,C-F,30,LAC,1,8,33.0,.608,.000,1.000,28.6,27.5,28.0,50.1,0.0,0.0,14.8,37.4,,0.0,0.0,0.0,.267,,2.6,-0.5,2.1,0.0
Robert Covington,PF,30,POR,48,1549,12.2,.574,.710,.111,2.7,20.7,11.3,6.9,2.5,3.5,12.0,12.2,,1.1,1.6,2.6,.081,,-1.2,1.3,0.1,0.8
Torrey Craig,SF,30,TOT,28,361,12.9,.537,.433,.082,7.8,17.2,12.6,8.8,2.3,2.5,8.2,13.1,,0.4,0.6,1.0,.128,,-1.1,1.3,0.3,0.2
Torrey Craig,SF,30,MIL,18,201,10.4,.480,.478,.043,7.1,15.2,11.3,9.5,2.1,3.1,9.6,10.9,,0.1,0.3,0.4,.100,,-1.9,1.0,-0.9,0.1
Torrey Craig,SF,30,PHO,10,160,16.0,.587,.392,.118,8.7,19.7,14.4,7.8,2.5,1.7,6.9,16.0,,0.3,0.3,0.5,.163,,0.1,1.7,1.7,0.1
Jae Crowder,PF,30,PHO,47,1315,11.9,.573,.760,.153,2.0,17.7,10.1,9.8,1.4,1.3,9.5,15.6,,1.1,1.8,2.9,.104,,0.1,0.7,0.8,0.9
Jarrett Culver,SG,21,MIN,29,464,9.1,.477,.287,.293,7.6,16.0,11.6,6.2,1.6,1.6,12.8,18.4,,-0.4,0.3,-0.1,-0.005,,-4.8,-1.8,-6.6,-0.5
Seth Curry,SG,30,PHI,40,1168,12.4,.589,.493,.165,0.7,7.1,4.0,13.8,1.4,0.6,11.0,17.6,,1.3,1.2,2.6,.105,,-0.4,-1.1,-1.5,0.2
Stephen Curry,PG,32,GSW,43,1457,25.5,.646,.563,.288,1.7,15.4,8.6,31.7,1.8,0.2,12.1,32.9,,4.2,1.5,5.7,.189,,7.5,0.1,7.6,3.5
Nate Darling,SG,22,CHO,4,16,9.7,.500,1.000,.000,6.7,0.0,3.4,8.8,0.0,0.0,0.0,16.1,,0.0,0.0,0.0,.051,,1.8,-4.3,-2.6,0.0
Anthony Davis,PF,27,LAL,23,755,24.5,.588,.151,.339,7.1,21.0,14.2,16.2,2.0,4.8,9.3,27.9,,1.5,1.7,3.2,.201,,4.3,2.1,6.4,1.6
Ed Davis,C,31,MIN,19,264,12.1,.462,.000,.186,14.9,25.2,19.8,9.4,1.8,3.2,11.4,8.4,,0.3,0.3,0.6,.113,,-3.8,0.4,-3.4,-0.1
Terence Davis,SG,23,TOT,40,613,11.6,.548,.607,.088,1.7,13.3,7.3,11.2,1.7,1.4,11.7,21.6,,-0.1,0.5,0.4,.030,,-1.5,-1.2,-2.7,-0.1
Terence Davis,SG,23,TOR,34,493,11.0,.537,.581,.086,1.9,13.1,7.3,11.6,1.7,1.4,11.7,21.6,,-0.2,0.4,0.3,.027,,-1.8,-1.3,-3.1,-0.1
Terence Davis,SG,23,SAC,6,120,14.0,.590,.712,.096,0.9,14.0,7.4,9.5,2.0,1.4,11.4,21.8,,0.1,0.0,0.1,.043,,-0.4,-0.9,-1.3,0.0
Matthew Dellavedova,PG,30,CLE,3,50,8.3,.272,.417,.167,4.4,4.6,4.5,39.5,0.0,0.0,0.0,11.2,,0.0,0.0,0.0,.031,,-2.2,-3.1,-5.3,0.0
DeMar DeRozan,PF,31,SAS,42,1425,21.7,.591,.101,.476,2.0,11.9,6.8,31.9,1.4,0.7,9.7,25.1,,4.1,1.2,5.2,.176,,3.5,-0.1,3.4,1.9
Mamadi Diakite,PF,24,MIL,6,56,12.2,.472,.222,.000,9.8,18.2,14.1,9.1,0.0,6.3,5.3,14.3,,0.0,0.1,0.1,.099,,-2.5,-0.4,-2.9,0.0
Hamidou Diallo,SG-SF,22,TOT,38,898,15.9,.558,.154,.432,5.2,18.0,11.6,16.0,1.9,1.6,12.4,22.6,,0.6,1.0,1.6,.087,,-1.5,0.4,-1.1,0.2
Hamidou Diallo,SG,22,OKC,32,761,15.1,.536,.138,.444,5.1,17.6,11.4,16.4,1.9,1.4,12.1,22.9,,0.3,0.9,1.1,.072,,-2.1,0.4,-1.7,0.1
Hamidou Diallo,SF,22,DET,6,137,20.4,.694,.250,.354,5.6,20.0,12.7,13.7,1.4,2.6,14.0,20.5,,0.3,0.2,0.5,.172,,1.8,0.4,2.2,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgui Dieng,C,31,TOT,25,395,18.4,.666,.452,.426,7.4,19.9,13.5,10.0,2.3,3.3,14.9,17.2,,0.8,0.6,1.5,.179,,0.9,1.0,1.9,0.4
Gorgui Dieng,C,31,MEM,22,371,19.3,.682,.444,.398,7.9,20.6,14.1,10.6,2.2,3.5,14.8,16.9,,0.9,0.6,1.5,.195,,1.7,1.0,2.6,0.4
Gorgui Dieng,C,31,SAS,3,24,3.2,.467,.571,.857,0.0,9.0,4.4,0.0,4.0,0.0,17.2,21.1,,-0.1,0.0,0.0,-0.060,,-11.1,2.1,-9.0,0.0
Spencer Dinwiddie,SG,27,BRK,3,64,10.2,.536,.438,.375,0.0,21.7,11.4,17.5,1.5,1.4,21.2,16.1,,0.0,0.1,0.1,.047,,-3.4,2.0,-1.4,0.0
Donte DiVincenzo,SG,24,MIL,49,1349,13.0,.535,.549,.114,5.1,15.8,10.6,14.4,2.0,0.6,12.6,17.1,,1.1,1.6,2.6,.094,,-0.3,0.2,-0.1,0.6
Luka Dončić,PG,21,DAL,45,1576,25.8,.590,.388,.334,2.6,22.5,12.7,44.7,1.4,1.6,15.2,36.2,,3.6,1.9,5.5,.168,,6.4,0.8,7.2,3.7
Luguentz Dort,SG,21,OKC,41,1203,9.4,.509,.534,.231,2.4,9.9,6.1,8.1,1.4,1.1,10.3,20.2,,-0.6,0.9,0.3,.011,,-3.3,-1.0,-4.3,-0.7
Damyean Dotson,SG,26,CLE,35,658,8.9,.485,.520,.145,0.8,11.3,5.9,16.9,1.0,0.5,10.6,17.4,,-0.2,0.4,0.2,.012,,-2.8,-1.2,-4.0,-0.3
Devon Dotson,PG,21,CHI,3,15,10.5,.500,.000,.000,7.5,7.3,7.4,0.0,3.2,0.0,0.0,11.4,,0.0,0.0,0.0,.083,,-3.8,1.2,-2.7,0.0
Sekou Doumbouya,PF,20,DET,42,535,4.9,.433,.453,.186,4.1,14.8,9.3,6.8,1.4,0.3,13.1,17.5,,-0.9,0.4,-0.5,-0.041,,-6.2,-2.3,-8.5,-0.9
PJ Dozier,SG,24,DEN,36,731,10.6,.503,.418,.245,4.2,16.7,10.6,10.4,1.5,2.1,10.6,16.3,,0.2,0.7,0.9,.062,,-2.3,-0.7,-3.0,-0.2
Goran Dragić,PG,34,MIA,32,854,12.5,.556,.427,.221,1.4,12.0,6.9,27.9,1.0,0.7,18.0,24.5,,-0.1,0.8,0.7,.041,,-1.6,-1.9,-3.4,-0.3
Andre Drummond,C,27,TOT,26,736,20.1,.497,.021,.339,15.0,36.9,25.6,16.2,2.7,3.7,15.9,31.2,,-0.9,1.4,0.6,.039,,-0.8,0.2,-0.7,0.3
Andre Drummond,C,27,CLE,25,722,20.7,.500,.021,.339,15.2,37.4,26.1,16.1,2.7,3.6,15.6,31.2,,-0.7,1.4,0.7,.047,,-0.5,0.2,-0.3,0.3
Andre Drummond,C,27,LAL,1,14,-10.6,.291,.000,.333,0.0,7.8,4.0,20.4,0.0,6.3,30.4,30.6,,-0.1,0.0,-0.1,-0.383,,-15.5,-3.3,-18.8,-0.1
Jared Dudley,PF,35,LAL,11,76,5.5,.429,.714,.000,6.0,21.4,13.9,8.1,0.6,1.2,22.2,5.1,,0.0,0.1,0.1,.083,,-3.8,0.2,-3.6,0.0
Kevin Durant,PF,32,BRK,20,698,25.6,.660,.316,.412,1.3,21.1,11.7,24.3,1.0,3.5,14.5,31.4,,2.1,0.7,2.8,.193,,5.5,0.1,5.6,1.3
Anthony Edwards,SG,19,MIN,52,1615,12.1,.495,.410,.195,2.9,12.7,7.6,13.5,1.6,1.2,10.7,27.2,,-1.5,0.8,-0.7,-0.020,,-2.0,-2.2,-4.2,-0.9
Carsen Edwards,SG,22,BOS,21,193,12.9,.558,.524,.110,1.1,10.0,5.5,7.8,1.3,0.5,3.4,19.9,,0.3,0.1,0.4,.093,,-2.2,-1.5,-3.7,-0.1
CJ Elleby,SF,20,POR,18,141,8.7,.452,.565,.239,5.9,11.1,8.4,3.9,2.1,1.9,5.6,16.4,,0.0,0.1,0.0,.016,,-4.6,-1.5,-6.1,-0.1
Henry Ellenson,PF,24,TOR,2,38,12.8,.476,.643,.286,8.3,26.9,17.3,19.0,0.0,0.0,0.0,17.9,,0.1,0.0,0.1,.130,,-3.1,1.0,-2.1,0.0
Wayne Ellington,SG,33,DET,37,833,12.5,.625,.799,.116,1.2,8.2,4.6,9.7,0.9,0.9,8.0,17.0,,1.1,0.4,1.5,.088,,1.3,-1.7,-0.4,0.3
Joel Embiid,C,26,PHI,33,1071,31.4,.647,.168,.662,7.8,29.6,19.0,17.1,1.7,3.9,12.3,34.7,,4.3,2.2,6.4,.287,,6.8,1.4,8.2,2.7
James Ennis,SF,30,ORL,34,802,12.9,.623,.423,.316,4.8,13.1,8.8,9.3,1.8,0.7,12.5,13.7,,1.1,0.7,1.8,.107,,-1.8,0.2,-1.7,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Eubanks,C,23,SAS,31,399,14.2,.565,.010,.448,6.0,23.1,14.3,9.1,0.7,6.7,16.0,16.3,,0.2,0.6,0.7,.090,,-3.1,1.6,-1.5,0.1
Dante Exum,SG,25,CLE,6,116,6.0,.428,.423,.077,1.9,14.8,8.2,15.7,1.7,1.6,20.7,12.7,,-0.1,0.1,0.0,-0.019,,-4.8,1.7,-3.1,0.0
Tacko Fall,C,25,BOS,15,100,20.6,.673,.000,.542,12.2,30.5,21.2,2.9,0.5,11.4,11.9,14.6,,0.2,0.2,0.4,.184,,-0.8,1.8,1.0,0.1
Derrick Favors,C,29,UTA,49,765,20.2,.651,.005,.369,15.0,22.3,18.8,7.4,1.7,5.2,11.8,13.8,,2.2,1.6,3.8,.239,,0.4,1.9,2.3,0.8
Cristiano Felício,C,28,CHI,10,45,16.2,.714,.000,2.500,15.1,17.0,16.1,13.7,2.1,0.0,26.3,10.9,,0.1,0.0,0.2,.172,,1.0,1.2,2.1,0.0
Terrance Ferguson,SG,22,PHI,13,49,-7.1,.143,.714,.000,0.0,2.2,1.1,4.9,1.0,0.0,36.4,9.6,,-0.2,0.0,-0.2,-0.159,,-12.1,-2.7,-14.8,-0.2
Bruno Fernando,C,22,ATL,26,178,5.9,.501,.071,.643,8.1,30.8,19.7,6.6,0.6,1.5,33.4,13.1,,-0.3,0.2,-0.1,-0.016,,-5.8,-0.6,-6.4,-0.2
Yogi Ferrell,PG,27,CLE,2,40,12.6,.434,.429,.095,8.2,11.5,9.8,20.9,3.7,2.3,12.1,27.1,,-0.1,0.1,0.0,-0.027,,-1.9,0.4,-1.5,0.0
Dorian Finney-Smith,PF,27,DAL,39,1242,10.8,.575,.652,.093,5.5,12.7,9.2,6.5,1.4,1.1,7.4,11.7,,1.5,1.1,2.6,.100,,-0.7,0.0,-0.7,0.4
Malachi Flynn,PG,22,TOR,26,335,7.3,.416,.477,.110,0.9,12.5,6.5,18.0,2.2,1.2,11.6,16.6,,-0.4,0.3,-0.1,-0.009,,-5.2,0.2,-5.0,-0.3
Bryn Forbes,SG,27,MIL,49,927,11.5,.613,.642,.095,0.9,5.9,3.5,4.0,0.7,0.0,6.8,18.1,,1.1,0.5,1.6,.082,,0.1,-2.2,-2.2,0.0
Trent Forrest,PG,22,UTA,13,72,10.6,.504,.200,.133,0.0,9.9,5.1,29.2,2.7,0.0,23.9,12.5,,0.0,0.1,0.1,.096,,-4.4,2.3,-2.1,0.0
Evan Fournier,SF-SG,28,TOT,30,902,17.5,.602,.518,.312,0.6,9.3,4.8,19.0,1.7,1.3,11.1,24.9,,1.4,0.7,2.1,.110,,1.6,-0.5,1.1,0.7
Evan Fournier,SF,28,ORL,26,787,18.4,.604,.509,.333,0.6,9.6,5.0,20.5,1.7,1.1,11.3,26.2,,1.3,0.6,1.9,.114,,2.1,-0.8,1.3,0.6
Evan Fournier,SG,28,BOS,4,115,11.5,.578,.605,.105,0.0,6.9,3.4,8.5,2.1,2.5,9.1,16.4,,0.1,0.1,0.2,.083,,-1.4,1.3,-0.1,0.1
De'Aaron Fox,PG,23,SAC,50,1738,20.3,.566,.296,.373,1.7,8.9,5.2,32.3,1.9,1.2,12.4,30.6,,3.0,0.3,3.4,.093,,2.8,-1.6,1.2,1.4
Tim Frazier,PG,30,MEM,3,33,0.3,.250,.250,.000,0.0,13.2,6.5,25.7,1.4,0.0,27.3,14.0,,-0.1,0.0,-0.1,-0.109,,-10.9,-2.6,-13.6,-0.1
Markelle Fultz,PG,22,ORL,8,215,12.1,.458,.154,.183,2.3,10.1,6.1,32.6,1.8,0.9,13.8,26.2,,-0.2,0.2,-0.1,-0.014,,-2.9,-1.7,-4.6,-0.1
Wenyen Gabriel,PF,23,NOP,9,42,1.5,.274,.455,.364,18.6,18.5,18.5,14.3,1.2,0.0,35.4,20.0,,-0.2,0.0,-0.2,-0.197,,-7.4,-4.1,-11.5,-0.1
Daniel Gafford,PF-C,22,TOT,33,411,20.1,.711,.000,.460,13.4,17.2,15.3,5.7,1.4,8.1,17.2,15.1,,0.9,0.7,1.6,.188,,-0.2,1.8,1.6,0.4
Daniel Gafford,PF,22,CHI,31,383,18.7,.700,.000,.471,13.0,16.8,14.9,6.1,1.4,7.6,17.3,14.2,,0.8,0.6,1.4,.181,,-0.9,1.4,0.5,0.2
Daniel Gafford,C,22,WAS,2,28,38.5,.789,.000,.385,18.8,22.8,20.8,0.0,1.6,15.0,16.5,27.1,,0.1,0.1,0.2,.285,,9.4,6.9,16.3,0.1
Danilo Gallinari,PF,32,ATL,38,905,15.7,.612,.555,.368,1.1,17.0,9.2,8.9,1.1,0.7,8.3,21.4,,1.8,0.7,2.5,.133,,1.3,-0.9,0.3,0.5
Langston Galloway,SG,29,PHO,34,377,12.6,.634,.587,.140,1.5,8.6,5.2,8.7,0.8,0.0,7.9,16.5,,0.6,0.3,0.9,.118,,0.5,-0.8,-0.3,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Garland,PG,21,CLE,41,1364,13.3,.540,.312,.164,1.6,6.5,4.0,29.1,1.7,0.3,16.4,24.3,,0.0,0.8,0.8,.028,,-0.4,-1.8,-2.2,-0.1
Marc Gasol,C,36,LAL,42,833,11.3,.571,.615,.260,4.2,18.5,11.5,14.1,1.3,5.6,21.0,12.4,,0.3,1.7,2.0,.118,,-1.9,3.1,1.3,0.7
Rudy Gay,PF,34,SAS,42,918,14.4,.522,.430,.166,3.9,20.7,12.1,10.6,1.7,2.3,9.0,23.3,,-0.1,1.2,1.1,.059,,-0.2,-0.2,-0.4,0.4
Paul George,SF,30,LAC,39,1302,21.1,.609,.443,.232,3.0,17.6,10.5,25.3,1.7,1.2,14.7,28.7,,2.7,1.5,4.2,.156,,4.6,-0.3,4.3,2.1
Taj Gibson,PF,35,NYK,25,502,13.8,.634,.175,.438,9.5,17.1,13.3,4.8,1.9,4.3,14.4,9.8,,0.7,0.9,1.6,.156,,-2.0,2.0,0.0,0.3
Harry Giles,C,22,POR,27,297,11.6,.507,.181,.278,9.7,33.4,21.1,10.0,1.0,3.1,18.2,14.3,,0.1,0.3,0.4,.064,,-3.9,-0.5,-4.4,-0.2
Shai Gilgeous-Alexander,SG,22,OKC,35,1180,21.9,.623,.301,.405,1.7,13.0,7.4,31.3,1.1,1.7,13.7,28.3,,2.7,1.0,3.7,.151,,3.8,0.0,3.8,1.7
Anthony Gill,PF,28,WAS,16,88,6.4,.354,.611,.222,9.6,21.8,15.6,5.6,2.1,1.9,16.8,11.3,,-0.1,0.1,0.0,.001,,-5.6,-0.9,-6.6,-0.1
Rudy Gobert,C,28,UTA,51,1574,23.8,.671,.007,.688,11.9,32.8,22.8,6.2,0.8,7.4,12.9,17.4,,4.5,3.7,8.2,.249,,2.1,2.5,4.6,2.6
Brandon Goodwin,PG,25,ATL,34,368,9.0,.455,.475,.173,1.8,9.0,5.5,21.7,1.6,0.0,11.3,19.9,,-0.1,0.2,0.1,.012,,-2.8,-0.7,-3.5,-0.1
Aaron Gordon,PF,25,TOT,31,901,15.8,.554,.366,.346,5.0,17.7,11.2,21.0,1.3,2.6,15.7,22.6,,0.4,0.9,1.3,.068,,0.8,0.4,1.2,0.7
Aaron Gordon,PF,25,ORL,25,736,15.1,.537,.382,.358,5.3,18.7,11.8,22.7,1.1,2.6,16.5,23.8,,0.0,0.7,0.7,.046,,0.6,0.0,0.6,0.5
Aaron Gordon,PF,25,DEN,6,165,18.9,.656,.275,.275,3.5,13.6,8.6,13.6,2.1,2.9,10.9,17.0,,0.4,0.2,0.6,.163,,1.9,2.0,3.9,0.2
Eric Gordon,SG,32,HOU,27,789,14.7,.577,.572,.311,1.0,7.0,3.9,14.9,0.8,1.5,10.9,25.4,,0.6,0.4,1.0,.059,,0.9,-1.5,-0.6,0.3
Devonte' Graham,PG,25,CHO,40,1188,14.2,.541,.680,.228,1.5,8.6,5.1,24.9,1.8,0.3,10.2,20.5,,1.6,0.8,2.4,.096,,1.0,-0.7,0.2,0.7
Jerami Grant,SF,26,DET,48,1651,17.3,.560,.362,.363,2.3,13.7,7.8,14.5,1.0,2.8,9.0,28.0,,1.8,1.3,3.1,.091,,2.2,-1.1,1.1,1.3
Danny Green,SF,33,PHI,51,1444,12.2,.592,.790,.071,3.2,10.8,7.1,8.0,2.2,2.7,11.5,14.1,,1.2,2.2,3.4,.114,,0.3,1.2,1.5,1.3
Draymond Green,PF,30,GSW,43,1303,12.2,.498,.344,.225,3.2,19.5,11.3,36.4,2.3,2.2,30.5,13.1,,0.4,1.9,2.3,.084,,-2.2,2.7,0.4,0.8
JaMychal Green,PF,30,DEN,39,727,14.9,.594,.529,.160,9.3,22.1,15.8,6.0,1.4,1.9,11.9,18.8,,1.0,0.8,1.8,.121,,0.0,-1.8,-1.8,0.0
Javonte Green,SG-PG,27,TOT,28,369,11.2,.593,.299,.390,6.6,11.0,8.8,4.3,2.7,1.0,15.1,12.4,,0.3,0.4,0.7,.087,,-2.3,0.9,-1.4,0.1
Javonte Green,SG,27,BOS,25,345,12.0,.624,.310,.423,6.4,10.5,8.4,4.3,2.6,0.5,13.4,12.2,,0.4,0.3,0.8,.105,,-1.7,0.8,-0.9,0.1
Javonte Green,PG,27,CHI,3,24,0.6,.167,.167,.000,9.4,18.2,13.9,5.0,4.0,7.1,33.3,16.1,,-0.1,0.1,-0.1,-0.169,,-10.2,2.0,-8.2,0.0
Jeff Green,C,34,BRK,48,1285,12.2,.621,.479,.292,2.1,13.1,7.9,7.0,1.1,1.2,8.7,14.8,,1.8,0.8,2.6,.098,,-0.3,-1.0,-1.3,0.2
Josh Green,SG,20,DAL,26,279,7.2,.472,.293,.259,6.8,13.0,10.0,6.6,1.2,1.0,17.8,12.5,,-0.1,0.2,0.1,.016,,-4.4,-0.4,-4.9,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,PF,31,TOT,27,756,11.6,.526,.542,.288,1.6,18.6,10.1,18.1,1.2,0.6,11.7,19.2,,0.2,0.6,0.9,.055,,-0.9,-0.4,-1.3,0.1
Blake Griffin,PF,31,DET,20,626,9.9,.491,.559,.279,1.2,17.7,9.3,18.5,1.1,0.3,11.4,19.6,,-0.1,0.5,0.3,.025,,-1.5,-1.1,-2.6,-0.1
Blake Griffin,PF,31,BRK,7,130,19.6,.720,.447,.342,3.6,23.0,13.8,16.0,1.9,2.0,13.8,17.0,,0.4,0.2,0.5,.198,,1.9,2.8,4.7,0.2
Kyle Guy,PG,23,SAC,21,148,11.9,.506,.554,.214,2.2,14.4,8.2,17.1,1.3,0.0,6.1,18.9,,0.1,0.0,0.2,.052,,-2.3,-1.4,-3.7,-0.1
Rui Hachimura,PF,22,WAS,41,1300,11.9,.554,.231,.282,2.9,16.7,9.8,7.3,1.2,0.2,8.9,18.4,,0.6,0.9,1.5,.057,,-1.7,-1.5,-3.2,-0.4
Ashton Hagans,PG,21,MIN,2,4,-12.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,,0.0,0.0,0.0,-0.355,,-13.8,-7.9,-21.7,0.0
Tyrese Haliburton,PG,20,SAC,45,1362,16.7,.599,.490,.085,2.9,9.2,6.0,23.1,2.0,1.6,12.0,17.5,,2.6,0.3,2.9,.103,,2.2,-0.7,1.5,1.2
Josh Hall,SF,20,OKC,12,148,-1.3,.344,.436,.692,0.7,15.6,8.1,15.5,0.0,0.0,21.6,18.9,,-0.6,0.1,-0.5,-0.159,,-10.3,-2.6,-12.9,-0.4
R.J. Hampton,PG-SG,19,TOT,31,372,10.0,.510,.293,.207,4.2,19.1,11.6,8.7,1.3,0.8,11.8,16.8,,0.0,0.3,0.3,.038,,-3.6,-0.9,-4.5,-0.2
R.J. Hampton,PG,19,DEN,25,233,7.8,.490,.300,.200,4.9,19.3,12.2,7.6,1.1,0.8,14.4,14.3,,-0.1,0.2,0.1,.030,,-4.5,-1.0,-5.6,-0.2
R.J. Hampton,SG,19,ORL,6,139,13.5,.530,.286,.214,2.9,18.7,10.5,10.5,1.8,0.7,8.9,20.9,,0.0,0.1,0.1,.050,,-2.0,-0.7,-2.7,0.0
Tim Hardaway Jr.,SG,28,DAL,49,1425,15.5,.587,.577,.181,1.2,11.8,6.6,8.9,0.9,0.5,5.9,22.9,,2.1,0.9,3.0,.102,,1.8,-1.6,0.2,0.8
James Harden,PG-SG,31,TOT,42,1558,24.7,.616,.453,.438,2.6,20.7,12.0,44.2,1.5,1.6,16.7,28.8,,5.2,1.6,6.8,.211,,6.1,0.4,6.5,3.3
James Harden,SG,31,HOU,8,290,22.8,.613,.533,.444,1.8,13.8,7.5,47.8,1.1,1.9,17.4,28.8,,0.8,0.2,1.0,.171,,5.6,-1.0,4.6,0.5
James Harden,PG,31,BRK,34,1268,25.1,.616,.434,.436,2.8,22.3,13.0,43.4,1.6,1.6,16.6,28.8,,4.4,1.4,5.8,.220,,6.3,0.7,7.0,2.8
Maurice Harkless,SF-PF,27,TOT,17,219,5.0,.533,.697,.182,1.6,9.5,5.6,7.6,0.9,2.3,14.4,8.3,,0.0,0.1,0.1,.032,,-4.4,-0.6,-5.0,-0.2
Maurice Harkless,SF,27,MIA,11,124,4.6,.540,.846,.154,1.9,9.6,5.9,7.5,0.8,3.4,17.8,6.1,,0.0,0.1,0.1,.051,,-3.5,0.5,-3.0,0.0
Maurice Harkless,PF,27,SAC,6,95,5.6,.528,.600,.200,1.1,9.4,5.2,7.8,1.0,0.9,12.1,11.2,,0.0,0.0,0.0,.008,,-5.6,-2.1,-7.6,-0.1
Jared Harper,PG,23,NYK,4,9,-11.1,.347,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,,-0.1,0.0,-0.1,-0.369,,-15.2,-8.1,-23.2,0.0
Montrezl Harrell,C,27,LAL,51,1262,23.3,.656,.020,.410,11.6,18.2,15.0,7.1,1.3,2.7,9.0,21.8,,3.9,2.3,6.2,.235,,2.8,0.4,3.2,1.6
Gary Harris,SG,26,DEN,19,581,9.4,.544,.481,.192,2.6,6.6,4.6,7.1,1.5,0.7,7.6,13.8,,0.4,0.3,0.8,.064,,-2.1,-1.5,-3.6,-0.2
Jalen Harris,SG,22,TOR,4,14,6.9,.375,.500,.000,7.6,16.2,11.7,19.0,3.4,0.0,20.0,15.4,,0.0,0.0,0.0,.000,,-5.4,1.3,-4.0,0.0
Joe Harris,SF,29,BRK,52,1603,14.6,.675,.648,.083,2.4,10.6,6.7,8.2,0.9,0.5,6.8,16.0,,3.5,0.8,4.3,.129,,2.1,-1.4,0.6,1.1
Tobias Harris,PF,28,PHI,46,1535,20.7,.610,.230,.230,3.6,20.1,12.1,17.7,1.3,2.3,10.2,24.0,,3.5,2.3,5.8,.182,,3.2,0.8,4.0,2.3
Shaquille Harrison,SG,27,UTA,17,56,6.6,.375,.100,.300,5.9,10.9,8.5,21.4,1.7,0.0,18.1,21.2,,-0.1,0.1,0.0,-0.034,,-6.5,-1.3,-7.9,-0.1
Josh Hart,SF,25,NOP,47,1349,12.4,.566,.561,.259,4.4,26.6,15.5,10.5,1.4,0.9,11.3,13.6,,1.5,1.0,2.5,.089,,-1.1,0.0,-1.1,0.3
Isaiah Hartenstein,C,22,TOT,34,362,16.8,.560,.046,.472,14.2,23.8,18.9,10.4,1.5,6.6,15.0,18.5,,0.5,0.6,1.0,.137,,-3.1,0.4,-2.8,-0.1
Isaiah Hartenstein,C,22,DEN,30,272,15.6,.543,.000,.450,16.9,18.6,17.8,7.4,2.0,7.1,18.0,18.8,,0.2,0.4,0.7,.116,,-4.2,-0.1,-4.3,-0.2
Isaiah Hartenstein,C,22,CLE,4,90,20.2,.607,.179,.536,6.1,39.5,22.3,19.7,0.0,5.0,5.5,17.7,,0.2,0.1,0.4,.201,,0.0,1.9,2.0,0.1
Jaxson Hayes,C,20,NOP,39,568,17.4,.705,.021,.430,9.6,18.5,14.1,5.7,1.1,3.4,13.3,14.6,,1.4,0.4,1.8,.153,,-0.6,-0.1,-0.8,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killian Hayes,PG,19,DET,9,193,1.4,.342,.424,.034,1.1,8.3,4.6,25.7,1.5,0.9,26.0,18.3,,-0.7,0.1,-0.5,-0.134,,-8.4,-2.7,-11.1,-0.4
Gordon Hayward,SF,30,CHO,44,1496,17.6,.584,.312,.281,2.7,16.1,9.3,19.3,1.7,0.9,11.0,23.8,,2.3,1.4,3.7,.119,,1.9,-0.5,1.4,1.3
Juan Hernangómez,PF,25,MIN,33,544,12.5,.547,.532,.335,5.9,22.6,13.9,5.3,1.1,0.3,7.0,16.5,,0.4,0.3,0.8,.068,,-1.2,-1.9,-3.1,-0.2
Willy Hernangómez,C,26,NOP,29,466,18.8,.556,.055,.329,15.8,27.8,21.8,9.0,0.9,2.9,8.7,16.7,,1.0,0.4,1.4,.139,,0.8,-2.0,-1.2,0.1
Tyler Herro,SG,21,MIA,40,1268,12.6,.531,.424,.188,1.8,15.6,9.0,17.7,1.0,1.3,12.4,23.8,,-0.4,1.4,1.0,.039,,-1.0,-1.2,-2.2,0.0
Buddy Hield,SG,28,SAC,51,1764,11.9,.555,.733,.102,1.3,13.4,7.3,12.6,1.1,0.8,10.5,20.6,,0.9,0.2,1.0,.028,,0.3,-2.0,-1.7,0.1
