Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Robert Williams,C,23,BOS,39,2,689,132,184,.717,0,1,.000,132,183,.721,.717,37,57,.649,97,162,259,57,35,71,38,74,301
Zion Williamson,PF,20,NOP,43,43,1412,433,690,.628,8,23,.348,425,667,.637,.633,258,364,.709,111,192,303,152,37,30,111,100,1132
D.J. Wilson,PF,24,TOT,18,0,184,28,71,.394,15,40,.375,13,31,.419,.500,6,8,.750,7,40,47,7,2,8,9,25,77
D.J. Wilson,PF,24,MIL,12,0,105,16,43,.372,10,28,.357,6,15,.400,.488,1,2,.500,3,22,25,3,1,4,4,13,43
D.J. Wilson,F,24,HOU,6,0,79,12,28,.429,5,12,.417,7,16,.438,.518,5,6,.833,4,18,22,4,1,4,5,12,34
Dylan Windler,SF,24,CLE,31,0,513,57,130,.438,26,77,.338,31,53,.585,.538,21,27,.778,20,87,107,33,19,12,32,37,161
Justise Winslow,SF,24,MEM,16,0,337,50,146,.342,5,41,.122,45,105,.429,.360,9,16,.563,13,64,77,28,12,7,25,32,114
Cassius Winston,PG,22,WAS,10,0,57,6,15,.400,5,10,.500,1,5,.200,.567,2,2,1.000,0,7,7,10,0,1,1,5,19
James Wiseman,C,19,GSW,32,20,686,158,306,.516,11,33,.333,147,273,.538,.534,51,81,.630,44,146,190,20,10,30,50,105,378
Christian Wood,C,25,HOU,23,23,714,195,354,.551,39,103,.379,156,251,.622,.606,65,97,.670,39,186,225,30,19,32,41,46,494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Woodard,SF,21,SAC,8,0,22,6,13,.462,1,4,.250,5,9,.556,.500,3,8,.375,3,5,8,0,0,0,1,1,16
Delon Wright,SG,28,TOT,37,31,1075,137,297,.461,31,90,.344,106,207,.512,.513,73,93,.785,37,130,167,183,58,19,49,45,378
Delon Wright,SG,28,DET,36,31,1052,136,293,.464,31,89,.348,105,204,.515,.517,71,90,.789,37,127,164,181,58,19,48,45,374
Delon Wright,G,28,SAC,1,0,23,1,4,.250,0,1,.000,1,3,.333,.250,2,3,.667,0,3,3,2,0,0,1,0,4
Thaddeus Young,PF,32,CHI,40,7,996,224,380,.589,6,24,.250,218,356,.612,.597,29,54,.537,98,159,257,177,53,24,82,101,483
Trae Young,PG,22,ATL,43,43,1481,330,764,.432,104,290,.359,226,474,.477,.500,340,389,.874,31,142,173,408,34,10,181,81,1104
Cody Zeller,C,28,CHO,25,20,546,91,180,.506,3,20,.150,88,160,.550,.514,40,58,.690,65,113,178,55,17,11,24,60,225
Ivica Zubac,C,23,LAC,47,8,985,155,241,.643,0,3,.000,155,238,.651,.643,95,115,.826,123,215,338,53,20,44,50,116,405
