Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeAndre' Bembry,SF,26,TOR,32,7,548,63,118,.534,9,28,.321,54,90,.600,.572,17,25,.680,17,60,77,62,21,10,33,50,152
Dāvis Bertāns,PF,28,WAS,35,3,864,112,288,.389,97,254,.382,15,34,.441,.557,58,68,.853,15,86,101,30,21,8,21,86,379
Patrick Beverley,PG,32,LAC,29,29,689,80,181,.442,50,119,.420,30,62,.484,.580,31,39,.795,27,80,107,60,25,23,27,91,241
Saddiq Bey,SF,21,DET,43,26,1063,148,365,.405,97,251,.386,51,114,.447,.538,67,77,.870,24,155,179,54,27,5,32,71,460
Tyler Bey,SF,22,DAL,8,0,26,3,9,.333,0,1,.000,3,8,.375,.333,2,4,.500,4,6,10,1,0,1,0,3,8
Khem Birch,C,28,ORL,44,2,885,89,191,.466,4,19,.211,85,172,.494,.476,63,85,.741,114,120,234,47,29,28,21,62,245
Goga Bitadze,C,21,IND,25,0,240,40,84,.476,5,28,.179,35,56,.625,.506,17,24,.708,25,37,62,7,5,27,9,38,102
Bismack Biyombo,C,28,CHO,42,23,917,97,168,.577,0,1,.000,97,167,.581,.577,35,72,.486,89,137,226,56,12,49,42,101,229
Nemanja Bjelica,PF,32,SAC,26,1,439,69,150,.460,17,58,.293,52,92,.565,.517,32,42,.762,24,76,100,49,8,2,28,48,187
Eric Bledsoe,SG,31,NOP,44,43,1296,181,433,.418,76,210,.362,105,223,.471,.506,64,97,.660,18,130,148,168,32,13,67,72,502
Keljin Blevins,SF,25,POR,9,0,47,2,11,.182,0,4,.000,2,7,.286,.182,0,0,,0,2,2,4,2,0,3,4,4
Bogdan Bogdanović,SG,28,ATL,20,3,466,75,182,.412,40,118,.339,35,64,.547,.522,14,15,.933,8,57,65,47,11,4,20,41,204
Bojan Bogdanović,SF,31,UTA,45,45,1359,217,524,.414,109,284,.384,108,240,.450,.518,121,139,.871,23,150,173,83,22,2,66,74,664
Bol Bol,PF,21,DEN,19,2,102,16,33,.485,7,16,.438,9,17,.529,.591,4,7,.571,0,15,15,6,2,6,9,10,43
Marques Bolden,C,22,CLE,6,0,29,1,3,.333,0,0,,1,3,.333,.333,5,8,.625,3,3,6,0,2,2,2,0,7
Jordan Bone,PG,23,ORL,14,0,196,23,54,.426,10,32,.313,13,22,.591,.519,0,0,,4,20,24,18,2,0,3,11,56
Isaac Bonga,SF,21,WAS,29,7,345,23,59,.390,11,35,.314,12,24,.500,.483,3,6,.500,17,40,57,17,7,7,15,50,60
Devin Booker,SG,24,PHO,40,40,1350,370,749,.494,80,228,.351,290,521,.557,.547,175,208,.841,13,151,164,184,35,10,133,113,995
Chris Boucher,C,28,TOR,45,3,1053,215,407,.528,68,165,.412,147,242,.607,.612,109,143,.762,82,202,284,43,23,87,31,121,607
Brian Bowen,SF,22,IND,3,0,8,1,2,.500,0,0,,1,2,.500,.500,1,1,1.000,0,1,1,0,0,0,0,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,SG,30,MIA,10,1,211,31,66,.470,16,38,.421,15,28,.536,.591,7,9,.778,2,16,18,14,7,1,9,26,85
Tony Bradley,C,23,PHI,20,8,287,51,75,.680,0,1,.000,51,74,.689,.680,7,11,.636,39,65,104,17,6,13,6,28,109
Jarrell Brantley,PF,24,UTA,14,0,37,7,14,.500,4,9,.444,3,5,.600,.643,0,0,,2,5,7,2,3,1,1,6,18
Ignas Brazdeikis,SF,22,NYK,4,0,7,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,1,2,1,0,0,1,0,2
Mikal Bridges,SF,24,PHO,44,44,1430,217,412,.527,80,193,.415,137,219,.626,.624,76,91,.835,52,161,213,104,35,39,38,68,590
Miles Bridges,PF,22,CHO,44,2,1158,158,319,.495,54,143,.378,104,176,.591,.580,49,54,.907,53,194,247,88,28,30,67,98,419
Malcolm Brogdon,PG,28,IND,42,42,1485,343,742,.462,112,275,.407,231,467,.495,.538,102,118,.864,34,164,198,248,45,10,93,81,900
Dillon Brooks,SF,25,MEM,40,40,1163,242,606,.399,73,227,.322,169,379,.446,.460,87,102,.853,35,82,117,97,51,16,77,137,644
Bruce Brown,PG,24,BRK,42,26,883,144,265,.543,10,40,.250,134,225,.596,.562,49,68,.721,65,123,188,60,30,12,33,88,347
Jaylen Brown,SG,24,BOS,43,43,1462,398,822,.484,112,286,.392,286,536,.534,.552,147,193,.762,46,195,241,161,51,22,120,124,1055
Moses Brown,C,21,OKC,16,5,280,52,84,.619,0,0,,52,84,.619,.619,29,49,.592,44,82,126,4,8,18,12,30,133
Sterling Brown,SG,25,HOU,43,11,1043,121,279,.434,73,182,.401,48,97,.495,.565,20,22,.909,35,165,200,65,35,12,35,86,335
Troy Brown Jr.,SF,21,TOT,22,0,301,36,93,.387,15,47,.319,21,46,.457,.468,11,16,.688,11,51,62,22,3,4,16,31,98
Troy Brown Jr.,SF,21,WAS,21,0,287,33,89,.371,14,46,.304,19,43,.442,.449,10,15,.667,11,50,61,19,3,4,16,29,90
Troy Brown Jr.,G-F,21,CHI,1,0,14,3,4,.750,1,1,1.000,2,3,.667,.875,1,1,1.000,0,1,1,3,0,0,0,2,8
Jalen Brunson,PG,24,DAL,40,10,1005,187,352,.531,48,122,.393,139,230,.604,.599,81,102,.794,13,128,141,130,20,0,55,65,503
Thomas Bryant,C,23,WAS,10,10,271,59,91,.648,9,21,.429,50,70,.714,.698,16,24,.667,18,43,61,15,4,8,11,31,143
Reggie Bullock,SF,29,NYK,39,38,1083,129,309,.417,80,203,.394,49,106,.462,.547,24,28,.857,11,121,132,53,29,8,29,89,362
Trey Burke,PG,28,DAL,43,0,651,109,244,.447,46,121,.380,63,123,.512,.541,33,38,.868,5,36,41,63,23,3,23,47,297
Alec Burks,SG,29,NYK,34,5,898,152,360,.422,69,170,.406,83,190,.437,.518,77,90,.856,18,137,155,75,27,10,36,71,450
Jimmy Butler,SF,31,MIA,31,31,1040,219,457,.479,13,60,.217,206,397,.519,.493,209,246,.850,66,176,242,227,61,11,71,44,660
Bruno Caboclo,PF,25,HOU,6,0,36,8,17,.471,0,5,.000,8,12,.667,.471,1,2,.500,3,11,14,1,0,2,4,6,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontae Cacok,PF,24,LAL,9,1,45,9,14,.643,0,0,,9,14,.643,.643,0,2,.000,4,9,13,1,4,1,2,4,18
Kentavious Caldwell-Pope,SG,27,LAL,42,42,1099,121,286,.423,63,157,.401,58,129,.450,.533,53,61,.869,17,84,101,61,33,11,43,64,358
Facundo Campazzo,PG,29,DEN,39,1,687,59,160,.369,38,110,.345,21,50,.420,.488,33,41,.805,8,45,53,106,39,8,33,77,189
Vlatko Čančar,PF,23,DEN,24,0,143,13,32,.406,4,17,.235,9,15,.600,.469,5,6,.833,5,23,28,8,8,2,9,12,35
Clint Capela,C,26,ATL,39,39,1142,251,426,.589,0,0,,251,426,.589,.589,71,129,.550,196,360,556,35,29,86,52,91,573
Vernon Carey Jr.,C,19,CHO,7,0,25,2,4,.500,0,1,.000,2,3,.667,.500,1,2,.500,2,7,9,1,0,1,1,0,5
Jevon Carter,PG,25,PHO,34,0,322,36,95,.379,21,64,.328,15,31,.484,.489,2,2,1.000,3,36,39,38,13,7,6,33,95
Wendell Carter Jr.,C,21,CHI,32,25,792,129,252,.512,8,22,.364,121,230,.526,.528,82,111,.739,70,180,250,69,18,24,49,96,348
Michael Carter-Williams,SG,29,ORL,24,18,640,84,213,.394,11,46,.239,73,167,.437,.420,38,56,.679,33,77,110,103,13,12,57,72,217
Alex Caruso,PG,26,LAL,36,0,716,71,174,.408,31,80,.388,40,94,.426,.497,30,45,.667,22,86,108,85,40,7,40,64,203
Willie Cauley-Stein,C,27,DAL,35,11,599,79,127,.622,1,8,.125,78,119,.655,.626,33,50,.660,40,110,150,26,11,28,16,80,192
Chris Chiozza,PG,25,BRK,16,0,165,21,63,.333,11,32,.344,10,31,.323,.421,10,13,.769,3,13,16,47,6,4,11,11,63
Marquese Chriss,PF,23,GSW,2,0,27,5,14,.357,1,5,.200,4,9,.444,.393,2,4,.500,3,10,13,2,0,2,2,3,13
Gary Clark,SF,26,ORL,35,11,637,40,131,.305,31,108,.287,9,23,.391,.424,8,10,.800,33,79,112,30,12,7,17,34,119
Brandon Clarke,PF,24,MEM,38,16,984,187,356,.525,18,56,.321,169,300,.563,.551,54,80,.675,59,155,214,63,41,32,21,57,446
Jordan Clarkson,SG,28,UTA,45,0,1158,285,670,.425,138,388,.356,147,282,.521,.528,73,77,.948,37,141,178,99,39,7,79,64,781
Nicolas Claxton,C,21,BRK,14,0,269,53,86,.616,1,4,.250,52,82,.634,.622,18,33,.545,17,45,62,11,10,20,8,26,125
Amir Coffey,SG,23,LAC,29,0,227,31,64,.484,17,39,.436,14,25,.560,.617,9,17,.529,6,15,21,14,7,0,11,12,88
John Collins,PF,23,ATL,45,45,1381,326,596,.547,59,153,.386,267,443,.603,.596,124,148,.838,98,258,356,60,24,49,56,147,835
Mike Conley,PG,33,UTA,36,36,1064,201,449,.448,98,235,.417,103,214,.481,.557,79,95,.832,29,97,126,197,49,5,71,68,579
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,SG,28,MIL,42,1,952,104,230,.452,64,156,.410,40,74,.541,.591,20,26,.769,44,152,196,59,30,17,20,67,292
Quinn Cook,PG,27,TOT,23,0,157,29,68,.426,11,26,.423,18,42,.429,.507,7,8,.875,2,15,17,18,4,1,7,10,76
Quinn Cook,PG,27,LAL,16,0,62,12,26,.462,5,13,.385,7,13,.538,.558,4,5,.800,0,5,5,5,1,1,3,2,33
Quinn Cook,PG,27,CLE,7,0,95,17,42,.405,6,13,.462,11,29,.379,.476,3,3,1.000,2,10,12,13,3,0,4,8,43
Tyler Cook,PF,23,TOT,9,0,71,7,14,.500,0,0,,7,14,.500,.500,1,2,.500,6,11,17,2,1,0,4,6,15
Tyler Cook,PF,23,BRK,4,0,17,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,1,2,2,0,0,1,2,2
Tyler Cook,F,23,DET,5,0,54,6,11,.545,0,0,,6,11,.545,.545,1,2,.500,5,10,15,0,1,0,3,4,13
DeMarcus Cousins,C,30,HOU,25,11,506,79,210,.376,39,116,.336,40,94,.426,.469,44,59,.746,30,161,191,60,21,18,39,74,241
Robert Covington,PF,30,POR,43,43,1389,130,320,.406,87,228,.382,43,92,.467,.542,30,37,.811,32,256,288,75,69,53,49,116,377
Torrey Craig,SF,30,TOT,22,0,260,28,66,.424,12,31,.387,16,35,.457,.515,3,4,.750,18,39,57,22,10,8,6,33,71
Torrey Craig,SF,30,MIL,18,0,201,18,46,.391,8,22,.364,10,24,.417,.478,1,2,.500,13,30,43,16,9,7,5,24,45
Torrey Craig,G-F,30,PHO,4,0,59,10,20,.500,4,9,.444,6,11,.545,.600,2,2,1.000,5,9,14,6,1,1,1,9,26
Jae Crowder,PF,30,PHO,41,26,1137,142,349,.407,100,260,.385,42,89,.472,.550,35,43,.814,18,185,203,84,34,13,34,74,419
Jarrett Culver,SG,21,MIN,23,7,406,57,137,.416,8,38,.211,49,99,.495,.445,23,39,.590,30,62,92,17,13,7,24,45,145
Seth Curry,SG,30,PHI,35,35,1030,162,349,.464,71,165,.430,91,184,.495,.566,58,63,.921,6,70,76,100,31,8,50,60,453
Stephen Curry,PG,32,GSW,39,39,1316,375,789,.475,182,446,.408,193,343,.563,.591,198,213,.930,18,190,208,243,53,3,120,72,1130
Nate Darling,SG,22,CHO,2,0,7,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,0,0,1,0,0,0,0,3
Anthony Davis,PF,27,LAL,23,23,755,204,383,.533,17,58,.293,187,325,.575,.555,93,130,.715,47,146,193,70,31,41,45,42,518
Ed Davis,C,31,MIN,19,7,264,18,43,.419,0,0,,18,43,.419,.419,7,8,.875,38,59,97,19,10,10,6,49,43
Terence Davis,SG,23,TOT,35,4,511,89,216,.412,45,127,.354,44,89,.494,.516,17,20,.850,9,59,68,39,18,7,30,50,240
Terence Davis,SG,23,TOR,34,4,493,87,210,.414,44,122,.361,43,88,.489,.519,16,18,.889,9,57,66,37,17,7,29,48,234
Terence Davis,G,23,SAC,1,0,18,2,6,.333,1,5,.200,1,1,1.000,.417,1,2,.500,0,2,2,2,1,0,1,2,6
DeMar DeRozan,PF,31,SAS,36,36,1219,254,517,.491,18,59,.305,236,458,.515,.509,212,241,.880,22,137,159,257,38,10,63,68,738
Mamadi Diakite,PF,24,MIL,4,0,40,6,14,.429,0,3,.000,6,11,.545,.429,0,0,,4,9,13,4,0,4,0,5,12
Hamidou Diallo,SG,22,TOT,33,5,780,145,301,.482,12,41,.293,133,260,.512,.502,85,134,.634,37,130,167,77,31,12,49,86,387
Hamidou Diallo,SG,22,OKC,32,5,761,143,297,.481,12,41,.293,131,256,.512,.502,83,132,.629,37,128,165,77,31,12,49,83,381
Hamidou Diallo,G,22,DET,1,0,19,2,4,.500,0,0,,2,4,.500,.500,2,2,1.000,0,2,2,0,0,0,0,3,6
Gorgui Dieng,C,31,MEM,22,1,371,56,108,.519,23,48,.479,33,60,.550,.625,38,43,.884,28,70,98,29,17,14,22,38,173
Spencer Dinwiddie,SG,27,BRK,3,3,64,6,16,.375,2,7,.286,4,9,.444,.438,6,6,1.000,0,13,13,9,2,1,5,4,20
Donte DiVincenzo,SG,24,MIL,44,44,1199,177,418,.423,87,226,.385,90,192,.469,.528,31,46,.674,55,183,238,133,49,9,60,67,472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Dončić,PG,21,DAL,39,39,1373,394,817,.482,114,311,.367,280,506,.553,.552,214,286,.748,31,291,322,353,39,25,166,82,1116
Luguentz Dort,SG,21,OKC,41,41,1203,177,459,.386,80,245,.327,97,214,.453,.473,81,106,.764,27,114,141,64,35,15,58,99,515
Damyean Dotson,SG,26,CLE,34,6,643,85,215,.395,31,112,.277,54,103,.524,.467,22,32,.688,4,62,66,74,14,4,27,31,223
Devon Dotson,PG,21,CHI,2,0,11,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,1,2,0,1,0,0,1,4
Sekou Doumbouya,PF,20,DET,40,2,503,53,156,.340,17,70,.243,36,86,.419,.394,22,30,.733,18,65,83,23,15,2,26,55,145
PJ Dozier,SG,24,DEN,30,0,610,83,189,.439,29,78,.372,54,111,.486,.516,29,46,.630,23,91,114,47,15,15,25,53,224
Goran Dragić,PG,34,MIA,28,8,757,139,315,.441,45,129,.349,94,186,.505,.513,65,77,.844,9,83,92,136,17,6,75,65,388
Andre Drummond,C,27,CLE,25,25,722,180,380,.474,0,8,.000,180,372,.484,.474,77,129,.597,101,236,337,64,40,29,81,69,437
Jared Dudley,PF,35,LAL,11,0,76,2,7,.286,2,5,.400,0,2,.000,.429,0,0,,4,15,19,5,1,1,2,7,6
Kevin Durant,PF,32,BRK,19,18,679,188,359,.524,49,113,.434,139,246,.565,.592,126,145,.869,7,132,139,100,14,27,67,43,551
Anthony Edwards,SG,19,MIN,46,29,1401,289,750,.385,99,314,.315,190,436,.436,.451,107,138,.775,35,163,198,117,44,16,89,76,784
Carsen Edwards,SG,22,BOS,18,1,181,37,77,.481,13,39,.333,24,38,.632,.565,7,9,.778,2,17,19,9,5,1,3,20,94
CJ Elleby,SF,20,POR,14,0,117,14,34,.412,5,21,.238,9,13,.692,.485,6,9,.667,5,10,15,3,4,3,3,18,39
Henry Ellenson,PF,24,TOR,2,0,38,5,14,.357,2,9,.222,3,5,.600,.429,3,4,.750,3,9,12,5,0,0,0,7,15
Wayne Ellington,SG,33,DET,33,27,768,121,265,.457,91,212,.429,30,53,.566,.628,24,31,.774,8,52,60,47,15,7,23,51,357
Joel Embiid,C,26,PHI,31,31,1010,293,558,.525,38,90,.422,255,468,.545,.559,304,354,.859,67,288,355,101,37,43,99,77,928
James Ennis,SF,30,ORL,28,24,618,73,146,.500,30,66,.455,43,80,.538,.603,42,53,.792,30,81,111,40,22,6,26,57,218
Drew Eubanks,C,23,SAS,26,0,336,44,91,.484,1,1,1.000,43,90,.478,.489,28,40,.700,17,69,86,23,5,27,20,33,117
Dante Exum,SG,25,CLE,6,3,116,10,26,.385,2,11,.182,8,15,.533,.423,1,2,.500,2,15,17,13,4,2,7,9,23
Tacko Fall,C,25,BOS,12,0,82,16,22,.727,0,0,,16,22,.727,.727,3,11,.273,9,21,30,2,0,10,2,13,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Favors,C,29,UTA,43,0,684,103,161,.640,0,1,.000,103,160,.644,.640,48,65,.738,92,145,237,36,23,44,26,99,254
Cristiano Felício,C,28,CHI,8,0,42,3,4,.750,0,0,,3,4,.750,.750,6,10,.600,6,6,12,5,2,0,3,3,12
Terrance Ferguson,SG,22,PHI,13,0,49,1,7,.143,0,5,.000,1,2,.500,.143,0,0,,0,1,1,2,1,0,4,7,2
Bruno Fernando,C,22,ATL,22,0,164,11,27,.407,0,2,.000,11,25,.440,.407,9,15,.600,13,50,63,9,2,3,15,18,31
Yogi Ferrell,PG,27,CLE,2,0,40,8,21,.381,3,9,.333,5,12,.417,.452,0,2,.000,3,4,7,5,3,1,3,4,19
Dorian Finney-Smith,PF,27,DAL,33,33,1035,101,234,.432,52,151,.344,49,83,.590,.543,21,23,.913,51,121,172,51,29,12,22,86,275
Malachi Flynn,PG,22,TOR,20,0,189,17,63,.270,7,36,.194,10,27,.370,.325,4,6,.667,1,15,16,24,5,0,6,15,45
Bryn Forbes,SG,27,MIL,44,6,840,148,324,.457,93,208,.447,55,116,.474,.600,26,34,.765,7,49,56,28,9,0,24,45,415
Trent Forrest,PG,22,UTA,11,0,40,3,8,.375,0,2,.000,3,6,.500,.375,2,2,1.000,0,6,6,7,2,0,4,2,8
Evan Fournier,SF,28,ORL,26,26,787,170,369,.461,73,188,.388,97,181,.536,.560,98,123,.797,5,70,75,95,27,9,54,55,511
De'Aaron Fox,PG,23,SAC,45,45,1567,407,838,.486,83,250,.332,324,588,.551,.535,220,313,.703,26,126,152,328,61,20,141,135,1117
Tim Frazier,PG,30,MEM,3,0,33,2,8,.250,0,2,.000,2,6,.333,.250,0,0,,0,4,4,7,1,0,3,4,4
Markelle Fultz,PG,22,ORL,8,8,215,41,104,.394,4,16,.250,37,88,.420,.413,17,19,.895,5,20,25,43,8,2,18,18,103
Wenyen Gabriel,PF,23,NOP,6,0,20,0,4,.000,0,1,.000,0,3,.000,.000,1,2,.500,2,5,7,2,0,0,3,1,1
Daniel Gafford,PF,22,TOT,32,11,397,66,94,.702,0,0,,66,94,.702,.702,28,42,.667,45,63,108,17,12,37,24,55,160
Daniel Gafford,PF,22,CHI,31,11,383,60,87,.690,0,0,,60,87,.690,.690,27,41,.659,44,59,103,17,11,34,22,54,147
Daniel Gafford,F,22,WAS,1,0,14,6,7,.857,0,0,,6,7,.857,.857,1,1,1.000,1,4,5,0,1,3,2,1,13
Danilo Gallinari,PF,32,ATL,33,4,771,127,302,.421,69,171,.404,58,131,.443,.535,97,104,.933,8,116,124,48,19,6,34,63,420
Langston Galloway,SG,29,PHO,32,0,361,57,119,.479,32,70,.457,25,49,.510,.613,17,17,1.000,5,28,33,23,6,0,11,21,163
Darius Garland,PG,21,CLE,37,34,1226,236,539,.438,65,164,.396,171,375,.456,.498,76,91,.835,17,66,83,212,42,3,111,86,613
Marc Gasol,C,36,LAL,37,37,733,57,139,.410,32,88,.364,25,51,.490,.525,31,40,.775,25,122,147,72,18,46,34,86,177
Rudy Gay,PF,34,SAS,36,0,778,143,350,.409,58,150,.387,85,200,.425,.491,46,59,.780,29,150,179,54,26,21,39,65,390
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul George,SF,30,LAC,36,36,1205,287,607,.473,115,270,.426,172,337,.510,.568,120,136,.882,31,194,225,197,41,17,114,83,809
Taj Gibson,PF,35,NYK,19,1,366,34,62,.548,3,13,.231,31,49,.633,.573,16,26,.615,35,58,93,13,10,14,12,38,87
Harry Giles,C,22,POR,23,0,272,26,64,.406,3,9,.333,23,55,.418,.430,13,18,.722,27,85,112,21,5,10,17,45,68
Shai Gilgeous-Alexander,SG,22,OKC,35,35,1180,287,565,.508,71,170,.418,216,395,.547,.571,185,229,.808,19,147,166,207,27,23,106,70,830
Anthony Gill,PF,28,WAS,13,1,72,4,12,.333,1,8,.125,3,4,.750,.375,3,4,.750,3,16,19,4,3,2,3,3,12
Rudy Gobert,C,28,UTA,45,45,1386,251,386,.650,0,3,.000,251,383,.655,.650,157,258,.609,155,443,598,56,21,132,73,108,659
Brandon Goodwin,PG,25,ATL,28,0,300,37,112,.330,15,55,.273,22,57,.386,.397,17,24,.708,4,24,28,43,10,0,16,23,106
Aaron Gordon,PF,25,ORL,25,25,736,128,293,.437,42,112,.375,86,181,.475,.509,66,105,.629,39,127,166,105,16,20,67,49,364
Eric Gordon,SG,32,HOU,27,13,789,159,367,.433,69,210,.329,90,157,.573,.527,94,114,.825,8,50,58,71,14,13,51,44,481
Devonte' Graham,PG,25,CHO,34,28,1020,144,386,.373,100,265,.377,44,121,.364,.503,68,85,.800,15,74,89,177,30,2,50,47,456
Jerami Grant,SF,26,DET,42,42,1478,316,741,.426,96,272,.353,220,469,.469,.491,237,273,.868,30,177,207,118,30,46,84,103,965
Danny Green,SF,33,PHI,46,46,1320,156,376,.415,119,293,.406,37,83,.446,.573,17,24,.708,37,128,165,75,61,39,53,87,448
Draymond Green,PF,30,GSW,39,39,1168,87,219,.397,18,74,.243,69,145,.476,.438,41,53,.774,32,219,251,328,55,30,109,125,233
JaMychal Green,PF,30,DEN,33,4,636,101,226,.447,48,122,.393,53,104,.510,.553,29,34,.853,51,125,176,27,18,11,32,92,279
Javonte Green,SG,27,TOT,26,2,355,39,73,.534,7,23,.304,32,50,.640,.582,20,30,.667,20,36,56,11,19,4,15,34,105
Javonte Green,SG,27,BOS,25,2,345,39,71,.549,7,22,.318,32,49,.653,.599,20,30,.667,20,32,52,11,18,2,13,32,105
Javonte Green,F,27,CHI,1,0,10,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,4,4,0,1,2,2,2,0
Jeff Green,C,34,BRK,42,22,1129,142,289,.491,56,137,.409,86,152,.566,.588,63,83,.759,23,135,158,58,23,13,32,76,403
Josh Green,SG,20,DAL,22,5,237,22,48,.458,2,13,.154,20,35,.571,.479,7,13,.538,13,28,41,11,4,1,13,17,53
Blake Griffin,PF,31,TOT,23,20,681,90,236,.381,42,128,.328,48,108,.444,.470,50,70,.714,9,105,114,79,17,3,34,50,272
Blake Griffin,PF,31,DET,20,20,626,81,222,.365,39,124,.315,42,98,.429,.453,44,62,.710,7,97,104,77,14,2,32,42,245
Blake Griffin,F,31,BRK,3,0,55,9,14,.643,3,4,.750,6,10,.600,.750,6,8,.750,2,8,10,2,3,1,2,8,27
Kyle Guy,PG,23,SAC,18,0,142,20,54,.370,10,31,.323,10,23,.435,.463,8,10,.800,3,18,21,19,4,0,3,14,58
Rui Hachimura,PF,22,WAS,37,37,1162,189,394,.480,34,101,.337,155,293,.529,.523,91,119,.765,32,187,219,56,29,3,43,81,503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Hagans,PG,21,MIN,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Tyrese Haliburton,PG,20,SAC,40,9,1205,201,412,.488,90,209,.431,111,203,.547,.597,33,38,.868,33,100,133,196,51,23,62,55,525
Josh Hall,SF,20,OKC,8,0,72,5,23,.217,1,11,.091,4,12,.333,.239,5,13,.385,1,13,14,8,0,0,5,9,16
R.J. Hampton,PG,19,DEN,25,0,233,25,60,.417,5,18,.278,20,42,.476,.458,9,12,.750,10,40,50,14,5,2,11,22,64
Tim Hardaway Jr.,SG,28,DAL,43,19,1267,256,569,.450,130,329,.395,126,240,.525,.564,80,102,.784,14,134,148,76,22,6,39,67,722
James Harden,PG-SG,31,TOT,39,39,1487,318,686,.464,113,315,.359,205,371,.553,.546,256,296,.865,34,282,316,435,49,28,164,93,1005
James Harden,SG,31,HOU,8,8,290,60,135,.444,25,72,.347,35,63,.556,.537,53,60,.883,5,36,41,83,7,6,34,14,198
James Harden,PG,31,BRK,31,31,1197,258,551,.468,88,243,.362,170,308,.552,.548,203,236,.860,29,246,275,352,42,22,130,79,807
Maurice Harkless,SF,27,TOT,12,3,136,5,14,.357,5,12,.417,0,2,.000,.536,0,2,.000,3,11,14,9,2,4,5,16,15
Maurice Harkless,SF,27,MIA,11,3,124,5,13,.385,5,11,.455,0,2,.000,.577,0,2,.000,2,11,13,7,2,4,3,14,15
Maurice Harkless,F-G,27,SAC,1,0,12,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,0,1,2,0,0,2,2,0
Jared Harper,PG,23,NYK,3,0,7,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,0,0,0,0,0,2,0,2
Montrezl Harrell,C,27,LAL,46,1,1162,284,445,.638,0,9,.000,284,436,.651,.638,127,181,.702,116,193,309,51,32,35,53,96,695
Gary Harris,SG,26,DEN,19,19,581,69,156,.442,24,75,.320,45,81,.556,.519,22,30,.733,13,34,47,32,17,4,14,37,184
Jalen Harris,SG,22,TOR,4,0,14,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,1,2,3,2,1,0,1,2,3
Joe Harris,SF,29,BRK,46,42,1413,238,465,.512,150,308,.487,88,157,.561,.673,29,41,.707,24,132,156,80,27,10,37,100,655
Tobias Harris,PF,28,PHI,41,41,1401,332,641,.518,63,154,.409,269,487,.552,.567,130,145,.897,45,267,312,151,37,33,79,81,857
Shaquille Harrison,SG,27,UTA,17,0,56,6,20,.300,0,2,.000,6,18,.333,.300,5,6,.833,3,6,9,9,2,0,5,3,17
Josh Hart,SF,25,NOP,45,3,1271,142,325,.437,59,182,.324,83,143,.580,.528,62,81,.765,50,295,345,101,38,11,41,102,405
Isaiah Hartenstein,C,22,DEN,30,0,272,41,80,.513,0,0,,41,80,.513,.513,22,36,.611,40,45,85,15,11,20,21,59,104
Jaxson Hayes,C,20,NOP,33,1,436,70,97,.722,0,0,,70,97,.722,.722,39,51,.765,36,77,113,16,11,16,20,59,179
Killian Hayes,PG,19,DET,7,7,148,13,47,.277,5,20,.250,8,27,.296,.330,1,2,.500,1,7,8,25,2,0,17,15,32
Gordon Hayward,SF,30,CHO,40,40,1368,289,605,.478,79,190,.416,210,415,.506,.543,139,163,.853,32,197,229,165,50,14,85,70,796
Juan Hernangómez,PF,25,MIN,27,6,478,68,152,.447,28,83,.337,40,69,.580,.539,29,44,.659,25,95,120,16,11,2,13,27,193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Hernangómez,C,26,NOP,25,2,396,65,125,.520,1,7,.143,64,118,.542,.524,25,42,.595,61,93,154,29,8,11,11,28,156
Tyler Herro,SG,21,MIA,35,14,1116,201,484,.415,64,200,.320,137,284,.482,.481,74,89,.831,19,168,187,124,23,13,78,48,540
Buddy Hield,SG,28,SAC,46,46,1606,260,656,.396,183,479,.382,77,177,.435,.536,62,73,.849,19,192,211,150,35,16,81,118,765
George Hill,PG,34,OKC,14,14,369,61,120,.508,22,57,.386,39,63,.619,.600,21,25,.840,8,21,29,43,12,2,12,12,165
Solomon Hill,PF,29,ATL,44,1,834,63,173,.364,43,130,.331,20,43,.465,.488,18,21,.857,23,75,98,38,31,7,27,71,187
Nate Hinton,SG,21,DAL,9,0,33,5,17,.294,1,6,.167,4,11,.364,.324,4,6,.667,0,3,3,4,2,1,4,1,15
