Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Allen Iverson,SG,25,0.32,0.441,0.447,0.814,50,223,325,178,20,237,147,2207,24.0,0.518,5.2,23.0,3.2,0.5,10.0,35.9,11.8,6.1,6.1,0.904,MVP,2001,Correct
Vince Carter,SF,24,0.408,0.477,0.509,0.765,176,240,291,114,82,167,205,2070,25.0,0.551,7.9,19.2,2.0,1.9,8.2,30.7,12.9,7.6,7.2,0.006,Candidate,2001,Predicted
