Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Hakeem Olajuwon,C,31,0.421,0.529,0.53,0.716,229,726,287,128,297,271,289,2184,25.3,0.565,16.2,16.4,2.0,5.7,12.3,29.8,14.3,6.8,7.3,0.88,MVP,1994,Correct
David Robinson,C,28,0.345,0.51,0.51,0.749,241,614,381,139,265,253,228,2383,30.7,0.577,14.8,21.6,2.3,5.4,10.9,32.0,20.0,11.9,11.4,0.723,Candidate,1994,Predicted
