Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Giannis Antetokounmpo,PF,24,MIL,0.256,0.641,0.599,0.729,159,739,424,92,110,268,232,1994,30.9,0.644,19.3,30.3,1.8,3.9,14.8,32.3,14.4,10.4,7.4,0.932,MVP,2019,0.732,Correct
James Harden,PG,29,HOU,0.368,0.528,0.541,0.879,66,452,586,158,58,387,244,2818,30.6,0.616,10.0,39.5,2.7,1.7,14.5,40.5,15.2,11.0,9.3,0.768,Candidate,2019,0.646,Predicted
