Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Larry Bird,PF,27,BOS,0.247,0.504,0.497,0.888,181,615,520,144,69,237,197,1908,24.2,0.552,14.9,26.2,2.3,1.3,12.1,26.7,13.6,7.6,7.3,0.858,MVP,1984,0.756,Correct
Adrian Dantley,SF,28,UTA,0.25,0.559,0.558,0.859,179,269,310,61,4,263,201,2418,24.6,0.652,7.9,16.2,0.9,0.1,12.4,28.2,14.6,4.2,4.7,0.116,Candidate,1984,0.549,Predicted
