Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Karl Malone,PF,35,0.0,0.494,0.493,0.788,107,356,201,62,28,162,134,1164,25.6,0.577,15.4,23.0,1.9,1.2,13.8,30.5,9.6,6.7,4.0,0.701,MVP,1999,Correct
Tariq Abdul-Wahad,SG,24,0.286,0.443,0.442,0.691,72,114,50,50,16,70,121,454,11.8,0.486,8.1,6.5,2.1,0.8,13.0,19.0,1.4,-3.0,-0.3,0.0,OOR,1999,Predicted
