Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Magic Johnson,PG,27,LAL,0.205,0.532,0.525,0.848,122,382,977,138,36,300,168,1909,27.0,0.602,9.7,47.2,2.2,0.7,15.9,26.3,15.9,8.8,8.0,0.94,MVP,1987,0.793,Correct
Larry Bird,SF,30,BOS,0.4,0.547,0.555,0.91,124,558,566,135,70,240,185,2076,26.4,0.612,12.8,28.6,2.2,1.3,12.4,27.5,15.2,9.4,8.6,0.347,Candidate,1987,0.72,Predicted
