Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Michael Jordan,SG,24,CHI,0.132,0.546,0.537,0.841,139,310,485,259,131,252,270,2868,31.7,0.603,7.8,27.0,3.9,2.4,9.6,34.1,21.2,13.0,12.5,0.831,MVP,1988,0.61,Correct
Charles Barkley,PF,24,PHI,0.28,0.63,0.604,0.751,385,566,254,100,103,304,278,2264,27.6,0.665,17.4,14.1,1.6,1.9,15.2,26.7,16.7,7.4,7.5,0.136,Candidate,1988,0.439,Predicted
