Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Giannis Antetokounmpo,PF,25,MIL,0.304,0.631,0.589,0.633,140,716,354,61,66,230,195,1857,31.9,0.613,22.1,34.2,1.5,3.0,13.2,37.5,11.1,11.5,6.6,0.952,MVP,2020,0.767,Correct
LeBron James,PG,35,LAL,0.348,0.564,0.55,0.693,66,459,684,78,36,261,118,1698,25.5,0.577,12.4,49.1,1.6,1.4,15.1,31.5,9.8,8.4,6.1,0.746,Candidate,2020,0.732,Predicted
