Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Steve Nash,PG,30,0.431,0.526,0.557,0.887,57,192,861,74,6,245,136,1165,22.0,0.606,5.2,49.2,1.4,0.2,20.3,20.5,10.9,4.7,4.4,0.839,MVP,2005,Correct
Kevin Garnett,PF,28,0.24,0.507,0.504,0.811,247,861,466,121,112,222,207,1817,28.2,0.567,20.3,27.1,2.1,2.6,12.2,27.1,16.1,9.5,9.1,0.012,Candidate,2005,Predicted
