Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Terry Tyler,SF,24,DET,82,2549,476,895,0.532,0,8,0.0,476,887,0.537,0.532,148,250,0.592,198,369,567,136,112,180,163,215,1100,17.2,0.547,0.009,0.279,8.5,17.9,12.9,8.4,2.1,4.1,14.0,18.5,2.5,3.9,6.4,0.121,0.7,1.6,2.3,2.8,0,0.0,OOR,1981
Wes Unseld,C,34,WSB,63,2032,225,429,0.524,2,4,0.5,223,425,0.525,0.527,55,86,0.64,207,466,673,170,52,36,97,171,507,13.5,0.543,0.009,0.2,10.6,24.3,17.4,10.6,1.2,1.0,17.2,11.1,2.1,3.4,5.5,0.13,0.0,1.8,1.7,1.9,0,0.0,OOR,1981
Ronnie Valentine,SF,23,DEN,24,123,37,98,0.378,1,2,0.5,36,96,0.375,0.383,9,19,0.474,10,20,30,7,7,4,16,23,84,10.3,0.395,0.02,0.194,8.1,17.0,12.4,8.8,2.5,1.7,13.1,36.9,-0.4,0.1,-0.3,-0.128,-5.6,-1.6,-7.2,-0.2,0,0.0,OOR,1981
Jan van Breda Kolff,SF,29,NJN,78,1426,100,245,0.408,2,8,0.25,98,237,0.414,0.412,98,117,0.838,48,154,202,129,38,50,108,214,300,6.5,0.506,0.033,0.478,3.7,12.5,8.0,11.2,1.2,2.0,26.7,11.2,-0.6,1.2,0.6,0.019,-3.9,0.8,-3.1,-0.4,0,0.0,OOR,1981
Kiki Vandeweghe,SF,22,DEN,51,1376,229,537,0.426,0,7,0.0,229,530,0.432,0.426,130,159,0.818,86,184,270,94,29,24,86,116,588,11.9,0.484,0.013,0.296,6.2,14.0,10.0,8.7,0.9,0.9,12.4,18.7,0.7,0.5,1.2,0.04,-1.0,-1.7,-2.7,-0.3,0,0.0,OOR,1981
Brett Vroman,C,25,UTA,11,93,10,27,0.37,0,1,0.0,10,26,0.385,0.37,14,19,0.737,7,18,25,9,5,5,9,26,34,11.8,0.481,0.037,0.704,8.7,22.0,15.4,13.1,2.6,3.1,20.3,20.5,0.0,0.1,0.1,0.048,-4.5,0.8,-3.6,0.0,0,0.0,OOR,1981
Foots Walker,PG,29,NJN,41,1172,72,169,0.426,2,9,0.222,70,160,0.438,0.432,88,111,0.793,22,80,102,253,52,1,85,105,234,10.1,0.537,0.053,0.657,2.1,7.9,4.9,26.4,2.0,0.0,28.1,10.2,0.7,0.8,1.5,0.06,-2.1,0.0,-2.1,0.0,0,0.0,OOR,1981
Wally Walker,SF,26,SEA,82,1796,290,626,0.463,0,3,0.0,290,623,0.465,0.463,109,169,0.645,105,210,315,122,53,15,115,168,689,11.3,0.492,0.005,0.27,6.6,12.6,9.6,9.9,1.4,0.5,14.1,18.5,0.3,1.7,2.1,0.055,-1.6,-0.5,-2.1,-0.1,0,0.0,OOR,1981
Lloyd Walton,PG,27,KCK,61,821,90,218,0.413,0,1,0.0,90,217,0.415,0.413,26,33,0.788,13,35,48,208,32,2,80,45,206,9.9,0.443,0.005,0.151,1.8,4.7,3.2,32.0,1.8,0.1,25.6,15.8,-0.5,0.6,0.1,0.005,-1.7,-1.4,-3.0,-0.2,0,0.0,OOR,1981
Kermit Washington,PF,29,POR,73,2120,325,571,0.569,0,1,0.0,325,570,0.57,0.569,181,288,0.628,236,450,686,149,85,86,144,258,831,17.4,0.596,0.002,0.504,12.1,23.2,17.6,8.9,1.9,2.2,17.1,15.7,3.6,3.1,6.8,0.153,0.9,0.7,1.7,2.0,0,0.0,OOR,1981
