Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Shaquille O'Neal,C,26,LAL,49,1705,510,885,0.576,0,1,0.0,510,884,0.577,0.576,269,498,0.54,187,338,525,114,36,82,122,155,1289,30.6,0.584,0.001,0.563,13.1,22.6,18.0,14.4,1.1,3.5,10.0,32.4,7.2,1.9,9.0,0.255,7.5,-0.4,7.1,3.9,1,0.075,Candidate,1999,0.62
Charles Oakley,PF,35,TOR,50,1633,140,327,0.428,1,5,0.2,139,322,0.432,0.43,67,83,0.807,96,278,374,168,46,21,96,182,348,10.8,0.479,0.015,0.254,6.7,19.9,13.3,17.1,1.5,1.0,20.9,12.8,0.7,1.4,2.1,0.062,-2.2,0.1,-2.2,-0.1,0,0.0,OOR,1999,0.46
Hakeem Olajuwon,C,36,HOU,50,1784,373,725,0.514,4,13,0.308,369,712,0.518,0.517,195,272,0.717,106,372,478,88,82,123,139,160,945,23.1,0.559,0.018,0.375,7.4,22.8,15.7,9.5,2.5,4.8,14.1,25.9,3.2,3.3,6.5,0.175,1.4,1.8,3.2,2.3,0,0.003,Candidate,1999,0.62
Jimmy Oliver,SG,29,PHO,2,11,1,3,0.333,1,1,1.0,0,2,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0,2,3,2.7,0.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.02,-4.0,-3.9,-7.9,0.0,0,0.0,OOR,1999,0.54
Kevin Ollie,PG,26,SAC,8,72,4,14,0.286,0,0,0.0,4,14,0.286,0.286,5,7,0.714,0,7,7,3,3,1,3,9,13,3.7,0.381,0.0,0.5,0.0,10.4,5.2,5.7,2.1,0.9,14.9,12.0,-0.1,0.1,0.0,-0.015,-7.4,0.6,-6.7,-0.1,0,0.0,OOR,1999,0.54
Michael Olowokandi,C,23,LAC,45,1279,172,399,0.431,0,0,0.0,172,399,0.431,0.431,57,118,0.483,120,237,357,25,27,55,85,137,401,11.8,0.445,0.0,0.296,10.5,23.2,16.5,3.4,1.1,3.2,15.9,19.0,-0.8,0.5,-0.3,-0.01,-2.9,-2.1,-5.0,-1.0,0,0.0,OOR,1999,0.18
Greg Ostertag,C,25,UTA,48,1340,99,208,0.476,0,0,0.0,99,208,0.476,0.476,75,121,0.62,105,243,348,23,12,131,45,140,273,12.8,0.523,0.0,0.582,10.3,20.6,15.8,2.8,0.5,7.4,14.7,10.9,1.2,2.6,3.8,0.136,-1.5,2.2,0.8,0.9,0,0.0,OOR,1999,0.74
Bo Outlaw,PF,27,ORL,31,851,84,154,0.545,0,3,0.0,84,151,0.556,0.545,35,81,0.432,54,113,167,56,40,43,58,79,203,12.8,0.535,0.019,0.526,7.2,15.7,11.4,10.9,2.5,3.8,23.4,13.2,0.1,1.7,1.8,0.1,-2.0,3.2,1.1,0.7,0,0.0,OOR,1999,0.66
Doug Overton,PG,29,PHI,24,244,36,84,0.429,2,7,0.286,34,77,0.442,0.44,18,20,0.9,7,14,21,23,5,1,20,18,92,10.8,0.496,0.083,0.238,3.0,6.7,4.8,17.1,1.1,0.3,17.7,20.6,0.0,0.1,0.1,0.023,-2.1,-1.7,-3.8,-0.1,0,0.0,OOR,1999,0.56
Billy Owens,SF,29,SEA,21,451,65,165,0.394,5,11,0.455,60,154,0.39,0.409,28,35,0.8,35,45,80,38,12,4,33,37,163,11.9,0.452,0.067,0.212,8.9,11.6,10.2,14.5,1.4,0.7,15.5,21.5,0.0,0.1,0.2,0.018,-1.4,-1.9,-3.3,-0.1,0,0.0,OOR,1999,0.5
