Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status
Mike Bratz,PG,28.0,82.0,1428.0,213.0,521.0,0.409,15.0,51.0,0.294,198.0,470.0,0.421,0.423,120.0,137.0,0.876,41.0,102.0,143.0,252.0,84.0,6.0,109.0,155.0,561.0,12.9,0.483,0.098,0.263,2.9,8.4,5.5,23.9,2.7,0.2,15.8,18.8,0.6,1.3,1.9,0.063,-1.5,0.3,-1.2,0.3,,,OOR
Randy Breuer,C,23.0,57.0,472.0,68.0,177.0,0.384,0.0,0.0,0.0,68.0,177.0,0.384,0.384,32.0,46.0,0.696,48.0,61.0,109.0,17.0,11.0,38.0,35.0,98.0,168.0,9.2,0.426,0.0,0.26,12.0,14.1,13.1,5.0,1.2,4.7,15.1,20.8,-0.5,0.8,0.3,0.029,-6.1,0.5,-5.6,-0.4,,,OOR
Ron Brewer,SG,28.0,53.0,992.0,179.0,403.0,0.444,3.0,14.0,0.214,176.0,389.0,0.452,0.448,52.0,67.0,0.776,22.0,41.0,63.0,50.0,24.0,21.0,40.0,64.0,413.0,9.6,0.477,0.035,0.166,2.4,4.4,3.4,6.5,1.1,1.1,8.5,18.5,0.1,0.2,0.3,0.016,-2.4,-1.5,-3.8,-0.5,,,OOR
Junior Bridgeman,SF,30.0,81.0,2431.0,509.0,1094.0,0.465,6.0,31.0,0.194,503.0,1063.0,0.473,0.468,196.0,243.0,0.807,80.0,252.0,332.0,265.0,53.0,14.0,148.0,224.0,1220.0,14.3,0.508,0.028,0.222,3.9,11.3,7.8,16.7,1.1,0.3,11.0,23.4,2.1,3.0,5.1,0.1,-0.2,-0.6,-0.8,0.7,,,OOR
Michael Brooks,SF,25.0,47.0,1405.0,213.0,445.0,0.479,0.0,5.0,0.0,213.0,440.0,0.484,0.479,104.0,151.0,0.689,142.0,200.0,342.0,88.0,50.0,14.0,78.0,125.0,530.0,14.0,0.518,0.011,0.339,11.5,16.1,13.8,8.1,1.7,0.5,13.2,16.7,1.6,0.8,2.4,0.081,0.4,-0.7,-0.3,0.6,,,OOR
Fred Brown,SG,35.0,71.0,1129.0,258.0,506.0,0.51,9.0,34.0,0.265,249.0,472.0,0.528,0.519,77.0,86.0,0.895,14.0,48.0,62.0,194.0,49.0,2.0,70.0,84.0,602.0,17.1,0.553,0.067,0.17,1.4,4.8,3.1,26.6,2.1,0.1,11.4,22.6,1.8,0.8,2.6,0.111,1.1,-0.4,0.7,0.8,,,OOR
Rickey Brown,C,25.0,68.0,785.0,94.0,201.0,0.468,0.0,0.0,0.0,94.0,201.0,0.468,0.468,48.0,65.0,0.738,67.0,114.0,181.0,29.0,18.0,23.0,53.0,161.0,236.0,9.0,0.514,0.0,0.323,9.6,16.8,13.2,5.3,1.2,1.7,18.8,15.5,0.0,0.9,0.9,0.056,-4.4,0.0,-4.4,-0.5,,,OOR
Wallace Bryant,C,24.0,29.0,317.0,52.0,133.0,0.391,0.0,0.0,0.0,52.0,133.0,0.391,0.391,14.0,33.0,0.424,37.0,43.0,80.0,13.0,9.0,11.0,16.0,48.0,118.0,9.6,0.4,0.0,0.248,13.2,15.8,14.5,6.2,1.4,2.0,9.8,21.4,-0.4,0.4,0.0,-0.001,-4.1,-1.2,-5.4,-0.3,,,OOR
Quinn Buckner,PG,29.0,79.0,1249.0,138.0,323.0,0.427,0.0,6.0,0.0,138.0,317.0,0.435,0.427,48.0,74.0,0.649,41.0,96.0,137.0,214.0,84.0,3.0,100.0,187.0,324.0,9.4,0.456,0.019,0.229,3.9,8.4,6.2,21.5,3.2,0.1,22.0,15.0,-0.6,1.9,1.3,0.052,-3.7,1.9,-1.8,0.1,,,OOR
Don Buse,PG,33.0,76.0,1327.0,150.0,352.0,0.426,18.0,59.0,0.305,132.0,293.0,0.451,0.452,63.0,80.0,0.788,29.0,87.0,116.0,303.0,86.0,1.0,87.0,62.0,381.0,13.4,0.492,0.168,0.227,2.4,7.6,5.0,29.4,3.0,0.0,18.3,14.4,0.8,1.4,2.2,0.08,0.0,1.0,1.0,1.0,,,OOR
Kenny Carr,PF,28.0,82.0,2455.0,518.0,923.0,0.561,0.0,5.0,0.0,518.0,918.0,0.564,0.561,247.0,367.0,0.673,208.0,434.0,642.0,157.0,68.0,33.0,202.0,274.0,1283.0,17.3,0.592,0.005,0.398,9.8,21.5,15.5,9.1,1.3,0.8,15.7,21.1,4.1,2.6,6.7,0.131,1.1,-0.7,0.3,1.5,,,OOR
M.L. Carr,SF,33.0,60.0,585.0,70.0,171.0,0.409,3.0,15.0,0.2,67.0,156.0,0.429,0.418,42.0,48.0,0.875,26.0,49.0,75.0,49.0,17.0,4.0,46.0,67.0,185.0,7.8,0.481,0.088,0.281,5.2,9.2,7.3,10.7,1.4,0.4,19.3,16.7,-0.2,0.6,0.4,0.034,-3.3,-0.3,-3.6,-0.2,,,OOR
Joe Barry Carroll,C,25.0,80.0,2962.0,663.0,1390.0,0.477,0.0,1.0,0.0,663.0,1389.0,0.477,0.477,313.0,433.0,0.723,235.0,401.0,636.0,198.0,103.0,142.0,268.0,244.0,1639.0,16.8,0.519,0.001,0.312,8.1,15.9,11.7,10.1,1.6,2.7,14.5,24.3,1.6,3.1,4.7,0.077,0.3,-0.1,0.2,1.6,,,OOR
Butch Carter,SG,25.0,73.0,2045.0,413.0,862.0,0.479,15.0,46.0,0.326,398.0,816.0,0.488,0.488,136.0,178.0,0.764,70.0,83.0,153.0,206.0,128.0,13.0,141.0,211.0,977.0,13.5,0.52,0.053,0.206,3.8,4.5,4.1,15.0,2.9,0.4,13.0,21.8,0.4,2.2,2.6,0.061,-1.5,0.3,-1.2,0.4,,,OOR
Howard Carter,SG,22.0,55.0,688.0,145.0,316.0,0.459,5.0,19.0,0.263,140.0,297.0,0.471,0.467,47.0,61.0,0.77,38.0,48.0,86.0,71.0,19.0,4.0,42.0,81.0,342.0,12.0,0.499,0.06,0.193,5.7,7.5,6.6,13.2,1.2,0.3,10.9,21.1,0.3,0.1,0.4,0.028,-1.6,-2.3,-3.9,-0.3,,,OOR
Bill Cartwright,C,26.0,77.0,2487.0,453.0,808.0,0.561,0.0,1.0,0.0,453.0,807.0,0.561,0.561,404.0,502.0,0.805,195.0,454.0,649.0,107.0,44.0,97.0,200.0,262.0,1310.0,18.5,0.637,0.001,0.621,9.6,22.1,15.9,6.4,0.9,2.4,16.3,20.6,5.6,4.2,9.8,0.189,1.5,0.5,2.0,2.5,,,OOR
Harvey Catchings,PF,32.0,69.0,1156.0,61.0,153.0,0.399,0.0,1.0,0.0,61.0,152.0,0.401,0.399,22.0,42.0,0.524,89.0,182.0,271.0,43.0,25.0,81.0,57.0,172.0,144.0,6.7,0.42,0.007,0.275,9.1,17.2,13.3,4.6,1.1,4.1,24.9,8.4,-0.7,2.1,1.3,0.056,-4.1,1.9,-2.1,0.0,,,OOR
Tom Chambers,PF,24.0,82.0,2570.0,554.0,1110.0,0.499,0.0,12.0,0.0,554.0,1098.0,0.505,0.499,375.0,469.0,0.8,219.0,313.0,532.0,133.0,47.0,51.0,192.0,309.0,1483.0,16.6,0.563,0.011,0.423,9.7,13.8,11.8,7.9,0.9,1.1,12.7,24.4,4.0,2.1,6.1,0.115,0.0,-1.4,-1.3,0.4,,,OOR
Maurice Cheeks,PG,27.0,75.0,2494.0,386.0,702.0,0.55,8.0,20.0,0.4,378.0,682.0,0.554,0.556,170.0,232.0,0.733,44.0,161.0,205.0,478.0,171.0,20.0,182.0,196.0,950.0,16.4,0.591,0.028,0.33,2.1,7.1,4.7,27.7,3.3,0.5,18.5,16.3,3.9,3.4,7.3,0.141,0.7,1.6,2.3,2.7,,,OOR
