Player,First,Share,Status
Hakeem Olajuwon,66.0,0.88,MVP
David Robinson,24.0,0.723,Candidate
Scottie Pippen,7.0,0.386,Candidate
Shaquille O'Neal,3.0,0.286,Candidate
Patrick Ewing,1.0,0.252,Candidate
Gary Payton,0.0,0.02,Candidate
Shawn Kemp,0.0,0.017,Candidate
Karl Malone,0.0,0.017,Candidate
Mark Price,0.0,0.007,Candidate
Charles Barkley,0.0,0.005,Candidate
Mookie Blaylock,0.0,0.001,Candidate
Kevin Johnson,0.0,0.001,Candidate
Dennis Rodman,0.0,0.001,Candidate
Latrell Sprewell,0.0,0.001,Candidate
John Stockton,0.0,0.001,Candidate
Dominique Wilkins,0.0,0.001,Candidate
Kevin Willis,0.0,0.001,Candidate
