Player,First,Share,Status
Allen Iverson,93.0,0.904,MVP
Tim Duncan,18.0,0.569,Candidate
Shaquille O'Neal,7.0,0.466,Candidate
Chris Webber,5.0,0.42,Candidate
Kevin Garnett,1.0,0.122,Candidate
Tracy McGrady,0.0,0.052,Candidate
Karl Malone,0.0,0.017,Candidate
Jason Kidd,0.0,0.015,Candidate
Kobe Bryant,0.0,0.009,Candidate
David Robinson,0.0,0.006,Candidate
Ray Allen,0.0,0.006,Candidate
Vince Carter,0.0,0.006,Candidate
Paul Pierce,0.0,0.004,Candidate
Jerry Stackhouse,0.0,0.002,Candidate
Michael Finley,0.0,0.001,Candidate
Anthony Mason,0.0,0.001,Candidate
John Stockton,0.0,0.001,Candidate
