Player,First,Share,Status
Russell Westbrook,69.0,0.879,MVP
James Harden,22.0,0.746,Candidate
Kawhi Leonard,9.0,0.495,Candidate
LeBron James,1.0,0.33,Candidate
Isaiah Thomas,0.0,0.08,Candidate
Stephen Curry,0.0,0.051,Candidate
Giannis Antetokounmpo,0.0,0.007,Candidate
John Wall,0.0,0.007,Candidate
Anthony Davis,0.0,0.002,Candidate
Kevin Durant,0.0,0.002,Candidate
DeMar DeRozan,0.0,0.001,Candidate
