Player,First,Share,Status
Tim Duncan,57.0,0.757,MVP
Jason Kidd,45.0,0.712,Candidate
Shaquille O'Neal,15.0,0.552,Candidate
Tracy McGrady,7.0,0.31,Candidate
Kobe Bryant,1.0,0.078,Candidate
Gary Payton,1.0,0.043,Candidate
Chris Webber,0.0,0.029,Candidate
Dirk Nowitzki,0.0,0.025,Candidate
Allen Iverson,0.0,0.023,Candidate
Ben Wallace,0.0,0.019,Candidate
Paul Pierce,0.0,0.017,Candidate
Kevin Garnett,0.0,0.013,Candidate
Michael Jordan,0.0,0.013,Candidate
Steve Nash,0.0,0.004,Candidate
Jerry Stackhouse,0.0,0.002,Candidate
Mike Bibby,0.0,0.001,Candidate
Elton Brand,0.0,0.001,Candidate
Peja Stojaković,0.0,0.001,Candidate
