Player,First,Share,Status
Kobe Bryant,82.0,0.873,MVP
Chris Paul,28.0,0.71,Candidate
Kevin Garnett,15.0,0.532,Candidate
LeBron James,1.0,0.348,Candidate
Dwight Howard,0.0,0.048,Candidate
Amar'e Stoudemire,0.0,0.021,Candidate
Tim Duncan,0.0,0.02,Candidate
Tracy McGrady,0.0,0.015,Candidate
Steve Nash,0.0,0.014,Candidate
Manu Ginóbili,0.0,0.007,Candidate
Dirk Nowitzki,0.0,0.004,Candidate
Deron Williams,0.0,0.003,Candidate
Carmelo Anthony,0.0,0.002,Candidate
Carlos Boozer,0.0,0.001,Candidate
Antawn Jamison,0.0,0.001,Candidate
Paul Pierce,0.0,0.001,Candidate
Rasheed Wallace,0.0,0.001,Candidate
