Player,First,Share,Status
Dirk Nowitzki,83.0,0.882,MVP
Steve Nash,44.0,0.785,Candidate
Kobe Bryant,2.0,0.404,Candidate
Tim Duncan,0.0,0.222,Candidate
LeBron James,0.0,0.142,Candidate
Tracy McGrady,0.0,0.085,Candidate
Chris Bosh,0.0,0.033,Candidate
Gilbert Arenas,0.0,0.024,Candidate
Carlos Boozer,0.0,0.005,Candidate
Kevin Garnett,0.0,0.005,Candidate
Chauncey Billups,0.0,0.003,Candidate
Shaquille O'Neal,0.0,0.002,Candidate
Dwyane Wade,0.0,0.002,Candidate
Amar'e Stoudemire,0.0,0.002,Candidate
Carmelo Anthony,0.0,0.001,Candidate
Baron Davis,0.0,0.001,Candidate
Tony Parker,0.0,0.001,Candidate
