Player,First,Share,Status
Tim Duncan,60.0,0.808,MVP
Kevin Garnett,43.0,0.732,Candidate
Kobe Bryant,8.0,0.417,Candidate
Tracy McGrady,4.0,0.359,Candidate
Shaquille O'Neal,3.0,0.106,Candidate
Allen Iverson,0.0,0.07,Candidate
Dirk Nowitzki,0.0,0.036,Candidate
Ben Wallace,1.0,0.028,Candidate
Jason Kidd,0.0,0.026,Candidate
Chris Webber,0.0,0.016,Candidate
Jamal Mashburn,0.0,0.001,Candidate
Steve Nash,0.0,0.001,Candidate
Paul Pierce,0.0,0.001,Candidate
