Player,First,Share,Status
Stephen Curry,100.0,0.922,MVP
James Harden,25.0,0.72,Candidate
LeBron James,5.0,0.425,Candidate
Russell Westbrook,0.0,0.271,Candidate
Anthony Davis,0.0,0.156,Candidate
Chris Paul,0.0,0.095,Candidate
LaMarcus Aldridge,0.0,0.005,Candidate
Marc Gasol,0.0,0.002,Candidate
Blake Griffin,0.0,0.002,Candidate
Tim Duncan,0.0,0.001,Candidate
Kawhi Leonard,0.0,0.001,Candidate
Klay Thompson,0.0,0.001,Candidate
