Player,First,Share,Status
Steve Nash,57.0,0.739,MVP
LeBron James,16.0,0.55,Candidate
Dirk Nowitzki,14.0,0.435,Candidate
Kobe Bryant,22.0,0.386,Candidate
Chauncey Billups,15.0,0.344,Candidate
Dwyane Wade,0.0,0.07,Candidate
Elton Brand,1.0,0.04,Candidate
Tim Duncan,0.0,0.026,Candidate
Tony Parker,0.0,0.007,Candidate
Allen Iverson,0.0,0.001,Candidate
Shawn Marion,0.0,0.001,Candidate
