Player,First,Share,Status
Charles Barkley,59.0,0.852,MVP
Hakeem Olajuwon,22.0,0.66,Candidate
Michael Jordan,13.0,0.577,Candidate
Patrick Ewing,4.0,0.366,Candidate
Dominique Wilkins,0.0,0.055,Candidate
David Robinson,0.0,0.034,Candidate
Shaquille O'Neal,0.0,0.031,Candidate
Karl Malone,0.0,0.01,Candidate
Mark Price,0.0,0.01,Candidate
Brad Daugherty,0.0,0.001,Candidate
Clyde Drexler,0.0,0.001,Candidate
Joe Dumars,0.0,0.001,Candidate
Shawn Kemp,0.0,0.001,Candidate
John Stockton,0.0,0.001,Candidate
