Player,First,Share,Status
Moses Malone,40.0,0.735,MVP
Larry Bird,20.0,0.588,Candidate
Julius Erving,1.0,0.294,Candidate
Robert Parish,4.0,0.19,Candidate
Gus Williams,2.0,0.167,Candidate
George Gervin,1.0,0.159,Candidate
Sidney Moncrief,1.0,0.146,Candidate
Magic Johnson,0.0,0.097,Candidate
Jack Sikma,0.0,0.048,Candidate
Kareem Abdul-Jabbar,0.0,0.045,Candidate
Dan Roundfield,0.0,0.02,Candidate
Kelly Tripucka,0.0,0.02,Candidate
Alex English,0.0,0.017,Candidate
Bernard King,0.0,0.014,Candidate
Adrian Dantley,0.0,0.01,Candidate
Ray Williams,0.0,0.009,Candidate
Michael Cooper,0.0,0.004,Candidate
Dan Issel,0.0,0.004,Candidate
Marques Johnson,0.0,0.004,Candidate
Isiah Thomas,0.0,0.004,Candidate
Dennis Johnson,0.0,0.001,Candidate
Mychal Thompson,0.0,0.001,Candidate
Jay Vincent,0.0,0.001,Candidate
Jamaal Wilkes,0.0,0.001,Candidate
Buck Williams,0.0,0.001,Candidate
