Player,First,Share,Status
Derrick Rose,113.0,0.977,MVP
Dwight Howard,3.0,0.531,Candidate
LeBron James,4.0,0.431,Candidate
Kobe Bryant,1.0,0.354,Candidate
Kevin Durant,0.0,0.157,Candidate
Dirk Nowitzki,0.0,0.093,Candidate
Dwyane Wade,0.0,0.02,Candidate
Manu Ginóbili,0.0,0.017,Candidate
Amar'e Stoudemire,0.0,0.007,Candidate
Blake Griffin,0.0,0.004,Candidate
Rajon Rondo,0.0,0.004,Candidate
Tony Parker,0.0,0.002,Candidate
Chris Paul,0.0,0.002,Candidate
