Player,First,Share,Status
Michael Jordan,109.0,0.986,MVP
David Robinson,0.0,0.508,Candidate
Anfernee Hardaway,2.0,0.319,Candidate
Hakeem Olajuwon,1.0,0.211,Candidate
Scottie Pippen,0.0,0.2,Candidate
Gary Payton,0.0,0.087,Candidate
Karl Malone,1.0,0.075,Candidate
Shawn Kemp,0.0,0.065,Candidate
Grant Hill,0.0,0.056,Candidate
Shaquille O'Neal,0.0,0.056,Candidate
John Stockton,0.0,0.011,Candidate
Charles Barkley,0.0,0.007,Candidate
Magic Johnson,0.0,0.007,Candidate
Alonzo Mourning,0.0,0.005,Candidate
Dennis Rodman,0.0,0.004,Candidate
Terrell Brandon,0.0,0.003,Candidate
Mitch Richmond,0.0,0.003,Candidate
