Player,First,Share,Status
Larry Bird,73.0,0.978,MVP
Magic Johnson,1.0,0.338,Candidate
Moses Malone,0.0,0.279,Candidate
Kareem Abdul-Jabbar,0.0,0.264,Candidate
Terry Cummings,2.0,0.177,Candidate
Michael Jordan,2.0,0.172,Candidate
Bernard King,0.0,0.09,Candidate
Sidney Moncrief,0.0,0.083,Candidate
Isiah Thomas,0.0,0.081,Candidate
Ralph Sampson,0.0,0.033,Candidate
Calvin Natt,0.0,0.028,Candidate
Alex English,0.0,0.015,Candidate
Hakeem Olajuwon,0.0,0.015,Candidate
Micheal Ray Richardson,0.0,0.014,Candidate
Andrew Toney,0.0,0.006,Candidate
Mark Eaton,0.0,0.005,Candidate
Paul Pressey,0.0,0.004,Candidate
Jack Sikma,0.0,0.004,Candidate
Dominique Wilkins,0.0,0.004,Candidate
World B. Free,0.0,0.003,Candidate
Purvis Short,0.0,0.003,Candidate
Clyde Drexler,0.0,0.001,Candidate
Julius Erving,0.0,0.001,Candidate
