Player,First,Share,Status
Larry Bird,52.0,0.858,MVP
Bernard King,11.0,0.491,Candidate
Magic Johnson,5.0,0.401,Candidate
Kareem Abdul-Jabbar,3.0,0.201,Candidate
Isiah Thomas,1.0,0.151,Candidate
Julius Erving,1.0,0.129,Candidate
Adrian Dantley,1.0,0.116,Candidate
Sidney Moncrief,1.0,0.092,Candidate
Jeff Ruland,1.0,0.05,Candidate
Moses Malone,0.0,0.046,Candidate
Mark Aguirre,0.0,0.037,Candidate
Bill Laimbeer,0.0,0.012,Candidate
Rickey Green,0.0,0.011,Candidate
World B. Free,0.0,0.001,Candidate
Marques Johnson,0.0,0.001,Candidate
