Player,First,Share,Status
Michael Jordan,80.0,0.938,MVP
Clyde Drexler,12.0,0.584,Candidate
David Robinson,2.0,0.351,Candidate
Karl Malone,1.0,0.273,Candidate
Patrick Ewing,0.0,0.104,Candidate
Chris Mullin,0.0,0.084,Candidate
Mark Price,0.0,0.069,Candidate
Tim Hardaway,0.0,0.067,Candidate
Scottie Pippen,1.0,0.033,Candidate
Dennis Rodman,0.0,0.027,Candidate
Brad Daugherty,0.0,0.025,Candidate
Charles Barkley,0.0,0.019,Candidate
John Stockton,0.0,0.019,Candidate
Larry Bird,0.0,0.003,Candidate
Kevin Johnson,0.0,0.002,Candidate
Danny Manning,0.0,0.001,Candidate
Detlef Schrempf,0.0,0.001,Candidate
