Player,First,Share,Status
Steve Nash,65.0,0.839,MVP
Shaquille O'Neal,58.0,0.813,Candidate
Dirk Nowitzki,0.0,0.275,Candidate
Tim Duncan,1.0,0.258,Candidate
Allen Iverson,2.0,0.189,Candidate
LeBron James,0.0,0.073,Candidate
Tracy McGrady,0.0,0.035,Candidate
Dwyane Wade,0.0,0.034,Candidate
Amar'e Stoudemire,1.0,0.032,Candidate
Ray Allen,0.0,0.032,Candidate
Kevin Garnett,0.0,0.012,Candidate
Gilbert Arenas,0.0,0.003,Candidate
Vince Carter,0.0,0.002,Candidate
P.J. Brown,0.0,0.001,Candidate
Marcus Camby,0.0,0.001,Candidate
Shawn Marion,0.0,0.001,Candidate
