Player,First,Share,Status
Magic Johnson,42.5,0.782,MVP
Michael Jordan,27.5,0.704,Candidate
Karl Malone,5.0,0.426,Candidate
Patrick Ewing,8.0,0.235,Candidate
Hakeem Olajuwon,2.0,0.211,Candidate
Charles Barkley,0.0,0.111,Candidate
John Stockton,0.0,0.033,Candidate
Kevin Johnson,0.0,0.026,Candidate
Tom Chambers,0.0,0.024,Candidate
Mark Price,0.0,0.021,Candidate
Brad Daugherty,0.0,0.005,Candidate
Robert Parish,0.0,0.005,Candidate
Mark Eaton,0.0,0.004,Candidate
Moses Malone,0.0,0.004,Candidate
Chris Mullin,0.0,0.004,Candidate
Larry Nance,0.0,0.004,Candidate
Terry Cummings,0.0,0.001,Candidate
Joe Dumars,0.0,0.001,Candidate
Isiah Thomas,0.0,0.001,Candidate
