Player,First,Share,Status
Stephen Curry,131.0,1.0,MVP
Kawhi Leonard,0.0,0.484,Candidate
LeBron James,0.0,0.482,Candidate
Russell Westbrook,0.0,0.371,Candidate
Kevin Durant,0.0,0.112,Candidate
Chris Paul,0.0,0.082,Candidate
Draymond Green,0.0,0.038,Candidate
Damian Lillard,0.0,0.02,Candidate
James Harden,0.0,0.007,Candidate
Kyle Lowry,0.0,0.005,Candidate
