Player,First,Share,Status
Kevin Durant,119.0,0.986,MVP
LeBron James,6.0,0.713,Candidate
Blake Griffin,0.0,0.347,Candidate
Joakim Noah,0.0,0.258,Candidate
James Harden,0.0,0.068,Candidate
Stephen Curry,0.0,0.053,Candidate
Chris Paul,0.0,0.036,Candidate
Al Jefferson,0.0,0.027,Candidate
Paul George,0.0,0.026,Candidate
LaMarcus Aldridge,0.0,0.021,Candidate
Kevin Love,0.0,0.02,Candidate
Tim Duncan,0.0,0.017,Candidate
Tony Parker,0.0,0.017,Candidate
Dirk Nowitzki,0.0,0.006,Candidate
Carmelo Anthony,0.0,0.003,Candidate
Goran Dragić,0.0,0.002,Candidate
Mike Conley,0.0,0.001,Candidate
