Player,First,Share,Status
Shaquille O'Neal,120.0,0.998,MVP
Kevin Garnett,0.0,0.337,Candidate
Alonzo Mourning,0.0,0.303,Candidate
Karl Malone,0.0,0.258,Candidate
Tim Duncan,0.0,0.205,Candidate
Gary Payton,0.0,0.149,Candidate
Allen Iverson,1.0,0.109,Candidate
Grant Hill,0.0,0.093,Candidate
Chris Webber,0.0,0.079,Candidate
Vince Carter,0.0,0.042,Candidate
Jason Kidd,0.0,0.021,Candidate
Kobe Bryant,0.0,0.002,Candidate
Darrell Armstrong,0.0,0.001,Candidate
Michael Finley,0.0,0.001,Candidate
Reggie Miller,0.0,0.001,Candidate
Jalen Rose,0.0,0.001,Candidate
