Player,First,Share,Status
Moses Malone,69.0,0.96,MVP
Larry Bird,1.0,0.485,Candidate
Magic Johnson,2.0,0.406,Candidate
Sidney Moncrief,0.0,0.301,Candidate
Julius Erving,3.0,0.149,Candidate
Alex English,0.0,0.056,Candidate
Buck Williams,0.0,0.053,Candidate
Artis Gilmore,0.0,0.044,Candidate
George Gervin,0.0,0.04,Candidate
Kareem Abdul-Jabbar,0.0,0.02,Candidate
Jack Sikma,0.0,0.017,Candidate
Jeff Ruland,0.0,0.016,Candidate
Terry Cummings,0.0,0.013,Candidate
Maurice Lucas,0.0,0.012,Candidate
Alton Lister,0.0,0.007,Candidate
Bernard King,0.0,0.005,Candidate
Isiah Thomas,0.0,0.005,Candidate
Larry Drew,0.0,0.004,Candidate
Gus Williams,0.0,0.004,Candidate
Dan Roundfield,0.0,0.003,Candidate
Marques Johnson,0.0,0.002,Candidate
Norm Nixon,0.0,0.001,Candidate
Kiki Vandeweghe,0.0,0.001,Candidate
