Player,First,Share,Status
LeBron James,85.0,0.888,MVP
Kevin Durant,24.0,0.735,Candidate
Chris Paul,6.0,0.318,Candidate
Kobe Bryant,2.0,0.291,Candidate
Tony Parker,4.0,0.274,Candidate
Kevin Love,0.0,0.048,Candidate
Dwight Howard,0.0,0.011,Candidate
Rajon Rondo,0.0,0.01,Candidate
Steve Nash,0.0,0.006,Candidate
Dwyane Wade,0.0,0.005,Candidate
Derrick Rose,0.0,0.004,Candidate
Dirk Nowitzki,0.0,0.003,Candidate
Russell Westbrook,0.0,0.003,Candidate
Tim Duncan,0.0,0.002,Candidate
Joe Johnson,0.0,0.001,Candidate
