Player,First,Share,Status
Karl Malone,63.0,0.857,MVP
Michael Jordan,52.0,0.832,Candidate
Grant Hill,0.0,0.327,Candidate
Tim Hardaway,0.0,0.207,Candidate
Glen Rice,0.0,0.117,Candidate
Gary Payton,0.0,0.091,Candidate
Hakeem Olajuwon,0.0,0.083,Candidate
Patrick Ewing,0.0,0.05,Candidate
Anthony Mason,0.0,0.006,Candidate
Shaquille O'Neal,0.0,0.006,Candidate
Scottie Pippen,0.0,0.005,Candidate
Alonzo Mourning,0.0,0.004,Candidate
Dikembe Mutombo,0.0,0.003,Candidate
Mitch Richmond,0.0,0.003,Candidate
John Stockton,0.0,0.003,Candidate
Charles Barkley,0.0,0.002,Candidate
Tom Gugliotta,0.0,0.001,Candidate
Allen Iverson,0.0,0.001,Candidate
Kevin Johnson,0.0,0.001,Candidate
Steve Smith,0.0,0.001,Candidate
