Player,First,Share,Status
Michael Jordan,77.0,0.928,MVP
Magic Johnson,10.0,0.518,Candidate
David Robinson,6.0,0.496,Candidate
Charles Barkley,2.0,0.231,Candidate
Karl Malone,0.0,0.148,Candidate
Clyde Drexler,1.0,0.078,Candidate
Kevin Johnson,0.0,0.033,Candidate
Dominique Wilkins,0.0,0.03,Candidate
Larry Bird,0.0,0.026,Candidate
Terry Porter,0.0,0.026,Candidate
Patrick Ewing,0.0,0.021,Candidate
John Stockton,0.0,0.016,Candidate
Isiah Thomas,0.0,0.011,Candidate
Robert Parish,0.0,0.01,Candidate
Joe Dumars,0.0,0.008,Candidate
Bernard King,0.0,0.007,Candidate
Kenny Smith,0.0,0.005,Candidate
Hakeem Olajuwon,0.0,0.004,Candidate
Tim Hardaway,0.0,0.001,Candidate
Kevin McHale,0.0,0.001,Candidate
